Time,Wnd
0.600887,4124
0.600887,5330
0.600887,6536
0.600887,7996
0.601006,9456
0.610692,10929
0.620692,12402
0.901261,13875
0.901384,15348
0.901511,16819
0.901633,18290
0.911066,19761
0.911189,21232
0.921066,22705
0.921193,24178
0.931066,25651
0.94107,27124
1.20176,28597
1.20188,30070
1.202,31543
1.20213,33016
1.20225,34487
1.20238,35958
1.21144,37429
1.21156,38900
1.21169,40371
1.21181,41842
1.22144,43315
1.22156,44788
1.22169,46258
1.22181,47728
1.23144,49199
1.23156,50670
1.24144,52143
1.24157,53616
1.26144,55089
1.27144,56562
1.50226,58035
1.50238,59508
1.5025,60979
1.50263,62450
1.50275,63921
1.50287,65392
1.503,66863
1.50312,68334
1.50324,69805
1.50336,71276
1.51182,72747
1.51194,74218
1.51206,75689
1.51218,77160
1.51231,78630
1.51243,80100
1.51255,81571
1.51268,83042
1.52181,84513
1.52194,85984
1.52206,87455
1.52218,88926
1.52231,90397
1.52243,91868
1.52255,93339
1.52268,94810
1.53181,96281
1.53194,97752
1.53206,99223
1.53218,100694
1.54182,102167
1.54194,103640
1.54206,105113
1.54219,106586
1.55194,108059
1.56182,109532
1.57182,111002
1.57194,112472
1.59182,113943
1.60182,115416
1.80275,116889
1.80288,118362
1.803,119835
1.80312,121308
1.80324,122781
1.80337,124254
1.80349,125727
1.80361,127200
1.80374,128673
1.80386,130146
1.80398,131619
1.8041,133092
1.80423,134565
1.80435,136038
1.80447,137511
1.80459,138984
1.80472,140457
1.80484,141929
1.81219,143398
1.81231,144867
1.81244,146337
1.81256,147808
1.81268,149279
1.8128,150750
1.81293,152223
1.81305,153696
1.81317,155169
1.8133,156642
1.81342,158115
1.81354,159588
1.81366,161061
1.81379,162534
1.81391,164007
1.81403,165480
1.82219,166953
1.82231,168426
1.82243,169899
1.82256,171372
1.82269,172844
1.82281,174316
1.82293,175789
1.82306,177262
1.82318,178735
1.8233,180208
1.82342,181681
1.82355,183154
1.82367,184627
1.82379,186100
1.82392,187573
1.82404,189046
1.83219,190519
1.83231,191992
1.83243,193465
1.83256,194938
1.83268,196411
1.8328,197884
1.83293,199357
1.83305,200830
1.84219,202303
1.84232,203776
1.84244,205248
1.84257,206720
1.84269,208193
1.84281,209666
1.84293,211139
1.84306,212612
1.85232,214085
1.85244,215558
1.86219,217033
1.86231,218508
1.87219,219983
1.87232,221458
1.87244,222933
1.87256,224408
1.89184,225883
1.89219,227356
1.9022,228829
1.90232,230302
1.9122,231777
1.9222,233252
2.10325,234727
2.10337,236202
2.1035,237674
2.10362,239146
2.10375,240619
2.10387,242092
2.10399,243565
2.10411,245038
2.10424,246511
2.10436,247984
2.10448,249457
2.1046,250930
2.10473,252403
2.10485,253876
2.10498,255349
2.1051,256822
2.10522,258295
2.10535,259768
2.10547,261241
2.10559,262714
2.10572,264187
2.10584,265660
2.10596,267133
2.10608,268606
2.10621,270078
2.10633,271550
2.10646,273023
2.10658,274496
2.1067,275969
2.10682,277441
2.10695,278913
2.10707,280385
2.10719,281857
2.10731,283330
2.11257,284803
2.11269,286276
2.11281,287749
2.11293,289222
2.11306,290695
2.11318,292168
2.1133,293641
2.11343,295114
2.11355,296587
2.11367,298060
2.11379,299533
2.11392,301006
2.11404,302478
2.11417,303950
2.11429,305423
2.11441,306896
2.11454,308369
2.11466,309842
2.11478,311315
2.11491,312788
2.11503,314261
2.11515,315734
2.11528,317207
2.1154,318680
2.11552,320153
2.11564,321626
2.11577,323099
2.11589,324572
2.11601,326045
2.11614,327518
2.11626,328991
2.11638,330464
2.12256,331937
2.12269,333410
2.12281,334882
2.12294,336354
2.12306,337827
2.12318,339300
2.1233,340773
2.12343,342246
2.12355,343719
2.12368,345192
2.1238,346665
2.12392,348138
2.12405,349611
2.12417,351084
2.12429,352557
2.12441,354030
2.12454,355503
2.12466,356976
2.12478,358449
2.12491,359922
2.12503,361395
2.12515,362868
2.12527,364341
2.1254,365814
2.12552,367286
2.12565,368758
2.12577,370231
2.12589,371704
2.12602,373177
2.12614,374650
2.12627,376123
2.12639,377596
2.13256,379069
2.13269,380542
2.13281,382015
2.13293,383488
2.13306,384961
2.13318,386434
2.1333,387907
2.13342,389380
2.13355,390853
2.13367,392326
2.13379,393799
2.13392,395272
2.13404,396745
2.13416,398218
2.13429,399690
2.13441,401162
2.14257,402635
2.14269,404108
