Time,Sent
0.000600241,1
0.00151512,2
0.00161536,3
0.011579,4
0.0115815,5
0.0214094,6
0.0321236,7
0.0366374,8
0.0368859,9
0.0369497,10
0.0370022,11
0.0370368,12
0.0370657,13
0.0370834,14
0.0370964,15
0.0371079,16
0.0371172,17
0.0371255,18
0.037478,19
0.0374807,20
0.0374849,21
0.0384029,22
0.0384055,23
0.0386998,24
0.0387085,25
0.038717,26
0.0387238,27
0.0387298,28
0.0387356,29
0.038741,30
0.0387464,31
0.0387516,32
0.0390569,33
0.0390596,34
0.0391246,35
0.039159,36
0.0391933,37
0.0392131,38
0.0392254,39
0.0392376,40
0.0392463,41
0.0392549,42
0.0392617,43
0.0392676,44
0.0392734,45
0.0392788,46
0.0392842,47
0.0392894,48
0.0395825,49
0.0395851,50
0.039777,51
0.0397796,52
0.0398121,53
0.0398288,54
0.0398373,55
0.0398441,56
0.03985,57
0.0398559,58
0.0398613,59
0.0398667,60
0.0398719,61
0.0401081,62
0.0401108,63
0.0403033,64
0.0403057,65
0.0403461,66
0.0403545,67
0.0403629,68
0.0403696,69
0.0403753,70
0.040381,71
0.0403863,72
0.0403915,73
0.0403965,74
0.0405375,75
0.04054,76
0.040635,77
0.0406692,78
0.0406888,79
0.0407009,80
0.040713,81
0.0407215,82
0.0407299,83
0.0407382,84
0.0407439,85
0.0407492,86
0.0407544,87
0.0407594,88
0.0408796,89
0.040882,90
0.0410022,91
0.0410047,92
0.0410289,93
0.0410411,94
0.0410532,95
0.0410616,96
0.04107,97
0.0410767,98
0.0410824,99
0.0410881,100
0.0410934,101
0.0410986,102
0.0411036,103
0.0412238,104
0.0412263,105
0.0412912,106
0.0413254,107
0.0413596,108
0.0413792,109
0.0413913,110
0.0414072,111
0.0414156,112
0.0414222,113
0.041428,114
0.0414336,115
0.0414389,116
0.0414441,117
0.0414492,118
0.0415693,119
0.0415718,120
0.041692,121
0.0416944,122
0.0417267,123
0.0417425,124
0.0417509,125
0.0417576,126
0.0417633,127
0.041769,128
0.0417743,129
0.0417795,130
0.0417845,131
0.0419047,132
0.0419072,133
0.0420273,134
0.0420298,135
0.0420636,136
0.042076,137
0.0420848,138
0.0420935,139
0.0421013,140
0.0421073,141
0.0421129,142
0.0421184,143
0.0421238,144
0.042244,145
0.0422464,146
0.0423426,147
0.0424013,148
0.0424137,149
0.0424225,150
0.0424312,151
0.0424382,152
0.0424443,153
0.0424503,154
0.0424559,155
0.0424614,156
0.0424668,157
0.0425869,158
0.0425894,159
0.0426551,160
0.0426896,161
0.04274,162
0.0427524,163
0.0427648,164
0.0427736,165
0.0427824,166
0.0427893,167
0.0427954,168
0.0428014,169
0.042807,170
0.0428125,171
0.0428179,172
0.042938,173
0.0429405,174
0.0430062,175
0.0430408,176
0.0430752,177
0.0431024,178
0.0431148,179
0.0431236,180
0.0431324,181
0.0431393,182
0.0431454,183
0.0431514,184
0.043157,185
0.0431625,186
0.0431679,187
0.043288,188
0.0432905,189
0.0432945,190
0.0434147,191
0.0434171,192
0.0434516,193
0.043464,194
0.0434764,195
0.0434833,196
0.0434894,197
0.0434954,198
0.043501,199
0.0435065,200
0.0435119,201
0.043632,202
0.0436345,203
0.0437002,204
0.0437651,205
0.0438016,206
0.0438104,207
0.043819,208
0.0438259,209
0.0438319,210
0.0438378,211
0.0438433,212
0.0438488,213
0.043854,214
0.0439742,215
0.0439766,216
0.0440423,217
0.0440768,218
0.0441113,219
0.0441312,220
0.0441437,221
0.0441599,222
0.0441686,223
0.0441756,224
0.0441816,225
0.0441876,226
0.0441932,227
0.0441988,228
0.0442041,229
0.0443243,230
0.0443268,231
0.0444469,232
0.0444494,233
0.0444756,234
0.0444881,235
0.0445005,236
0.0445093,237
0.044518,238
0.044525,239
0.0445311,240
0.0445371,241
0.0445427,242
0.0445482,243
0.0445536,244
0.0446737,245
0.0446762,246
0.0447419,247
0.0447764,248
0.0448268,249
0.0448392,250
0.0448516,251
0.0448604,252
0.0448692,253
0.0448761,254
0.0448822,255
0.0448882,256
0.0448938,257
0.0448993,258
0.0449047,259
0.0450248,260
0.0450273,261
0.0450313,262
0.0451515,263
0.045154,264
0.0451946,265
0.0452034,266
0.0452121,267
0.0452191,268
0.0452252,269
0.0452312,270
0.0452368,271
0.0452423,272
0.0452476,273
0.0453678,274
0.0453703,275
0.0454904,276
0.0454929,277
0.0455383,278
0.045547,279
0.045554,280
0.04556,281
0.045566,282
0.0455716,283
0.0455772,284
0.0455825,285
0.0457027,286
0.0457052,287
0.0458254,288
0.045828,289
0.0458734,290
0.0458822,291
0.0458892,292
0.0458954,293
0.0459015,294
0.0459072,295
0.0459128,296
0.0459182,297
0.0460384,298
0.0460409,299
0.0461611,300
0.0461638,301
0.046206,302
0.0462151,303
0.046224,304
0.0462332,305
0.0462395,306
0.0462453,307
0.0462511,308
0.0462567,309
0.0463768,310
0.0463796,311
0.0464997,312
0.0465024,313
0.0465362,314
0.0465488,315
0.0465579,316
0.0465668,317
0.046574,318
0.0465804,319
0.0465866,320
0.0465924,321
0.0465982,322
0.0466038,323
0.046724,324
0.0467267,325
0.046823,326
0.0468807,327
0.0468971,328
0.046906,329
0.0469132,330
0.0469196,331
0.0469258,332
0.0469316,333
0.0469374,334
0.046943,335
0.0470632,336
0.0470659,337
0.047186,338
0.0471888,339
0.0472344,340
0.0472386,341
0.0472475,342
0.0472546,343
0.0472608,344
0.047267,345
0.0472728,346
0.0472784,347
0.047284,348
0.0474041,349
0.0474068,350
0.0475031,351
0.0475607,352
0.047577,353
0.0475859,354
0.047593,355
0.0475992,356
0.0476054,357
0.0476112,358
0.0476168,359
0.0476224,360
0.0477425,361
0.0477452,362
0.0478654,363
0.0478681,364
0.047909,365
0.047918,366
0.047927,367
0.0479342,368
0.0479405,369
0.0479468,370
0.0479526,371
0.0479584,372
0.047964,373
0.0480841,374
0.0480868,375
0.048207,376
0.0482097,377
0.0482553,378
0.0482596,379
0.0482713,380
0.0482776,381
0.0482837,382
0.0482895,383
0.0482952,384
0.0483007,385
0.0484208,386
0.0484235,387
0.0484893,388
0.0485241,389
0.0485588,390
0.0485863,391
0.0485989,392
0.048608,393
0.0486169,394
0.0486241,395
0.0486304,396
0.0486367,397
0.0486425,398
0.0486483,399
0.0486539,400
0.048774,401
0.0487768,402
0.0488732,403
0.0489237,404
0.0489438,405
0.0489528,406
0.0489618,407
0.048969,408
0.0489753,409
0.0489816,410
0.0489874,411
0.0489932,412
0.0489988,413
0.0491189,414
0.0491216,415
0.0492418,416
0.0492445,417
0.0492854,418
0.0492944,419
0.0493034,420
0.0493106,421
0.0493169,422
0.0493232,423
0.049329,424
0.0493348,425
0.0493404,426
0.0494605,427
0.0494632,428
0.0495834,429
0.0495861,430
0.049627,431
0.049636,432
0.049645,433
0.0496522,434
0.0496585,435
0.0496648,436
0.0496706,437
0.0496764,438
0.049682,439
0.0498021,440
0.0498048,441
0.049925,442
0.0499277,443
0.0499747,444
0.0499865,445
0.0499928,446
0.0499991,447
0.0500049,448
0.0500107,449
0.0500163,450
0.0501364,451
0.0501392,452
0.0502051,453
0.0502399,454
0.0502746,455
0.050302,456
0.0503147,457
0.0503237,458
0.0503327,459
0.0503399,460
0.0503462,461
0.0503524,462
0.0503583,463
0.050364,464
0.0503696,465
0.0504898,466
0.0504924,467
0.0504967,468
0.0506168,469
0.0506196,470
0.0506604,471
0.0506695,472
0.0506784,473
0.0506856,474
0.050692,475
0.0506982,476
0.050704,477
0.0507098,478
0.0507154,479
0.0508356,480
0.0508383,481
0.0509584,482
0.0509612,483
0.0509949,484
0.0510076,485
0.0510166,486
0.0510256,487
0.0510328,488
0.0510391,489
0.0510453,490
0.0510512,491
0.0510569,492
0.0510625,493
0.0511827,494
0.0511854,495
0.0513056,496
0.0513083,497
0.0513539,498
0.0513628,499
0.05137,500
0.0513764,501
0.0513826,502
0.0513884,503
0.0513942,504
0.0513998,505
0.05152,506
0.0515227,507
0.0516191,508
0.0516768,509
0.0516932,510
0.0517021,511
0.0517093,512
0.0517156,513
0.0517219,514
0.0517277,515
0.0517335,516
0.0517391,517
0.0518592,518
0.051862,519
0.0519584,520
0.052016,521
0.0520324,522
0.0520414,523
0.0520486,524
0.0520549,525
0.0520627,526
0.0520684,527
0.052074,528
0.0521942,529
0.0521969,530
0.0522933,531
0.052328,532
0.0523555,533
0.0523681,534
0.0523772,535
0.0523861,536
0.0523933,537
0.0523996,538
0.0524059,539
0.0524117,540
0.0524175,541
0.0524231,542
0.0525432,543
0.052546,544
0.0525502,545
0.0526704,546
0.0526731,547
0.0527055,548
0.0527181,549
0.0527272,550
0.0527361,551
0.0527433,552
0.0527496,553
0.0527559,554
0.0527617,555
0.0527675,556
0.0527731,557
0.0528932,558
0.052896,559
0.0530161,560
0.0530188,561
0.0530644,562
0.0530734,563
0.0530806,564
0.0530869,565
0.0530932,566
0.053099,567
0.0531048,568
0.0531104,569
0.0532305,570
0.0532332,571
0.0533534,572
0.053356,573
0.0533968,574
0.0534058,575
0.0534176,576
0.0534238,577
0.05343,578
0.0534357,579
0.0534414,580
0.0534469,581
0.0535671,582
0.0535697,583
0.053574,584
0.0536941,585
0.0536968,586
0.0537306,587
0.0537432,588
0.0537523,589
0.0537612,590
0.0537684,591
0.0537748,592
0.053781,593
0.0537868,594
0.0537926,595
0.0537982,596
0.0539184,597
0.0539211,598
0.0540412,599
0.054044,600
0.0540777,601
0.0540904,602
0.0540994,603
0.0541084,604
0.0541156,605
0.0541219,606
0.0541281,607
0.054134,608
0.0541397,609
0.0541453,610
0.0542655,611
0.0542682,612
0.0543884,613
0.0543911,614
0.054432,615
0.054441,616
0.05445,617
0.0544572,618
0.0544635,619
0.0544697,620
0.0544756,621
0.0544813,622
0.0544869,623
0.0546071,624
0.0546098,625
0.0547061,626
0.0547554,627
0.0547755,628
0.0547845,629
0.0547935,630
0.0548007,631
0.054807,632
0.0548132,633
0.0548191,634
0.0548248,635
0.0548304,636
0.0549506,637
0.0549533,638
0.0550735,639
0.0550762,640
0.0551218,641
0.0551308,642
0.05514,643
0.0551462,644
0.055152,645
0.0551578,646
0.0551634,647
0.0552836,648
0.0552863,649
0.0554064,650
0.0554092,651
0.0554428,652
0.0554554,653
0.0554644,654
0.0554732,655
0.0554804,656
0.0554866,657
0.0554928,658
0.0554985,659
0.0555042,660
0.0555097,661
0.0556299,662
0.0556325,663
0.0557527,664
0.0557554,665
0.0557892,666
0.0558018,667
0.0558108,668
0.0558198,669
0.055827,670
0.0558333,671
0.0558396,672
0.0558454,673
0.0558512,674
0.0558568,675
0.0559769,676
0.0559796,677
0.0560998,678
0.0561025,679
0.0561434,680
0.0561524,681
0.0561614,682
0.0561686,683
0.0561768,684
0.0561827,685
0.0561884,686
0.056194,687
0.0563142,688
0.0563169,689
0.0563212,690
0.0564413,691
0.056444,692
0.0564777,693
0.0564903,694
0.0564992,695
0.0565081,696
0.0565172,697
0.0565234,698
0.0565292,699
0.0565348,700
0.0565404,701
0.0566605,702
0.0566632,703
0.0567833,704
0.056786,705
0.0568198,706
0.0568324,707
0.0568415,708
0.0568504,709
0.0568576,710
0.056864,711
0.0568702,712
0.056876,713
0.0568818,714
0.0568874,715
0.0570076,716
0.0570103,717
0.0571304,718
0.0571332,719
0.0571801,720
0.0571891,721
0.0571963,722
0.0572026,723
0.0572088,724
0.0572147,725
0.0572217,726
0.0573419,727
0.0573446,728
0.0573488,729
0.0574452,730
0.0574799,731
0.0575073,732
0.05752,733
0.057529,734
0.057538,735
0.0575452,736
0.0575534,737
0.0575592,738
0.057565,739
0.0575706,740
0.0576908,741
0.0576935,742
0.0577899,743
0.0578246,744
0.057852,745
0.0578647,746
0.0578737,747
0.0578827,748
0.0578899,749
0.0578962,750
0.0579024,751
0.0579083,752
0.057914,753
0.0579196,754
0.0580398,755
0.0580425,756
0.0581627,757
0.0581654,758
0.0582124,759
0.0582242,760
0.0582305,761
0.0582368,762
0.0582426,763
0.0582484,764
0.058254,765
0.0583741,766
0.0583768,767
0.0584732,768
0.0585079,769
0.0585353,770
0.058548,771
