Time,Wnd
0.0201338,8007
0.0474349,9480
0.0642493,13893
0.064385,18306
0.0644249,22717
0.0644564,27127
0.0644826,31537
0.064498,35947
0.0645125,40357
0.0645287,44767
0.0645433,49180
0.0645566,53592
0.0645675,58002
0.0645763,62412
0.064585,66822
0.0645938,71232
0.0646025,75642
0.0646113,80052
0.0646201,84462
0.0646288,88872
0.0646347,91812
0.0646434,96222
0.0646522,100632
0.064661,105042
0.0646697,109452
0.0647369,112392
0.0648653,77843
0.0649676,77915
0.0650873,77942
0.0658639,77941
0.0660946,77940
0.0666057,77941
0.0674583,77943
0.0682437,77941
0.0714849,77942
0.072314,77941
0.0733624,77942
0.0741565,77941
0.0816811,77940
0.0821834,77941
0.0857515,77940
0.0862187,77941
0.0889401,77942
0.089743,77941
0.0929754,77942
0.0938134,77941
0.0972676,77940
0.0977612,77941
0.101259,77940
0.101796,77941
0.108553,77942
0.1094,77941
0.120916,77940
0.12141,77941
0.124131,77942
0.124908,77941
0.128166,77942
0.128978,77941
