Time,Cwnd
0.0128869,4124
0.0128869,5330
0.0128869,6536
0.0128869,7996
0.0130057,9456
0.0192606,10927
0.0193833,12398
0.0195059,13869
0.0196286,15340
0.0197552,16811
0.0198778,18282
0.0256356,19753
0.025757,21224
0.0258797,22695
0.0260059,24166
0.026125,25637
0.0262476,27108
0.0263702,28579
0.0264929,30050
0.0266155,31521
0.0267382,32992
0.0268608,34463
0.0269846,35934
0.0320094,37405
0.032132,38876
0.0322622,40347
0.0323813,41818
0.0325039,43289
0.0326266,44760
0.0327531,46230
0.0328757,47700
0.0329995,49171
0.033121,50642
0.0332436,52113
0.0333662,53584
0.0334889,55055
0.0336151,56526
0.0337342,57997
0.0338568,59468
0.0339794,60939
0.0341021,62410
0.0342247,63881
0.0343486,65352
0.03447,66823
0.0345926,68294
0.0347153,69765
0.0348379,71236
0.0383867,72707
0.0385058,74178
0.0386284,75649
0.038751,77120
0.0388788,78590
0.0390002,80060
0.0391228,81531
0.0392454,83002
0.0393681,84473
0.0394907,85944
0.039617,87415
0.0397365,88886
0.0398591,90357
0.0399818,91828
0.0401044,93299
0.0402282,94770
0.0403497,96241
0.0404723,97712
0.040599,99183
0.0407216,100654
0.0408442,102125
0.0409705,103596
0.0410895,105067
0.0412122,106538
0.0413348,108009
0.0414586,109480
0.041584,110950
0.0417066,112420
0.0418292,113891
0.0419518,115362
0.0420745,116833
0.0421971,118304
0.0423234,119775
0.0424424,121246
0.042565,122717
0.0426889,124188
0.0428103,125659
0.042933,127130
0.0430556,128601
0.0431782,130072
0.0433049,131543
0.0434275,133014
0.0435502,134485
0.0436764,135956
0.0437954,137427
0.0439193,138898
0.0440407,140369
0.0441633,141839
0.0447612,143308
0.0448837,144777
0.0450062,146247
0.0451289,147718
0.0452515,149189
0.0453742,150660
0.0455004,152131
0.0456206,153602
0.0457421,155073
0.0458647,156544
0.0459914,158015
0.046114,159486
0.0462366,160957
0.0463593,162428
0.0464819,163899
0.0466046,165370
0.0467274,166843
0.046855,168316
0.046973,169789
0.0470958,171262
0.0472226,172734
0.0473454,174206
0.0474682,175679
0.047591,177152
0.0477138,178625
0.0478366,180098
0.0479594,181571
0.0480834,183044
0.0482086,184517
0.0483278,185990
0.0484506,187463
0.0485734,188936
0.0487003,190409
0.0488231,191882
0.0489459,193355
0.0490687,194828
0.0491915,196301
0.0493155,197774
0.0494371,199247
0.0495635,200720
0.0496827,202193
0.0498055,203666
0.0499324,205138
0.0500551,206610
0.0501779,208083
0.0503007,209556
0.0504235,211029
0.0505475,212502
0.0506691,213975
0.0507955,215448
0.0509147,216921
0.0510375,218394
0.0511645,219867
0.0512873,221340
0.0514101,222813
0.0515329,224286
0.0516557,225759
0.0517797,227232
0.0519013,228705
0.0520241,230178
0.0521505,231651
0.0522697,233124
0.0523925,234597
0.0525153,236070
0.0526422,237542
0.0527649,239014
0.0528877,240487
0.0530117,241960
0.0531333,243433
0.0532561,244906
0.0533789,246379
0.0535053,247852
0.0536286,249325
0.0537514,250798
0.0538742,252271
0.053997,253744
0.0541198,255217
0.0542439,256690
0.0543655,258163
0.0544883,259636
0.0546111,261109
0.0547339,262582
0.0548602,264055
0.0549794,265528
0.0551022,267001
0.055225,268474
0.0553519,269946
0.0554759,271418
0.0555974,272891
0.0557202,274364
0.055843,275837
0.0559658,277309
0.0560927,278781
0.056219,280253
0.0563381,281725
0.0564609,283198
0.0565837,284671
0.0567077,286144
0.0568293,287617
0.0569521,289090
0.0570749,290563
0.0571977,292036
0.0573205,293509
0.0574433,294982
0.0575697,296455
0.0576889,297928
0.0578117,299401
0.0579345,300874
0.0580614,302346
0.0581841,303818
0.0583069,305291
0.0584297,306764
0.0585567,308237
0.0586795,309710
0.0588023,311183
0.0589286,312656
0.0590478,314129
0.0591718,315602
0.0592934,317075
0.0594162,318548
0.0595391,320021
0.0596619,321494
0.0597849,322967
0.0599077,324440
0.0600305,325913
0.0601533,327386
0.0602798,328859
0.0603989,330332
0.0605229,331805
0.0606445,333278
0.0607714,334750
0.0608941,336222
0.0610211,337695
0.0612686,168847
0.0765027,168859
0.0766267,168871
0.076756,168883
0.0768787,168895
0.0770027,168907
0.0771266,168919
0.0773701,168944
0.0776135,168969
0.0777374,168981
0.0778613,168993
0.0779852,169005
0.0781091,169017
0.0782385,169029
0.0783612,169041
0.0784851,169053
0.078609,169065
0.0788526,169090
0.0790959,169115
0.0792198,169127
0.0793438,169139
0.0794677,169151
0.0795915,169163
0.0797208,169175
0.0798435,169187
0.0799674,169199
0.080211,169224
0.0804543,169249
0.0805783,169261
0.0807022,169273
0.0808261,169285
0.08095,169297
0.0810776,169309
0.0812033,169321
0.081326,169333
0.0814499,169345
0.0816971,169370
0.0819368,169395
0.0820607,169407
0.0821883,169419
0.0823086,169431
0.0824325,169443
0.0825564,169455
0.0826894,169467
0.0828085,169479
0.0829324,169491
0.0831796,169516
0.0834193,169541
0.0835432,169553
0.0836671,169565
0.0837947,169577
0.083915,169589
0.0840389,169601
0.0846546,84800
0.0983219,84825
0.0985707,84876
0.0988195,84927
0.0990678,84978
0.0993135,85029
0.0994437,85054
0.0995629,85079
0.0996858,85104
0.0998086,85129
0.0999315,85154
0.100054,85179
0.100177,85204
0.1003,85229
0.100424,85254
0.100546,85279
0.100677,85304
0.100796,85329
0.100919,85354
0.101042,85379
0.101165,85404
0.101287,85429
0.10141,85454
0.101533,85479
0.101657,85504
0.101779,85529
0.101906,85554
0.102033,85579
0.102152,85604
0.102275,85629
0.102398,85654
0.10252,85679
0.102643,85704
0.102766,85729
0.102893,85754
0.103016,85779
0.103139,85804
0.103262,85829
0.103389,85854
0.103508,85879
0.103631,85904
0.103754,85929
0.103881,85954
0.104005,85979
0.104126,86004
0.104249,86029
0.104372,86053
0.104495,86077
0.104618,86101
0.104744,86125
0.104864,86149
0.104991,86173
0.105114,86197
0.105238,86221
0.105359,86245
0.105482,86269
0.105605,86293
0.105728,86317
0.105851,86341
0.105978,86365
0.106104,86389
0.106228,86413
0.106352,86437
0.106482,86461
0.106604,86485
0.106727,86509
0.10685,86533
0.106973,86557
0.107096,86581
0.107219,86605
0.107342,86629
0.10747,86653
0.107592,86677
0.107719,86701
0.107842,86725
0.107965,86749
0.108087,86773
0.10821,86797
0.108333,86821
0.108456,86845
0.10858,86869
0.108702,86893
0.108828,86917
0.108952,86941
0.109075,86965
0.109202,86989
0.109325,87013
0.109448,87037
0.10957,87061
0.109694,87085
0.109816,87109
0.109939,87133
0.110066,87157
0.110193,87181
0.110312,87205
0.110435,87229
0.110562,87253
0.110685,87277
0.110809,87301
0.11093,87325
0.111053,87349
0.111176,87373
0.111303,87397
0.11143,87421
0.111549,87445
0.111672,87469
0.111795,87493
0.111923,87517
0.112045,87541
0.112168,87565
0.112291,87589
0.112413,87613
0.112541,87637
0.112663,87661
0.11279,87685
0.112909,87709
0.113032,87733
0.113156,87757
0.113282,87781
0.113405,87805
0.113528,87829
0.113655,87853
0.113778,87877
0.113901,87901
0.114024,87925
0.11415,87949
0.11427,87973
0.114392,87997
0.114515,88021
0.114642,88045
0.114769,88069
0.114892,88093
0.115015,88117
0.115138,88141
0.115261,88165
0.115385,88189
0.11551,88213
0.115629,88237
0.115752,88261
0.115879,88285
0.116002,88309
0.116129,88333
0.116252,88357
0.116375,88381
0.116499,88405
0.116621,88429
0.116744,88453
0.11687,88477
0.116989,88501
0.117116,88525
0.117239,88549
0.117362,88573
0.117489,88597
0.117613,88621
0.117735,88645
0.117858,88669
0.117981,88693
0.118103,88717
0.118234,88741
0.118353,88765
0.118476,88789
0.118599,88813
0.118727,88837
0.118849,88861
0.118972,88885
0.119095,88909
0.119218,88933
0.119345,88957
0.119468,88981
0.119594,89005
0.119714,89029
0.119836,89053
0.11996,89077
0.120086,89101
0.120209,89125
0.120332,89149
0.120455,89173
0.120582,89197
0.120705,89221
0.120828,89245
0.120954,89269
0.121075,89293
0.121196,89317
0.121319,89341
0.121446,89365
0.121569,89389
0.121696,89413
0.121819,89437
0.121942,89461
0.122065,89485
0.122189,89509
0.122314,89533
0.122434,89557
0.122557,89581
0.122679,89605
0.122811,89628
0.122934,89651
0.123056,89674
0.123179,89697
0.123303,89720
0.123425,89743
0.123552,89766
0.123671,89789
0.123794,89812
0.123917,89835
0.124044,89858
0.124167,89881
0.124294,89904
0.124418,89927
0.124539,89950
0.124662,89973
0.124785,89996
0.124912,90019
0.125031,90042
0.125158,90065
0.125281,90088
0.125404,90111
0.125527,90134
0.125654,90157
0.125777,90180
0.1259,90203
0.126022,90226
0.126145,90249
0.126276,90272
0.126395,90295
0.126518,90318
0.126641,90341
0.126765,90364
0.126887,90387
0.127014,90410
0.127137,90433
0.12726,90456
0.127382,90479
0.12751,90502
0.127636,90525
0.127755,90548
0.127879,90571
0.128001,90594
0.128124,90617
0.128247,90640
0.128374,90663
0.128496,90686
0.128624,90709
0.128746,90732
0.128869,90755
0.128997,90778
0.129115,90801
0.129238,90824
0.129361,90847
0.129484,90870
0.129607,90893
0.129738,90916
0.129861,90939
0.129984,90962
0.130108,90985
0.130229,91008
0.130356,91031
0.130475,91054
0.130598,91077
0.130721,91100
0.130848,91123
0.130975,91146
0.131098,91169
0.131222,91192
0.131344,91215
0.131467,91238
0.13159,91261
0.131716,91284
0.131835,91307
0.131958,91330
0.132085,91353
0.132208,91376
0.132331,91399
0.132458,91422
0.132581,91445
0.132704,91468
0.132827,91491
0.13295,91514
0.133076,91537
0.1332,91560
0.133322,91583
0.133445,91606
0.133569,91629
0.133691,91652
0.133818,91675
0.133941,91698
0.134064,91721
0.134187,91744
0.134313,91767
0.134437,91790
0.13456,91813
0.134684,91836
0.134805,91859
0.134928,91882
0.135051,91905
0.135178,91928
0.135301,91951
0.135424,91974
0.135551,91997
0.135678,92020
0.135798,92043
0.13592,92066
0.136043,92089
0.136166,92112
0.136288,92135
0.136411,92158
0.136538,92181
0.136665,92204
0.136788,92227
0.136912,92250
0.137038,92273
0.137157,92296
0.13728,92319
0.137403,92342
0.137526,92365
0.137648,92388
0.137776,92411
0.137903,92434
0.138027,92457
0.138148,92480
0.138271,92503
0.138398,92526
0.138517,92549
0.13864,92572
0.138763,92595
0.13889,92618
0.139013,92641
0.139136,92664
0.139263,92687
0.139386,92710
0.139508,92733
0.139631,92756
0.139758,92779
0.139877,92802
0.14,92825
0.140127,92848
0.14025,92871
0.140374,92894
0.140495,92917
0.140618,92940
0.140745,92963
0.140868,92986
0.140991,93009
0.141118,93032
0.141237,93055
0.141364,93078
0.141488,93101
0.14161,93124
0.141733,93147
0.141856,93170
0.141983,93193
0.142105,93216
0.142228,93239
0.142351,93262
0.142482,93285
0.142602,93308
0.142724,93331
0.142847,93354
0.14297,93377
0.143093,93400
0.143216,93423
0.143343,93446
0.143466,93469
0.143593,93492
0.143717,93515
0.143842,93537
0.143961,93559
0.144084,93581
0.144207,93603
0.14433,93625
0.144453,93647
0.144576,93669
0.144707,93691
0.144831,93713
0.144953,93735
0.145076,93757
0.145202,93779
0.145321,93801
0.145444,93823
0.145567,93845
0.14569,93867
0.145817,93889
0.14594,93911
0.146067,93933
0.14619,93955
0.146313,93977
0.146439,93999
0.146559,94021
0.146681,94043
0.146804,94065
0.146931,94087
0.147054,94109
0.147178,94131
0.1473,94153
0.147427,94175
0.14755,94197
0.147673,94219
0.147799,94241
0.147919,94263
0.148042,94285
0.148164,94307
0.148293,94329
0.148414,94351
0.148537,94373
0.14866,94395
0.148783,94417
0.14891,94439
0.149033,94461
0.14916,94483
0.149279,94505
0.149407,94527
0.149529,94549
0.149652,94571
0.149774,94593
0.149897,94615
0.15002,94637
0.150143,94659
0.15027,94681
0.150393,94703
0.150525,94725
0.150643,94747
0.150766,94769
0.150889,94791
0.151011,94813
0.151134,94835
0.151257,94857
0.15138,94879
0.151503,94901
0.151635,94923
0.151757,94945
0.151884,94967
0.152003,94989
0.152126,95011
0.152249,95033
0.152371,95055
0.152494,95077
0.152617,95099
0.152744,95121
0.152868,95143
0.152994,95165
0.153117,95187
0.153244,95209
0.153363,95231
0.153486,95253
0.153609,95275
0.153732,95297
0.153859,95319
0.153983,95341
0.154104,95363
0.154231,95385
0.154354,95407
0.154477,95429
0.154604,95451
0.154723,95473
0.154846,95495
0.154969,95517
0.155097,95539
0.155219,95561
0.155342,95583
0.155464,95605
0.155592,95627
0.155714,95649
0.155837,95671
0.155964,95693
0.156083,95715
0.156206,95737
0.156333,95759
0.156456,95781
0.156579,95803
0.156702,95825
0.156825,95847
0.156947,95869
0.157074,95891
0.157201,95913
0.15732,95935
0.157447,95957
0.15757,95979
0.157693,96001
0.157816,96023
0.157939,96045
0.158062,96067
0.158185,96089
0.158308,96111
0.158435,96133
0.158565,96155
0.158685,96177
0.158807,96199
0.15893,96221
0.159053,96243
0.159176,96265
0.159299,96287
0.159422,96309
0.159545,96331
0.159673,96353
0.159799,96375
0.159925,96397
0.160045,96419
0.160168,96441
0.16029,96463
0.160413,96485
0.160536,96507
0.160659,96529
0.160782,96551
0.160909,96573
0.161032,96595
0.161159,96617
0.161286,96639
0.161405,96661
0.161528,96683
0.16165,96705
0.161773,96727
0.161896,96749
0.162023,96771
0.162146,96793
0.162269,96815
0.162392,96837
0.162519,96859
0.162645,96881
0.162764,96903
0.162887,96925
0.16301,96947
0.163137,96969
0.16326,96991
0.163383,97013
0.163506,97035
0.163629,97057
0.163752,97079
0.163879,97101
0.164005,97123
0.164125,97145
0.164249,97167
0.164375,97189
0.164497,97211
0.16462,97233
0.164743,97255
0.164866,97277
0.164989,97299
0.165112,97321
0.165239,97343
0.165367,97365
0.165489,97387
0.165612,97409
0.165735,97431
0.165858,97453
0.16598,97475
0.166103,97497
0.166226,97519
0.166349,97541
0.166472,97563
0.166603,97585
0.16673,97607
0.166849,97629
0.166972,97651
0.167095,97673
0.167218,97695
0.16734,97717
0.167463,97739
0.167586,97761
0.16771,97782
0.167836,97803
0.167963,97824
0.16809,97845
0.168209,97866
0.168332,97887
0.168455,97908
0.168578,97929
0.168701,97950
0.168825,97971
0.168951,97992
0.169073,98013
0.169196,98034
0.169327,98055
0.169446,98076
0.169569,98097
0.169692,98118
0.169815,98139
0.169939,98160
0.170065,98181
0.170188,98202
0.170311,98223
0.170434,98244
0.170556,98265
0.170687,98286
0.170806,98307
0.170929,98328
0.171053,98349
0.171179,98370
0.171302,98391
0.171425,98412
0.171548,98433
0.171671,98454
0.171794,98475
0.171916,98496
0.172047,98517
0.172168,98538
0.172289,98559
0.172416,98580
0.172539,98601
0.172662,98622
0.172785,98643
0.172908,98664
0.173031,98685
0.173154,98706
0.173277,98727
0.173404,98748
0.173526,98769
0.173653,98790
0.173776,98811
0.173899,98832
0.174022,98853
0.174145,98874
0.174268,98895
0.174391,98916
0.174515,98937
0.174636,98958
0.174767,98979
0.17489,99000
0.175013,99021
0.175136,99042
0.175259,99063
0.175382,99084
0.175505,99105
0.175629,99126
0.175751,99147
0.175874,99168
0.176001,99189
0.176127,99210
0.176251,99231
0.176373,99252
0.176496,99273
0.176619,99294
0.176743,99315
0.176865,99336
0.176988,99357
0.177115,99378
0.177238,99399
0.177361,99420
0.177491,99441
0.177611,99462
0.177734,99483
0.177858,99504
0.177979,99525
0.178102,99546
0.178229,99567
0.178352,99588
0.178475,99609
0.178598,99630
0.178721,99651
0.178852,99672
0.178972,99693
0.179094,99714
0.179216,99735
0.179344,99756
0.179466,99777
0.179589,99798
0.179712,99819
0.179835,99840
0.179958,99861
0.180085,99882
0.180208,99903
0.180331,99924
0.180458,99945
0.180581,99966
0.180704,99987
0.180827,100008
0.180949,100029
0.181072,100050
0.181195,100071
0.181319,100092
0.181445,100113
0.181564,100134
0.181691,100155
0.181818,100176
0.181941,100197
0.182064,100218
0.182187,100239
0.18231,100260
0.182434,100281
0.182555,100302
0.182678,100323
0.182805,100344
0.182928,100365
0.183055,100386
0.183178,100407
0.183301,100428
0.183424,100449
0.183548,100470
0.18367,100491
0.183792,100512
0.183915,100533
0.184042,100554
0.184169,100575
0.184288,100596
0.184415,100617
0.184538,100638
0.184662,100659
0.184784,100680
0.184907,100701
0.18503,100722
0.185157,100743
0.185279,100764
0.185402,100785
0.185529,100806
0.185648,100827
0.185776,100848
0.185898,100869
0.186021,100890
0.186144,100911
0.186271,100932
0.186394,100953
0.186517,100974
0.186639,100995
