Time,Sent
0.0030073,0
0.00901359,1
0.00901725,2
0.00902169,3
0.00902409,4
0.0150221,5
0.0150292,6
0.0150292,7
0.0150333,8
0.0150333,9
0.0150374,10
0.0150374,11
0.0210381,12
0.0210382,13
0.0210406,14
0.0210406,15
0.0210447,16
0.0210447,17
0.0210488,18
0.0210488,19
0.0210529,20
0.0210529,21
0.021057,22
0.021057,23
0.0270471,24
0.0270472,25
0.0270496,26
0.0270496,27
0.0270537,28
0.0270537,29
0.0270578,30
0.0270578,31
0.0270619,32
0.0270619,33
0.027066,34
0.027066,35
0.0270684,36
0.0270685,37
0.0270725,38
0.0270726,39
0.0270766,40
0.0270767,41
0.0270807,42
0.0270808,43
0.0270808,44
0.0270849,45
0.0270849,46
0.027089,47
0.027089,48
0.0330485,49
0.0330561,50
0.0330561,51
0.0330586,52
0.0330586,53
0.0330627,54
0.0330627,55
0.0330668,56
0.0330668,57
0.0330708,58
0.0330709,59
0.0330749,60
0.033075,61
0.0330774,62
0.0330774,63
0.0330815,64
0.0330815,65
0.0330856,66
0.0330856,67
0.0330897,68
0.0330897,69
0.0330938,70
0.0330938,71
0.0330979,72
0.0330979,73
0.0331003,74
0.0331004,75
0.0331044,76
0.0331045,77
0.0331085,78
0.0331086,79
0.0331126,80
0.0331127,81
0.0331167,82
0.0331168,83
0.0331192,84
0.0331192,85
0.0331233,86
0.0331233,87
0.0331274,88
0.0331274,89
0.0331275,90
0.0331316,91
0.0331316,92
0.0331357,93
0.0331357,94
0.0331358,95
0.0331398,96
0.0331399,97
0.0331423,98
0.0331423,99
0.0390651,100
0.0390652,101
0.0390676,102
0.0390676,103
0.0390717,104
0.0390717,105
0.0390758,106
0.0390758,107
0.0390799,108
0.0390799,109
0.039084,110
0.039084,111
0.0390864,112
0.0390865,113
0.0390905,114
0.0390906,115
0.0390946,116
0.0390947,117
0.0390987,118
0.0390988,119
0.0391028,120
0.0391029,121
0.0391069,122
0.039107,123
0.0391094,124
0.0391094,125
0.0391135,126
0.0391135,127
0.0391136,128
0.0391176,129
0.0391177,130
0.0391217,131
0.0391218,132
0.0391258,133
0.0391259,134
0.0391283,135
0.0391283,136
0.0391324,137
0.0391324,138
0.0391365,139
0.0391365,140
0.0391366,141
0.0391407,142
0.0391407,143
0.0391448,144
0.0391448,145
0.0391489,146
0.0391489,147
0.0391513,148
0.0391514,149
0.0391554,150
0.0391555,151
0.0391595,152
0.0391596,153
0.0391636,154
0.0391637,155
0.0391677,156
0.0391678,157
0.0391702,158
0.0391702,159
0.0391743,160
0.0391743,161
0.0391784,162
0.0391784,163
0.0391825,164
0.0391825,165
0.0391866,166
0.0391866,167
0.0391907,168
0.0391907,169
0.0391931,170
0.0391932,171
0.0391972,172
0.0391973,173
0.0391973,174
0.0392014,175
0.0392014,176
0.0392055,177
0.0392055,178
0.0392096,179
0.0392096,180
0.039212,181
0.0392121,182
0.0392161,183
0.0392162,184
0.0392202,185
0.0392203,186
0.0392204,187
0.0392244,188
0.0392245,189
0.0392285,190
0.0392286,191
0.0392326,192
0.0392327,193
0.0392351,194
0.0392351,195
0.0392392,196
0.0392392,197
0.0392433,198
0.0392433,199
0.0450741,200
0.0450742,201
0.0450766,202
0.0450766,203
0.0450807,204
0.0450807,205
0.0450848,206
0.0450848,207
0.0450889,208
0.0450889,209
0.045093,210
0.045093,211
0.0450931,212
0.0450955,213
0.0450955,214
0.0450996,215
0.0450996,216
0.0451037,217
0.0451037,218
0.0451078,219
0.0451078,220
0.0451119,221
0.0451119,222
0.045116,223
0.045116,224
0.0451184,225
0.0451185,226
0.0451225,227
0.0451226,228
0.0451227,229
0.0451267,230
0.0451268,231
0.0451308,232
0.0451309,233
0.0451349,234
0.045135,235
0.0451374,236
0.0451374,237
0.0451415,238
0.0451415,239
0.0451456,240
0.0451456,241
0.0451497,242
0.0451497,243
0.0451538,244
0.0451538,245
0.0451579,246
0.0451579,247
0.0451603,248
0.0451604,249
0.0451644,250
0.0451645,251
0.0451686,252
0.0451686,253
0.0451727,254
0.0451727,255
0.0451768,256
0.0451768,257
0.0451769,258
0.0451809,259
0.045181,260
0.0451834,261
0.0451834,262
0.0451875,263
0.0451875,264
0.0451916,265
0.0451916,266
0.0451957,267
0.0451958,268
0.0451998,269
0.0451999,270
0.0452023,271
0.0452023,272
0.0452064,273
0.0452064,274
0.0452065,275
0.0452105,276
0.0452106,277
0.0452146,278
0.0452147,279
0.0452187,280
0.0452188,281
0.0452228,282
0.0452229,283
0.0452253,284
0.0452254,285
0.0452294,286
0.0452295,287
0.0452335,288
0.0452336,289
0.0452376,290
0.0452377,291
0.0452417,292
0.0452418,293
0.0452442,294
0.0452442,295
0.0452443,296
0.0452483,297
0.0452484,298
0.0452525,299
0.0452525,300
0.0452566,301
0.0452566,302
0.0452607,303
0.0452607,304
0.0452648,305
0.0452648,306
0.0452672,307
0.0452673,308
0.0452713,309
0.0452714,310
0.0452754,311
0.0452755,312
0.0452795,313
0.0452796,314
0.0452836,315
0.0452837,316
0.0452861,317
0.0452861,318
0.0452902,319
0.0452902,320
0.0452903,321
0.0452944,322
0.0452944,323
0.0452985,324
0.0452985,325
0.0453026,326
0.0453026,327
0.0453067,328
0.0453067,329
0.0453091,330
0.0453092,331
0.0453132,332
0.0453133,333
0.0453173,334
0.0453174,335
0.0453214,336
0.0453215,337
0.0453255,338
0.0453256,339
0.0453296,340
0.0453297,341
0.0453298,342
0.0453322,343
0.0453322,344
0.0453363,345
0.0453363,346
0.0453404,347
0.0453404,348
0.0453445,349
0.0453445,350
0.0453486,351
0.0453486,352
0.045351,353
0.0453511,354
0.0453551,355
0.0453552,356
0.0453592,357
0.0453593,358
0.0453633,359
0.0453634,360
0.0453674,361
0.0453675,362
0.0453715,363
0.0453716,364
0.045374,365
0.045374,366
0.0453741,367
0.0453782,368
0.0453782,369
0.0453823,370
0.0453823,371
0.0453864,372
0.0453864,373
0.0453905,374
0.0453905,375
0.0453929,376
0.045393,377
0.045397,378
0.0453971,379
0.0453972,380
0.0454012,381
0.0454013,382
0.0454053,383
0.0454054,384
0.0454094,385
0.0454095,386
0.0454135,387
0.0454136,388
0.045416,389
0.045416,390
0.0454201,391
0.0454201,392
0.0454242,393
0.0454242,394
0.0454283,395
0.0454283,396
0.0454324,397
0.0454324,398
0.0454348,399
0.0454349,400
0.0510831,401
0.0510832,402
0.0510856,403
0.0510856,404
0.0510897,405
0.0510897,406
0.0510938,407
0.0510938,408
0.0510979,409
0.0510979,410
0.051102,411
0.051102,412
0.0511021,413
0.0511045,414
0.0511046,415
0.0511086,416
0.0511087,417
0.0511127,418
0.0511128,419
0.0511168,420
0.0511169,421
0.0511209,422
0.051121,423
0.051125,424
0.0511251,425
0.0511252,426
0.0511276,427
0.0511276,428
0.0511317,429
0.0511317,430
0.0511358,431
0.0511358,432
0.0511399,433
0.0511399,434
0.051144,435
0.051144,436
0.0511481,437
0.0511481,438
0.0511505,439
0.0511506,440
0.0511546,441
0.0511547,442
0.0511587,443
0.0511588,444
0.0511628,445
0.0511629,446
0.0511669,447
0.051167,448
0.0511694,449
0.0511694,450
0.0511735,451
0.0511735,452
0.0511776,453
0.0511776,454
0.0511817,455
0.0511817,456
0.0511858,457
0.0511858,458
0.0511859,459
0.05119,460
0.05119,461
0.0511924,462
0.0511925,463
0.0511926,464
0.0511966,465
0.0511967,466
0.0512007,467
0.0512008,468
0.0512048,469
0.0512049,470
0.0512089,471
0.051209,472
0.0512114,473
0.0512114,474
0.0512155,475
0.0512155,476
0.0512196,477
0.0512196,478
0.0512237,479
0.0512237,480
0.0512278,481
0.0512278,482
0.0512319,483
0.0512319,484
0.0512343,485
0.0512344,486
0.0512384,487
0.0512385,488
0.0512425,489
0.0512426,490
0.0512466,491
0.0512467,492
0.0512507,493
0.0512508,494
0.0512532,495
0.0512533,496
0.0512573,497
0.0512574,498
0.0512614,499
0.0512615,500
0.0512655,501
0.0512656,502
0.0512696,503
0.0512697,504
0.0512698,505
0.0512738,506
0.0512739,507
0.0512763,508
0.0512763,509
0.0512764,510
0.0512804,511
0.0512805,512
0.0512845,513
0.0512846,514
0.0512887,515
0.0512887,516
0.0512928,517
0.0512928,518
0.0512969,519
0.0512969,520
0.0512993,521
0.0512994,522
0.0513034,523
0.0513035,524
0.0513075,525
0.0513076,526
0.0513116,527
0.0513117,528
0.0513157,529
0.0513158,530
0.0513182,531
0.0513182,532
0.0513223,533
0.0513223,534
0.0513264,535
0.0513264,536
0.0513305,537
0.0513305,538
0.0513346,539
0.0513346,540
0.0513387,541
0.0513387,542
0.0513411,543
0.0513412,544
0.0513453,545
0.0513453,546
0.0513494,547
0.0513494,548
0.0513495,549
0.0513496,550
0.0513536,551
0.0513537,552
0.0513577,553
0.0513578,554
0.0513602,555
0.0513602,556
0.0513643,557
0.0513643,558
0.0513684,559
0.0513684,560
0.0513725,561
0.0513725,562
0.0513766,563
0.0513766,564
0.0513807,565
0.0513808,566
0.0513832,567
0.0513832,568
0.0513873,569
0.0513873,570
0.0513914,571
0.0513914,572
0.0513955,573
0.0513955,574
0.0513996,575
0.0513996,576
0.051402,577
0.0514021,578
0.0514061,579
0.0514062,580
0.0514102,581
0.0514103,582
0.0514143,583
0.0514144,584
0.0514184,585
0.0514185,586
0.0514225,587
0.0514226,588
0.051425,589
0.051425,590
0.0514251,591
0.0514252,592
0.0514293,593
0.0514293,594
0.0514334,595
0.0514334,596
0.0514375,597
0.0514375,598
0.0514416,599
0.0514416,600
0.0514457,601
0.0514457,602
0.0514481,603
0.0514482,604
0.0514522,605
0.0514523,606
0.0514563,607
0.0514564,608
0.0514604,609
0.0514605,610
0.0514645,611
0.0514646,612
0.051467,613
0.051467,614
0.0514711,615
0.0514711,616
0.0514752,617
0.0514753,618
0.0514793,619
0.0514794,620
0.0514834,621
0.0514835,622
0.0514875,623
0.0514876,624
0.05149,625
0.05149,626
0.0514941,627
0.0514941,628
0.0514982,629
0.0514982,630
0.0515023,631
0.0515023,632
0.0515024,633
0.0515065,634
0.0515065,635
0.0515089,636
0.051509,637
0.051509,638
0.0515131,639
0.0515132,640
0.0515172,641
0.0515173,642
0.0515213,643
0.0515214,644
0.0515254,645
0.0515255,646
0.0515295,647
0.0515296,648
0.051532,649
0.051532,650
0.0515361,651
0.0515361,652
0.0515402,653
0.0515402,654
0.0515443,655
0.0515443,656
0.0515484,657
0.0515484,658
0.0515525,659
0.0515525,660
0.0515549,661
0.051555,662
0.051559,663
0.0515591,664
0.0515631,665
0.0515632,666
0.0515672,667
0.0515673,668
0.0515713,669
0.0515714,670
0.0515738,671
0.0515739,672
0.0515779,673
0.051578,674
0.051578,675
0.0515821,676
0.0515821,677
0.0515862,678
0.0515862,679
0.0515903,680
0.0515904,681
0.0515944,682
0.0515945,683
0.0515945,684
0.0515969,685
0.051597,686
0.051601,687
0.0516011,688
0.0516051,689
0.0516052,690
0.0516093,691
0.0516093,692
0.0516134,693
0.0516134,694
0.0516158,695
0.0516159,696
0.0516199,697
0.05162,698
0.051624,699
0.0516241,700
0.0516281,701
0.0516282,702
0.0516322,703
0.0516323,704
0.0516363,705
0.0516364,706
0.0516388,707
0.0516388,708
0.0516429,709
0.0516429,710
0.051647,711
0.051647,712
0.0516511,713
0.0516511,714
0.0516552,715
0.0516552,716
0.0516553,717
0.0516594,718
0.0516594,719
0.0516618,720
0.0516619,721
0.0516659,722
0.051666,723
0.05167,724
0.0516701,725
0.0516741,726
0.0516742,727
0.0516782,728
0.0516783,729
0.0516784,730
0.0516808,731
0.0516808,732
0.0516849,733
0.0516849,734
0.051689,735
0.051689,736
0.0516931,737
0.0516931,738
0.0516972,739
0.0516972,740
0.0517013,741
0.0517014,742
0.0517038,743
0.0517038,744
0.0517079,745
0.0517079,746
0.051712,747
0.051712,748
0.0517161,749
0.0517161,750
0.0517202,751
0.0517202,752
0.0517226,753
0.0517227,754
0.0517267,755
0.0517268,756
0.0517308,757
0.0517309,758
0.051731,759
0.051735,760
0.0517351,761
0.0517391,762
0.0517392,763
0.0517432,764
0.0517433,765
0.0517457,766
0.0517457,767
0.0517498,768
0.0517498,769
0.0517539,770
0.0517539,771
0.051758,772
0.051758,773
0.0517621,774
0.0517621,775
0.0517622,776
0.0517663,777
0.0517663,778
0.0517687,779
0.0517688,780
0.0517728,781
0.0517729,782
0.0517769,783
0.051777,784
0.051781,785
0.0517811,786
0.0517851,787
0.0517852,788
0.0517876,789
0.0517876,790
0.0517917,791
0.0517917,792
0.0517958,793
0.0517958,794
0.0517999,795
0.0518,796
0.051804,797
0.0518041,798
0.0518081,799
0.0518082,800
0.0518082,801
0.0570921,802
0.0570922,803
0.0570946,804
0.0570946,805
0.0570987,806
0.0570987,807
0.0571028,808
0.0571028,809
0.0571069,810
0.0571069,811
0.057111,812
0.057111,813
0.0571134,814
0.0571135,815
0.0571175,816
0.0571176,817
0.0571216,818
0.0571217,819
0.0571258,820
0.0571258,821
0.0571259,822
0.0571299,823
0.05713,824
0.057134,825
0.0571341,826
0.0571365,827
0.0571366,828
0.0571406,829
0.0571407,830
0.0571447,831
0.0571448,832
0.0571488,833
0.0571489,834
0.0571529,835
0.057153,836
0.0571554,837
0.0571554,838
0.0571595,839
0.0571595,840
0.0571636,841
0.0571636,842
0.0571637,843
0.0571678,844
0.0571678,845
0.0571719,846
0.0571719,847
0.057176,848
0.057176,849
0.0571784,850
0.0571785,851
0.0571825,852
0.0571826,853
0.0571866,854
0.0571867,855
0.0571907,856
0.0571908,857
0.0571948,858
0.0571949,859
0.0571989,860
0.057199,861
0.0572014,862
0.0572014,863
0.0572055,864
0.0572055,865
0.0572096,866
0.0572096,867
0.0572097,868
0.0572138,869
0.0572138,870
0.0572179,871
0.0572179,872
0.0572203,873
0.0572204,874
0.0572244,875
0.0572245,876
0.0572285,877
0.0572286,878
0.0572326,879
0.0572327,880
0.0572368,881
0.0572368,882
0.0572409,883
0.0572409,884
0.057241,885
0.0572434,886
0.0572434,887
0.0572475,888
0.0572475,889
0.0572516,890
0.0572517,891
0.0572557,892
0.0572558,893
0.0572598,894
0.0572599,895
0.0572623,896
0.0572623,897
0.0572664,898
0.0572664,899
0.0572705,900
0.0572705,901
0.0572746,902
0.0572746,903
0.0572787,904
0.0572787,905
0.0572828,906
0.0572828,907
0.0572852,908
0.0572853,909
0.0572893,910
0.0572894,911
0.0572934,912
0.0572935,913
0.0572936,914
0.0572976,915
0.0572977,916
0.0573017,917
0.0573018,918
0.0573058,919
0.0573059,920
0.0573083,921
0.0573083,922
0.0573124,923
0.0573124,924
0.0573165,925
0.0573165,926
0.0573166,927
0.0573207,928
0.0573207,929
0.0573248,930
0.0573248,931
0.0573272,932
0.0573273,933
0.0573313,934
0.0573314,935
0.0573354,936
0.0573355,937
0.0573395,938
0.0573396,939
0.0573436,940
0.0573437,941
0.0573478,942
0.0573478,943
0.0573502,944
0.0573503,945
0.0573543,946
0.0573544,947
0.0573584,948
0.0573585,949
0.0573625,950
0.0573626,951
0.0573666,952
0.0573667,953
0.0573691,954
0.0573691,955
0.0573732,956
0.0573732,957
0.0573773,958
0.0573773,959
0.0573774,960
0.0573815,961
0.0573815,962
0.0573856,963
0.0573856,964
0.0573897,965
0.0573897,966
0.0573921,967
0.0573922,968
0.0573923,969
0.0573963,970
0.0573964,971
0.0574004,972
0.0574005,973
0.0574045,974
0.0574046,975
0.0574086,976
0.0574087,977
0.0574127,978
0.0574128,979
0.0574152,980
0.0574152,981
0.0574193,982
0.0574193,983
0.0574234,984
0.0574234,985
0.0574275,986
0.0574275,987
0.0574316,988
0.0574316,989
0.057434,990
0.0574341,991
0.0574381,992
0.0574382,993
0.0574423,994
0.0574423,995
0.0574464,996
0.0574464,997
0.0574505,998
0.0574505,999
0.0574546,1000
0.0574546,1001
0.0574547,1002
0.0574571,1003
0.0574571,1004
0.0574612,1005
0.0574613,1006
0.0574653,1007
0.0574654,1008
0.0574694,1009
0.0574695,1010
0.0574695,1011
0.0574736,1012
0.0574736,1013
0.057476,1014
0.0574761,1015
0.0574802,1016
0.0574802,1017
0.0574843,1018
0.0574843,1019
0.0574884,1020
0.0574884,1021
0.0574925,1022
0.0574925,1023
0.0574966,1024
0.0574966,1025
0.057499,1026
0.0574991,1027
0.0575031,1028
0.0575032,1029
0.0575072,1030
0.0575073,1031
0.0575113,1032
0.0575114,1033
0.0575154,1034
0.0575155,1035
0.0575179,1036
0.0575179,1037
0.057522,1038
0.057522,1039
0.0575261,1040
0.0575261,1041
0.0575302,1042
0.0575302,1043
0.0575343,1044
0.0575343,1045
0.0575344,1046
0.0575385,1047
0.0575385,1048
0.0575409,1049
0.057541,1050
0.0575411,1051
0.0575451,1052
0.0575452,1053
0.0575492,1054
0.0575493,1055
0.0575533,1056
0.0575534,1057
0.0575574,1058
0.0575575,1059
0.0575615,1060
0.0575616,1061
0.057564,1062
0.057564,1063
0.0575681,1064
0.0575681,1065
0.0575722,1066
0.0575723,1067
0.0575763,1068
0.0575764,1069
0.0575804,1070
0.0575805,1071
0.0575829,1072
0.0575829,1073
0.057587,1074
0.057587,1075
0.0575911,1076
0.0575911,1077
0.0575952,1078
0.0575952,1079
0.0575993,1080
0.0575993,1081
0.0576034,1082
0.0576034,1083
0.0576058,1084
0.0576059,1085
0.0576099,1086
0.05761,1087
0.057614,1088
0.0576141,1089
0.0576181,1090
0.0576182,1091
0.0576183,1092
0.0576223,1093
0.0576224,1094
0.0576248,1095
0.0576248,1096
0.0576249,1097
0.057629,1098
0.057629,1099
0.0576331,1100
0.0576331,1101
0.0576372,1102
0.0576372,1103
0.0576413,1104
0.0576413,1105
0.0576454,1106
0.0576454,1107
0.0576478,1108
0.0576479,1109
0.0576519,1110
0.057652,1111
0.057656,1112
0.0576561,1113
0.0576601,1114
0.0576602,1115
0.0576642,1116
0.0576643,1117
0.0576684,1118
0.0576684,1119
0.0576708,1120
0.0576709,1121
0.0576749,1122
0.057675,1123
0.057679,1124
0.0576791,1125
0.0576831,1126
0.0576832,1127
0.0576872,1128
0.0576873,1129
0.0576897,1130
0.0576897,1131
0.0576938,1132
0.0576938,1133
0.0576939,1134
0.057698,1135
0.057698,1136
0.0577021,1137
0.0577021,1138
0.0577022,1139
0.0577063,1140
0.0577063,1141
0.0577104,1142
0.0577104,1143
0.0577128,1144
0.0577129,1145
0.0577169,1146
0.057717,1147
0.057721,1148
0.0577211,1149
0.0577251,1150
0.0577252,1151
0.0577292,1152
0.0577293,1153
0.0577317,1154
0.0577317,1155
0.0577358,1156
0.0577358,1157
0.0577399,1158
0.0577399,1159
0.057744,1160
0.057744,1161
0.0577481,1162
0.0577481,1163
0.0577522,1164
0.0577522,1165
0.0577546,1166
0.0577547,1167
0.0577587,1168
0.0577588,1169
0.0577628,1170
0.0577629,1171
0.057767,1172
0.057767,1173
0.0577711,1174
0.0577711,1175
0.0577735,1176
0.0577736,1177
0.0577776,1178
0.0577777,1179
0.0577778,1180
0.0577818,1181
0.0577819,1182
0.0577859,1183
0.057786,1184
0.057786,1185
0.0577901,1186
0.0577901,1187
0.0577942,1188
0.0577942,1189
0.0577966,1190
0.0577967,1191
0.0578008,1192
0.0578008,1193
0.0578049,1194
0.0578049,1195
0.057809,1196
0.057809,1197
0.0578131,1198
0.0578131,1199
0.0578172,1200
0.0578172,1201
0.0578196,1202
0.0578197,1203
0.0578237,1204
0.0578238,1205
0.0578278,1206
0.0578279,1207
0.0578319,1208
0.057832,1209
0.057836,1210
0.0578361,1211
0.0578385,1212
0.0578385,1213
0.0578426,1214
0.0578426,1215
0.0578467,1216
0.0578467,1217
0.0578468,1218
0.0578509,1219
0.0578509,1220
0.057855,1221
0.057855,1222
0.0578591,1223
0.0578591,1224
0.0578615,1225
0.0578616,1226
0.0578656,1227
0.0578657,1228
0.0578697,1229
0.0578698,1230
0.0578699,1231
0.0578739,1232
0.057874,1233
0.057878,1234
0.0578781,1235
0.0578821,1236
0.0578822,1237
0.0578846,1238
0.0578846,1239
0.0578887,1240
0.0578887,1241
0.0578928,1242
0.0578929,1243
0.0578969,1244
0.057897,1245
0.057901,1246
0.0579011,1247
0.0579035,1248
0.0579035,1249
0.0579076,1250
0.0579076,1251
0.0579117,1252
0.0579117,1253
0.0579158,1254
0.0579158,1255
0.0579199,1256
0.0579199,1257
0.057924,1258
0.057924,1259
0.0579264,1260
0.0579265,1261
0.0579305,1262
0.0579306,1263
0.0579307,1264
0.0579347,1265
0.0579348,1266
0.0579388,1267
0.0579389,1268
0.0579429,1269
0.057943,1270
0.0579454,1271
0.0579454,1272
0.0579495,1273
0.0579495,1274
0.0579536,1275
0.0579536,1276
0.0579537,1277
0.0579578,1278
0.0579578,1279
0.0579619,1280
0.0579619,1281
0.057966,1282
0.057966,1283
0.0579684,1284
0.0579685,1285
0.0579725,1286
0.0579726,1287
0.0579766,1288
0.0579767,1289
0.0579807,1290
0.0579808,1291
0.0579848,1292
0.0579849,1293
0.0579873,1294
0.0579874,1295
0.0579914,1296
0.0579915,1297
0.0579955,1298
0.0579956,1299
0.0579996,1300
0.0579997,1301
0.0579997,1302
0.0580038,1303
0.0580039,1304
0.0580079,1305
0.058008,1306
0.0580104,1307
0.0580104,1308
0.0580145,1309
0.0580145,1310
0.0580186,1311
0.0580186,1312
0.0580227,1313
0.0580227,1314
0.0580268,1315
0.0580268,1316
0.0580309,1317
0.0580309,1318
0.0580333,1319
0.0580334,1320
0.0580374,1321
0.0580375,1322
0.0580376,1323
0.0580416,1324
0.0580417,1325
0.0580457,1326
0.0580458,1327
0.0580498,1328
0.0580499,1329
0.0580523,1330
0.0580523,1331
0.0580564,1332
0.0580564,1333
0.0580605,1334
0.0580605,1335
0.0580646,1336
0.0580646,1337
0.0580687,1338
0.0580687,1339
0.0580728,1340
0.0580728,1341
0.0580752,1342
0.0580753,1343
0.0580794,1344
0.0580794,1345
0.0580835,1346
0.0580835,1347
0.0580836,1348
0.0580876,1349
0.0580877,1350
0.0580917,1351
0.0580918,1352
0.0580942,1353
0.0580942,1354
0.0580983,1355
0.0580983,1356
0.0581024,1357
0.0581025,1358
0.0581065,1359
0.0581066,1360
0.0581106,1361
0.0581107,1362
0.0581147,1363
0.0581148,1364
0.0581148,1365
0.0581172,1366
0.0581173,1367
0.0581214,1368
0.0581214,1369
0.0581255,1370
0.0581255,1371
0.0581296,1372
0.0581296,1373
0.0581337,1374
0.0581337,1375
0.0581361,1376
0.0581362,1377
0.0581402,1378
0.0581403,1379
0.0581443,1380
0.0581444,1381
0.0581484,1382
0.0581485,1383
0.0581525,1384
0.0581526,1385
0.0581527,1386
0.0581567,1387
0.0581568,1388
0.0581592,1389
0.0581592,1390
0.0581633,1391
0.0581633,1392
0.0581674,1393
0.0581674,1394
0.0581715,1395
0.0581715,1396
0.0581756,1397
0.0581756,1398
0.0581797,1399
0.0581797,1400
0.0581821,1401
0.0581822,1402
0.0581862,1403
0.0581863,1404
0.0581903,1405
0.0581904,1406
0.0581944,1407
0.0581945,1408
0.0581986,1409
0.0581986,1410
0.0581987,1411
0.0582011,1412
0.0582011,1413
0.0582052,1414
0.0582052,1415
0.0582093,1416
0.0582093,1417
0.0582134,1418
0.0582135,1419
0.0582175,1420
0.0582176,1421
0.0582216,1422
0.0582217,1423
0.0582241,1424
0.0582241,1425
0.0582282,1426
0.0582282,1427
0.0582323,1428
0.0582323,1429
0.0582364,1430
0.0582364,1431
0.0582365,1432
0.0582406,1433
0.0582406,1434
0.058243,1435
0.0582431,1436
0.0582471,1437
0.0582472,1438
0.0582512,1439
0.0582513,1440
0.0582553,1441
0.0582554,1442
0.0582594,1443
0.0582595,1444
0.0582635,1445
0.0582636,1446
0.058266,1447
0.058266,1448
0.0582701,1449
0.0582701,1450
0.0582742,1451
0.0582742,1452
0.0582783,1453
0.0582783,1454
0.0582824,1455
0.0582824,1456
0.0582825,1457
0.0582866,1458
0.0582866,1459
0.058289,1460
0.0582891,1461
0.0582931,1462
0.0582932,1463
0.0582972,1464
0.0582973,1465
0.0583013,1466
0.0583014,1467
0.0583054,1468
0.0583055,1469
0.0583056,1470
0.058308,1471
0.058308,1472
0.0583121,1473
0.0583121,1474
0.0583162,1475
0.0583162,1476
0.0583203,1477
0.0583203,1478
0.0583244,1479
0.0583245,1480
0.0583285,1481
0.0583286,1482
0.058331,1483
0.058331,1484
0.0583351,1485
0.0583351,1486
0.0583392,1487
0.0583392,1488
0.0583433,1489
0.0583433,1490
0.0583474,1491
0.0583474,1492
0.0583498,1493
0.0583499,1494
0.0583539,1495
0.058354,1496
0.058358,1497
0.0583581,1498
0.0583621,1499
0.0583622,1500
0.0583662,1501
0.0583663,1502
0.0583664,1503
0.0583704,1504
0.0583705,1505
0.0583729,1506
0.0583729,1507
0.058377,1508
0.058377,1509
0.0583811,1510
0.0583811,1511
0.0583852,1512
0.0583852,1513
0.0583893,1514
0.0583893,1515
0.0583894,1516
0.0583935,1517
0.0583935,1518
0.0583959,1519
0.058396,1520
0.0584,1521
0.0584001,1522
0.0584041,1523
0.0584042,1524
0.0584082,1525
0.0584083,1526
0.0584123,1527
0.0584124,1528
0.0584148,1529
0.0584149,1530
0.0584189,1531
0.058419,1532
0.058423,1533
0.0584231,1534
0.0584271,1535
0.0584272,1536
0.0584312,1537
0.0584313,1538
0.0584353,1539
0.0584354,1540
0.0584378,1541
0.0584378,1542
0.0584419,1543
0.0584419,1544
0.058446,1545
0.058446,1546
0.0584461,1547
0.0584502,1548
0.0584502,1549
0.0584543,1550
0.0584543,1551
0.0584544,1552
0.0584568,1553
0.0584569,1554
0.0584609,1555
0.058461,1556
0.058465,1557
0.0584651,1558
0.0584691,1559
0.0584692,1560
0.0584732,1561
0.0584733,1562
0.0584773,1563
0.0584774,1564
0.0584798,1565
0.0584798,1566
0.0584839,1567
0.0584839,1568
0.058488,1569
0.058488,1570
