Time,Cwnd
0,0
0.0160371,10000
0.032396,11000
0.0340824,12000
0.0357688,13000
0.0374552,14000
0.0391416,15000
0.0487506,16000
0.050437,17000
0.0508586,18000
0.0531352,19000
0.0554962,20000
0.0559178,21000
0.0581944,22000
0.0651051,23000
0.0654424,24000
0.0678034,25000
0.0683093,26000
0.0687309,27000
0.0727782,28000
0.0752235,29000
0.0755608,30000
0.076151,31000
0.0802827,32000
0.0805357,33000
0.082981,34000
0.0833182,35000
0.0837398,36000
0.0880402,37000
0.0884618,38000
0.088799,39000
0.0892206,40000
0.095376,41000
0.095629,42000
0.0981586,43000
0.0984958,44000
0.0989174,45000
0.0997606,46000
0.105579,47000
0.105832,48000
0.106169,49000
0.110638,50000
0.110975,51000
0.111228,52000
0.11165,53000
0.112071,54000
0.118395,55000
0.118733,56000
0.11907,57000
0.119323,58000
0.119744,59000
0.120166,60000
0.128429,61000
0.128598,62000
0.128935,63000
0.131805,2000
0.295915,2500
0.312272,2900
0.328711,3244
0.345149,3552
0.361504,3833
0.377859,4093
0.394213,4337
0.394382,4567
0.410652,4785
0.410821,4993
0.427091,5193
0.42726,5385
0.44353,5570
0.443783,5749
0.459884,5922
0.460137,6090
0.476239,6254
0.476492,6413
0.476745,6568
0.492678,6720
0.493015,6868
0.493268,7013
0.509117,7155
0.509538,7294
0.509876,7431
0.525471,7565
0.525893,7697
0.52623,7826
0.541826,7953
0.542247,8078
0.542585,8201
0.55818,8322
0.558602,8442
0.558939,8560
0.559192,8676
0.574619,8791
0.575041,8904
0.575462,9016
0.575715,9126
0.591058,9235
0.59148,9343
0.591986,9450
0.592154,9555
0.607413,9659
0.607834,9762
0.60834,9864
0.608509,9965
0.623767,10065
0.624189,10164
0.624695,10262
0.624863,10359
0.640122,10455
0.64029,10550
0.640628,10644
0.641134,10737
0.641387,10830
0.656561,10922
0.656729,11013
0.657067,11103
0.657572,11193
0.65791,11282
0.673,11370
0.673168,11457
0.673421,11544
0.673927,11630
0.674264,11715
0.689354,11800
0.689523,11884
0.689776,11968
0.690282,12051
0.690619,12133
0.705709,12215
0.705877,12296
0.70613,12377
0.706636,12457
0.706805,12537
0.707142,12616
0.722148,12695
0.722316,12773
0.722569,12851
0.723159,12928
0.723328,13005
0.723665,13081
0.738586,13157
0.738755,13233
0.739008,13308
0.739683,13383
0.739936,13457
0.740104,13531
0.754941,13604
0.75511,13677
0.755363,13750
0.756037,13822
0.75629,13894
0.756459,13965
0.771296,14036
0.771464,14107
0.771717,14177
0.772392,14247
0.772645,14317
0.772813,14386
0.78765,14455
0.787819,14524
0.787987,14592
0.788156,14660
0.788915,14728
0.789084,14795
0.789336,14862
0.804089,14929
0.804258,14995
0.804426,15061
0.804595,15127
0.805438,15193
0.805607,15258
0.80586,15323
0.820528,15388
0.820696,15452
0.820865,15516
0.821034,15580
0.821793,15644
0.822046,15707
0.822214,15770
0.836882,15833
0.837051,15896
0.83722,15958
0.837388,16020
0.838147,16082
0.8384,16144
0.838569,16205
0.853237,16266
0.853406,16327
0.853574,16388
0.853743,16449
0.853996,16509
0.85467,16569
0.854839,16629
0.855092,16689
0.869676,16748
0.869844,16807
0.870013,16866
0.870182,16925
0.870519,16984
0.871194,17042
0.871362,17100
0.871615,17158
0.886115,17216
0.886283,17274
0.886452,17331
0.886621,17388
0.887042,17445
0.887717,17502
0.88797,17559
0.888138,17615
0.902469,17671
0.902638,17727
0.902807,17783
0.902975,17839
0.903397,17895
0.904071,17950
0.904324,18005
0.904493,18060
0.918824,18115
0.918992,18170
0.919161,18225
0.91933,18279
0.919751,18333
0.920426,18387
0.920679,18441
0.920848,18495
0.921185,18549
0.935263,18602
0.935431,18655
0.9356,18708
0.935769,18761
0.936275,18814
0.936949,18867
0.937118,18920
0.937371,18972
0.937708,19024
0.951702,19076
0.95187,19128
0.952039,19180
0.952208,19232
0.952798,19283
0.953472,19334
0.953641,19385
0.953894,19436
0.954231,19487
0.968056,19538
0.968225,19589
0.968393,19640
0.968562,19690
0.969152,19740
0.969827,19790
0.97008,19840
0.970248,19890
0.970586,19940
0.984411,19990
0.984579,20040
0.984748,20089
0.984917,20138
0.985507,20187
0.986181,20236
0.986434,20285
0.986603,20334
0.98694,20383
1.00077,20432
1.00093,20480
1.0011,20528
