Time,Throughput
0.100007,82056
0.200094,179892
0.300291,193568
0.404639,180944
0.50479,201984
0.604857,237752
0.705008,289300
0.805159,359784
0.90531,443944
1.00534,548092
1.10536,669072
1.2054,806884
1.3054,937332
1.40541,1078300
1.50541,1200332
1.60541,1330780
1.70542,1469644
1.80542,1613768
1.90542,1729488
2.00543,1849416
2.10543,1974604
2.20543,2111364
2.30551,2372260
2.40553,2659456
2.50558,2965588
2.60558,3235952
2.70559,3465288
2.80559,3751432
2.90559,3993392
3.0056,4201688
3.1056,4436284
3.2056,4646684
3.30561,4902320
3.40561,5110616
3.50562,5295768
3.60562,5310496
3.70562,5333640
3.80563,5367304
3.90563,5402020
4.00563,5444100
4.10564,5494596
4.20564,5535624
4.30564,5598744
4.40565,5651344
4.50565,5709204
4.60565,5769168
4.70573,5881732
4.80577,6032168
4.90581,6171032
5.00582,6322520
5.10582,6487684
5.20582,6628652
5.30583,6774880
5.40583,6930576
5.50583,7052608
5.60584,7223032
5.70584,7356636
5.80584,7494448
5.90585,7633312
6.00588,7649092
6.10592,7672236
6.20592,7703796
6.30592,7740616
6.40593,7787956
6.50593,7838452
6.60594,7895260
6.70594,7942600
6.80594,8014136
6.90595,8071996
7.00595,8135116
7.10595,8201392
7.20596,8298176
7.30596,8407584
7.40596,8514888
7.50597,8634816
7.60597,8763160
7.70597,8865204
7.80598,8972508
7.90598,9080864
8.00598,9234456
8.10599,9396464
8.20599,9523756
8.306,9700492
8.406,9838304
8.506,10027664
8.60601,10174944
8.70601,10327484
8.80605,10473712
8.90609,10490544
9.0061,10515792
9.1061,10551560
9.2061,10597848
9.30611,10644136
9.40611,10696736
9.50611,10757752
9.60612,10809300
9.70612,10885044
9.80612,10945008
9.90613,11010232
