Time,Data
0.100066,732401
0.200004,1042483
0.300085,1240134
0.400068,1242920
0.5,1093484
0.600001,1221766
0.700036,1243224
0.800926,1130402
0.900007,1178093
1.00001,1242885
1.10008,1159417
1.20003,1144014
1.30001,1241981
1.40094,1232620
1.50009,1068068
1.60003,1241710
1.70008,1243577
1.80005,1079954
1.90005,1230323
2.00001,1242363
2.10007,1134121
2.20002,1180324
2.30001,1243891
2.40012,1157557
2.50129,970984
2.60004,857513
2.70011,1186694
2.80007,1242751
2.9005,1059292
3.00009,1193180
3.10001,1243027
3.20005,1176250
3.30004,1133107
3.40001,1242450
3.5,1244321
3.60008,1069592
3.70002,1240797
3.80009,1243744
3.90002,1101020
4,1216547
4.10001,1242955
4.20011,1146333
4.30008,1165082
4.40004,1242422
4.50004,1242912
4.60001,1072818
4.70004,1243297
4.80009,1243624
4.90005,1006570
5.00001,753926
5.10001,1091826
5.20006,1242489
5.30006,1242919
5.4,1077208
5.50004,1236387
5.60002,1243879
5.70006,1119254
5.80008,1195456
5.90003,1242220
6.00035,1187927
6.10004,1126821
6.20001,1242556
6.30008,1243889
6.4,1076369
6.50001,1238192
6.60003,1243273
6.70005,1100381
6.80006,1214167
6.9,1243294
7.00011,1162924
7.10001,1155759
7.20005,1242032
7.30002,1242603
7.4,1078729
7.5001,1242842
7.6,1243180
7.70006,1082035
7.8001,1228275
7.90001,1243172
8.00007,1102747
8.10004,1200979
8.20006,1243144
8.30011,1181801
8.40001,1135339
8.50001,1243855
8.60008,1243086
8.7,1074426
8.80011,1241772
8.90003,1242904
9,1097562
9.10005,1217325
9.20003,1242329
9.30012,1147827
9.4,1167222
9.50006,1242271
9.6011,1242608
9.7,1073777
9.80004,1241942
9.90004,1243250
10.0001,1086282
