Time,Cwnd
0.0195086,9492
0.0256025,9920
0.025626,10094
0.0256427,10183
0.0259767,11702
0.026109,13236
0.0261529,13664
0.0261764,13838
0.0261931,13927
0.026326,15446
0.0264583,16980
0.0265022,17408
0.0265257,17582
0.0265424,17671
0.0319762,19190
0.0323794,21012
0.0324112,21289
0.0324274,21371
0.0325606,22894
0.0327141,24693
0.032743,24935
0.0327611,25041
0.0327766,25115
0.0330276,28088
0.033083,28661
0.0331002,28756
0.0332336,30281
0.0334088,32231
0.0334321,32402
0.0334486,32488
0.0335812,34004
0.038379,35825
0.0384107,36102
0.0384269,36184
0.0385601,37707
0.0387291,39506
0.038758,39748
0.0387761,39854
0.0387916,39928
0.0390674,42546
0.0391498,43455
0.0391688,43573
0.0391853,43659
0.0394069,46287
0.0394808,47091
0.0395053,47277
0.039523,47378
0.0396565,48905
0.0398165,50763
0.0398492,51052
0.0398663,51146
0.0400003,52679
0.0401477,54401
0.0401814,54702
0.0402031,54854
0.0402202,54948
0.0403543,56481
0.040522,58436
0.0405438,58588
0.0405609,58682
0.0406949,60215
0.0408494,62026
0.0408793,62280
0.0408983,62398
0.0409148,62484
0.0411661,65461
0.0412228,66050
0.0412405,66151
0.041374,67678
0.0447193,69407
0.0447527,69705
0.0447743,69854
0.0447911,69945
0.0449793,71475
0.0451483,73446
0.0451701,73598
0.0451872,73692
0.0453212,75225
0.0454757,77036
0.0455056,77290
0.0455247,77408
0.0455411,77494
0.0458477,81039
0.045867,81157
0.0458837,81243
0.0461055,83871
0.0461727,84587
0.0462028,84841
0.0462221,84959
0.0462388,85045
0.0464903,88022
0.0465473,88611
0.0465652,88712
0.046699,90239
0.0468327,91787
0.0468777,92227
0.0469024,92413
0.0469203,92514
0.0470541,94041
0.0472131,95883
0.047246,96172
0.0472634,96266
0.0473976,97799
0.0475523,99610
0.0475825,99864
0.0476018,99982
0.0476185,100068
0.04787,103045
0.0479241,103598
0.0479434,103716
0.0479601,103802
0.0481819,106430
0.0482561,107234
0.0482808,107420
0.0482987,107521
0.0484325,109048
0.0485654,110564
0.0486223,111153
0.0486403,111254
0.048774,112781
0.0489226,114515
0.048957,114822
0.0489795,114980
0.0489973,115080
0.049132,116619
0.0493018,118596
0.0493243,118754
0.0493421,118854
0.0494768,120393
0.049632,122210
0.0496627,122470
0.0496824,122594
0.0496996,122686
0.0499516,125669
0.0500091,126264
0.0500275,126371
0.0501617,127904
0.0502959,129458
0.0503414,129904
0.0503666,130096
0.050385,130203
0.0505192,131736
0.0506703,133479
0.0507101,133854
0.0507285,133961
0.0510938,135494
0.051229,137039
0.0512781,137530
0.0513006,137688
0.0513184,137788
0.0514531,139327
0.0516263,141346
0.051646,141470
0.0516632,141562
0.051915,144542
0.0519609,144993
0.0519859,145182
0.052004,145286
0.052138,146816
0.0522712,148336
0.0523268,148908
0.0523463,149029
0.0523633,149118
0.0526153,152101
0.0526615,152555
0.0526867,152747
0.0527051,152854
0.0528393,154387
0.0529987,156235
0.0530322,156530
0.05305,156630
0.0531847,158169
0.0533411,159979
0.0533718,160239
0.0533915,160363
0.0534087,160455
0.0536607,163438
0.0537164,164011
0.0537359,164132
0.0537529,164221
0.053975,166852
0.0540423,167571
0.0540747,167852
0.0540931,167959
0.0542273,169492
0.0543867,171340
0.0544202,171635
0.054438,171735
0.0545727,173274
0.0547208,175002
0.0547552,175309
0.0547777,175467
0.0547955,175567
0.0549303,177106
0.0550987,179067
0.0551212,179225
0.0551391,179325
0.0552738,180864
0.0554302,182674
0.0554608,182934
0.0554806,183058
0.0554978,183150
0.0557478,186108
0.0558021,186664
0.0558246,186822
0.0558424,186922
0.0559771,188461
0.0561335,190271
0.0561642,190531
0.0561839,190655
0.0562011,190747
0.0564531,193730
0.0565077,194289
0.0565275,194413
0.0565447,194505
0.0567967,197488
0.0568428,197942
0.056868,198134
0.0568864,198241
0.0570207,199774
0.0570207,199774
0.0570748,199774
0.0570971,199774
0.0571147,199774
0.0572491,199774
0.0574171,199774
0.057442,199774
0.0574602,199774
0.0575061,199774
0.0576559,199774
0.0577976,199774
0.057954,199774
0.0579847,199774
0.0581211,199774
0.0583466,199774
0.058503,199774
0.0585336,199774
0.0586743,199774
0.0589263,199774
0.0589725,199774
0.0589977,199774
0.0591067,199774
0.0592915,199774
0.0594266,199774
0.0594755,199774
0.0594977,199774
0.0596659,199774
0.0596911,199774
0.0597095,199774
0.0598437,199774
0.060066,199774
0.0602611,199774
0.0604175,199774
0.0604481,199774
0.0606746,199774
0.0609266,199774
0.0609727,199774
0.0609979,199774
0.0611334,199774
0.061299,199774
0.0613242,199774
0.0613426,199774
0.0614768,199774
0.061612,199774
0.0616611,199774
0.0616836,199774
0.0618185,199774
0.0619771,199774
0.0621103,199774
0.0623861,199774
0.0624167,199774
0.0624365,199774
0.0627123,199774
0.0629643,199774
0.0629845,199774
0.0632603,199774
0.0634049,199774
0.0635705,199774
0.0635957,199774
0.0637311,199774
0.0639567,199774
0.0640349,199774
0.0642869,199774
0.0645387,199774
0.0645966,199774
0.0646163,199774
0.0646335,199774
0.0648883,199774
0.0650468,199774
0.0652787,199774
0.065352,199774
0.0654927,199774
0.0657686,199774
0.0661405,199774
0.066312,199774
0.0664509,199774
0.0665861,199774
0.0666352,199774
0.0667713,199774
0.0669968,199774
0.0671532,199774
0.0674116,199774
0.0674695,199774
0.0676959,199774
0.0678815,199774
0.0681379,199774
0.0681923,199774
0.0682139,199774
0.0684897,199774
0.0685203,199774
0.0687468,199774
0.0693999,199774
0.0696276,101845
0.0697422,101863
0.0699505,101897
0.0701285,101926
0.0704869,101987
0.0706047,102005
0.0711775,102100
0.0712811,102115
0.0716275,102173
0.0718528,102210
0.0721059,102251
0.0724579,102309
0.0728924,102383
0.0731471,102425
0.0734055,102466
0.073541,102487
0.0737788,102525
0.0740311,102565
0.0743076,102609
0.07456,102649
0.075036,102729
0.0752074,102755
0.0753638,102779
0.0755767,102814
0.0755999,102815
0.0756171,102815
0.0758395,102850
0.0761851,102908
0.0762448,102915
0.076265,102915
0.0763992,102935
0.0765334,102955
0.0768969,103015
0.076923,103016
0.0769408,103016
0.0770755,103036
0.0772247,103059
0.0772591,103062
0.0772815,103063
0.0772994,103063
0.0774341,103083
0.0775822,103105
0.0776166,103108
0.0776391,103109
0.0776569,103109
0.0777916,103129
0.0779468,103153
0.0779775,103156
0.0779972,103156
0.0780144,103156
0.0782664,103196
0.0783162,103202
0.0783387,103203
0.0783565,103203
0.0784912,103223
0.0786393,103245
0.0786737,103248
0.078697,103249
0.0787142,103249
0.0789365,103284
0.0790041,103292
0.0790347,103295
0.0790545,103295
0.0790717,103295
0.0793733,103341
0.0793955,103341
0.0794131,103341
0.0795476,103361
0.0796955,103383
0.0797296,103386
0.0797519,103386
0.0797695,103386
0.0799041,103406
0.0800371,103426
0.0800895,103432
0.0801091,103432
0.080126,103432
0.0803481,103467
0.0804229,103477
0.0804481,103479
0.0804665,103479
0.0806007,103499
0.0807495,103522
0.0807839,103525
0.0808063,103526
0.0808242,103526
0.0809589,103546
0.0811153,103570
0.0811459,103573
0.0811657,103573
0.0811829,103573
0.0814349,103613
0.0814811,103618
0.0815063,103620
0.0815247,103620
0.0816589,103640
0.0817931,103660
0.0818422,103666
0.0818647,103666
0.0818825,103666
0.0820172,103686
0.0821639,103709
0.0821983,103712
0.0822208,103712
0.0822387,103712
0.0823734,103732
0.0825213,103754
0.0825594,103757
0.0825791,103757
0.0825963,103757
0.0828187,103792
0.0828933,103802
0.0829185,103803
0.0829369,103803
0.0830711,103823
0.0832063,103843
0.0832555,103849
0.0832779,103849
0.0832958,103849
0.0834305,103869
0.0835869,103893
0.0836175,103895
0.0836373,103895
0.0836545,103895
0.0839065,103935
0.0839527,103940
0.0839779,103941
0.0839963,103941
0.0841305,103961
0.0842792,103984
0.0843136,103987
0.0843361,103987
0.0843539,103987
0.0844887,104007
0.0846523,104032
0.0846775,104033
0.0846959,104033
0.0848301,104053
0.0849872,104078
0.0850176,104079
0.0850371,104079
0.0850541,104079
0.0853059,104119
0.0853518,104124
0.0853767,104124
0.0853949,104124
0.085529,104144
0.0856983,104171
0.0857208,104171
0.0857387,104171
0.0858734,104191
0.0860298,104215
0.0860604,104217
0.0860802,104217
0.0860974,104217
0.0863651,104260
0.0863651,104260
0.0864037,104260
0.0864221,104260
0.0865563,104260
0.0867158,104260
0.08675,104260
0.0867672,104260
0.0870192,104260
0.0870767,104260
0.0870954,104260
0.0872301,104260
0.0873888,104260
0.0874223,104260
0.0874401,104260
0.0875748,104260
0.0877479,104260
0.0877677,104260
0.0877849,104260
0.0880369,104260
0.088096,104260
0.0881136,104260
0.0882483,104260
0.0884241,104260
0.0884425,104260
0.0885767,104260
0.0887362,104260
0.0887696,104260
0.0887875,104260
0.0889222,104260
0.089098,104260
0.0891164,104260
0.0892507,104260
0.0893839,104260
0.089443,104260
0.0894606,104260
0.0895951,104260
0.0897695,104260
0.0897892,104260
0.0898064,104260
0.0900584,104260
0.0901177,104260
0.0901355,104260
0.0902703,104260
0.090436,104260
0.0904619,104260
0.0904795,104260
0.0906139,104260
0.0907856,104260
0.0908054,104260
0.0908226,104260
0.0910746,104260
0.0911339,104260
0.0911517,104260
0.0912864,104260
0.0914594,104260
0.0914795,104260
0.0916138,104260
0.091749,104260
0.0918043,104260
0.0918223,104260
0.0920446,104260
0.0921192,104260
0.092146,104260
0.0922807,104260
0.0924148,104260
0.0924641,104260
0.0924874,104260
0.092622,104260
0.0927553,104260
0.0928049,104260
0.0928282,104260
0.0928454,104260
0.0931199,104260
0.0931523,104260
0.0931704,104260
0.0933956,104260
0.0934703,104260
0.0934963,104260
0.0935142,104260
0.0937655,104260
0.0938199,104260
0.0938423,104260
0.0938602,104260
0.0939929,104260
0.0941611,104260
0.0941863,104260
0.0942047,104260
0.0943389,104260
0.0945094,104260
0.0945327,104260
0.0945499,104260
0.0948063,104260
0.0948589,104260
0.0948787,104260
0.0948959,104260
0.0951523,104260
0.0952049,104260
0.0952247,104260
0.0952419,104260
0.0954983,104260
0.0955527,104260
0.0955711,104260
0.0955897,104260
0.0975278,104260
0.0980077,104260
0.0982708,104260
0.0986843,104260
0.0990539,55189
0.0991221,55207
0.0991399,55207
0.0995139,55283
0.0995713,55297
0.0995897,55298
0.0997239,55336
0.0998763,55380
0.0999161,55388
0.0999345,55389
0.100069,55427
0.100228,55473
0.100259,55479
0.100278,55479
0.100412,55517
0.100571,55563
0.100604,55569
0.100622,55569
0.100874,55645
0.10093,55658
0.10095,55659
0.100967,55659
0.101222,55736
0.101275,55748
0.101295,55749
0.101312,55749
0.101564,55825
0.10162,55838
0.101639,55839
0.101657,55839
0.101929,55922
0.101969,55930
0.101987,55930
0.102121,55968
0.103925,56006
0.103984,56021
0.104002,56021
0.104402,56059
0.104537,56097
0.104586,56108
0.104608,56110
0.104626,56110
0.104761,56148
0.104917,56193
0.104948,56198
0.104968,56199
0.104985,56199
0.105237,56275
0.105283,56285
0.105308,56288
0.105327,56288
0.105461,56326
0.105596,56364
0.105645,56375
0.105668,56377
0.105686,56377
0.10582,56415
0.10599,56465
0.106013,56467
0.10603,56467
0.106165,56505
0.106335,56555
0.106357,56557
0.106375,56557
0.10651,56595
0.106683,56645
0.106703,56646
0.10672,56646
0.106972,56720
0.107029,56734
0.107048,56734
0.107182,56771
0.107315,56808
0.107373,56822
0.107391,56822
0.107526,56859
0.107686,56905
0.10772,56911
0.107738,56911
0.107872,56948
0.108044,56998
0.108064,56999
0.108081,56999
0.108303,57064
0.108386,57086
0.108406,57087
0.108423,57087
0.108645,57152
0.10873,57174
0.108749,57175
0.108767,57175
0.110448,57249
0.110561,57262
0.11058,57262
0.110932,57299
0.111067,57336
0.111125,57349
0.111142,57349
0.11144,57423
0.11149,57434
0.111514,57437
0.111656,57474
0.111811,57518
0.111844,57523
0.111862,57523
0.111997,57560
0.11216,57606
0.112186,57609
0.112204,57609
0.112428,57675
0.112503,57693
0.112528,57696
0.112546,57696
0.11268,57733
0.112849,57781
0.112874,57784
0.112892,57784
0.113026,57821
0.113195,57869
0.11322,57872
0.113238,57872
0.113372,57909
0.113538,57956
0.113564,57959
0.113582,57959
0.113873,58041
0.113904,58045
0.113924,58047
0.114058,58084
0.114216,58129
0.114247,58133
0.114267,58134
0.114284,58134
0.11454,58208
0.114593,58219
0.114613,58220
0.11463,58220
0.114906,58301
0.114938,58306
0.114957,58306
0.115091,58342
0.115257,58389
0.115283,58392
0.1153,58392
0.116842,58428
0.117008,58475
0.117033,58478
0.117051,58478
0.117326,58514
0.117506,58561
0.117531,58564
0.11755,58564
0.117834,58600
0.118,58646
0.118025,58649
0.118044,58649
0.118178,58685
0.118346,58732
0.118371,58735
0.11839,58735
0.118524,58771
0.118695,58819
0.118718,58821
0.118736,58821
0.118961,58885
0.119039,58904
0.119061,58906
0.119079,58906
0.119331,58978
0.11939,58992
0.119409,58993
0.119427,58993
0.11965,59057
0.119732,59078
0.119752,59079
0.119769,59079
0.120045,59159
0.120077,59165
0.120096,59165
0.12023,59201
0.120418,59250
0.120437,59251
0.120454,59251
0.120723,59329
0.120761,59336
0.120781,59337
0.120798,59337
0.12105,59409
0.121107,59423
0.121126,59423
0.12126,59459
0.121419,59503
0.121453,59509
0.121471,59509
0.121605,59545
0.121775,59593
0.121798,59595
0.121816,59595
0.123236,59667
0.123292,59680
0.123312,59682
0.123446,59718
0.123743,59760
0.123783,59768
0.123801,59768
0.123935,59803
0.124272,59848
0.124297,59851
0.124316,59851
0.12445,59886
0.12461,59929
0.124643,59935
0.124661,59935
0.124796,59970
0.124955,60013
0.124988,60019
0.125006,60019
0.125141,60054
0.125405,60102
0.125425,60103
0.125442,60103
0.125724,60173
0.125783,60187
0.125802,60187
0.125936,60222
0.126125,60271
0.126144,60271
0.126278,60306
0.126443,60351
0.126469,60354
0.126487,60354
0.126622,60389
0.126791,60435
0.126813,60437
0.126831,60437
0.126966,60472
0.127141,60520
0.12716,60520
0.127294,60555
0.127428,60591
0.127486,60604
0.127504,60604
0.127638,60639
0.127794,60682
0.127827,60687
0.127844,60687
0.127979,60722
0.128136,60764
0.128167,60769
0.128185,60770
0.12832,60805
0.128476,60847
0.128509,60852
0.12929,60853
0.129741,60914
0.129816,60932
0.129842,60935
0.12986,60935
0.129994,60970
0.13015,61011
0.130182,61016
0.130201,61016
0.130355,61051
0.130707,61095
0.130732,61098
0.130751,61099
