Time,Data
0.00440032,1250
0.0183257,2502
0.0184259,3754
0.0186052,5253
0.0528406,9580
0.0529422,10845
0.0531946,13976
0.0532962,15241
0.0769439,18372
0.0777819,19981
0.0780015,22703
0.0781041,23980
0.0783604,27159
0.078463,28436
0.0787193,31615
0.0788218,32892
0.0790782,36071
0.102234,1167
0.102566,4299
0.102669,5582
0.102928,8785
0.103058,10406
0.10329,13285
0.103394,14584
0.103658,17859
0.103763,19158
0.10402,22356
0.104151,23983
0.104384,26866
0.104514,28497
0.104749,31404
0.104854,32709
0.10512,36008
0.105225,37313
0.126918,40533
0.12705,42168
0.127403,45099
0.127534,46732
0.12777,49659
0.127875,50970
0.128143,54293
0.128248,55604
0.128516,58927
0.128621,60238
0.128885,63511
0.128991,64831
0.129262,68190
0.129368,69510
0.129638,72869
0.129744,74189
0.13001,77481
0.130117,78816
0.130392,82235
0.130526,83894
0.130774,86969
0.130882,88316
0.131154,91694
0.131263,93052
0.131587,97077
0.131698,98460
0.138765,102472
0.151692,106298
0.151829,108009
0.15211,111496
0.152248,113217
0.152526,116664
0.152642,118104
0.152951,121943
0.153066,123383
0.153376,127222
0.153491,128666
0.153786,132331
0.153904,133792
0.154219,137715
0.154337,139178
0.154644,142992
0.154762,144459
0.155079,148406
0.155219,150149
0.155508,153728
0.155626,155201
0.155936,159061
0.156055,160540
0.156377,164535
0.156496,166016
0.156843,170334
0.156963,171825
0.157397,177222
0.157539,178981
0.15768,180744
0.157942,184003
0.158062,185504
0.158144,186524
0.175893,188347
0.176013,189848
0.176133,191349
0.176254,192850
0.176374,194351
0.176494,195852
0.176574,196855
0.179311,198490
0.17944,200105
0.179658,202825
0.179801,204598
0.179921,206099
0.180041,207600
0.180155,209024
0.180477,213025
0.180597,214526
0.180784,216852
0.180926,218625
0.181229,222384
0.181349,223885
0.181469,225386
0.181589,226887
0.181709,228388
0.181892,230669
0.198405,232442
0.198694,236026
0.198815,237535
0.203775,1501
0.203896,3002
0.204016,4503
0.204136,6004
0.204256,7505
0.204376,9006
0.204676,12735
0.204797,14247
0.20513,18374
0.205251,19886
0.205583,24013
0.205725,25782
0.206014,29371
0.206135,30883
0.206467,35010
0.206589,36522
0.206909,40501
0.20703,42013
0.223113,46140
0.223256,47913
0.223558,51672
0.22368,53190
0.224014,57341
0.224136,58859
0.229462,62996
0.229584,64514
0.229918,68665
0.23004,70183
0.230374,74334
0.230496,75852
0.23083,80003
0.230952,81521
0.231274,85524
0.231719,91058
0.232148,96402
0.23227,97914
0.23259,101895
0.232711,103407
0.233044,107534
0.233185,109303
0.247867,113042
0.247989,114560
0.254053,118563
0.254196,120336
0.254498,124095
0.25462,125613
0.254954,129764
0.255076,131282
0.25541,135433
0.255563,137340
0.255854,140951
0.255976,142469
0.25631,146620
0.256452,148393
0.256755,152152
0.256877,153670
0.257211,157821
0.257353,159594
0.257644,163207
0.257766,164725
0.2581,168876
0.258222,170394
0.258556,174545
0.258698,176318
0.272214,180077
0.272357,181850
0.278806,185463
0.278928,186981
0.279262,191132
0.279373,192516
0.279692,196484
0.279834,198253
0.280135,201988
0.280256,203500
0.280576,207468
0.280697,208978
0.281005,212811
0.281126,214323
0.281447,218302
0.281599,220202
0.281888,223791
0.28201,225303
