Time,Data
0.102234,36183
0.203775,238611
0.302398,248856
0.400274,280800
0.500335,300754
0.600009,346856
0.700016,373625
0.800027,380405
0.900005,424816
1.00001,433923
1.10009,296136
1.20003,250088
1.3,272572
1.40734,278842
1.50637,302224
1.60667,339005
1.71119,368272
1.80729,364151
1.90405,402548
2.00065,420671
2.10038,449458
2.20007,486367
2.30148,291981
2.40071,260310
2.50136,286585
2.60132,312945
2.70002,333630
2.80001,373924
2.90001,394521
3.00004,418322
3.1,435426
3.20001,470622
3.31626,246930
3.40361,255201
3.5085,281846
3.60336,297073
3.71035,330991
3.80052,358339
3.90894,372370
4.00305,397086
4.1044,427019
4.20026,440341
4.30187,472815
4.40008,503695
4.50068,413061
4.60001,268934
4.70009,323669
4.80002,343079
4.90002,353422
5.01684,376701
5.10008,984232
5.20012,1244507
5.30001,1243111
5.40003,1245291
5.50002,1052111
5.60011,1095212
5.70002,1233693
5.80007,1245114
5.90012,1244503
6.00001,1244231
6.10002,978413
6.20001,1184642
6.30001,1244338
6.4,1244147
6.5,1244329
6.60041,1049727
6.7001,1101343
6.80004,1238063
6.90004,1244538
7,1244899
7.10034,1159932
7.20006,1024884
7.30007,1200457
7.4,1244717
7.50009,1243992
7.60001,1244705
7.70001,1025559
7.80001,1128222
7.90002,1242110
8.00001,995269
8.10001,929128
8.20001,1115372
8.30002,1238445
8.40004,1244517
8.50001,1245221
8.60001,1180281
8.70005,1018453
8.80002,1203299
8.9,1244454
9.00009,1243967
9.10004,1244374
9.2,1037120
9.30001,1119174
9.40001,1239593
9.50003,1244427
9.60005,1244428
9.70005,1154098
9.8001,1037626
9.90001,1207758
10.0001,1243802
