Time,Cwnd
0.0482621,4124
0.0482621,5330
0.0482621,6536
0.0482621,7996
0.0482621,8740
0.0482621,9494
0.0724633,9703
0.0724633,9819
0.0724633,9934
0.0724633,10004
0.0724633,10073
0.0733013,10120
0.0733013,10156
0.0733013,10191
0.0733013,10221
0.0733013,10250
0.0733013,10277
0.0733013,11752
0.0733013,11785
0.0733013,12907
0.0733013,13298
0.0733013,13507
0.0733013,13623
0.0733013,13738
0.0733013,13808
0.0733013,13877
0.0733013,13924
0.0733013,13960
0.0733013,13995
0.0733013,14025
0.0733013,14054
0.0733013,14081
0.0733013,15556
0.0733013,15589
0.0733013,16711
0.0733013,17102
0.0733013,17311
0.0733013,17427
0.0978601,17542
0.0978601,17612
0.0978601,17681
0.0978601,17728
0.0978601,17764
0.0978601,17799
0.0978601,17829
0.0978601,17858
0.0978601,17885
0.0978601,19362
0.0978601,19397
0.0978601,20876
0.0982214,20911
0.0982214,21305
0.0982214,21379
0.0982214,21452
0.0982214,21503
0.0982214,21543
0.0982214,21582
0.0982214,21616
0.0982214,21649
0.0982214,21680
0.0982214,23159
0.0982214,23196
0.0982214,24322
0.0982214,24717
0.0982214,24930
0.0982214,25050
0.0982214,25169
0.0982214,25243
0.0982214,25316
0.0982214,25367
0.0982214,25407
0.0982214,25446
0.0982214,25480
0.0982214,25513
0.0982252,25544
0.0982252,27023
0.0982252,27060
0.098229,28186
0.098229,28581
0.098229,28794
0.0985903,28914
0.0985903,29033
0.0985903,29107
0.0985903,29180
0.0985903,29231
0.0985903,29271
0.0985903,29310
0.0985903,29344
0.0985903,29377
0.0985903,29408
0.0985903,30887
0.0985903,30924
0.0985903,32050
0.0985903,32445
0.0985903,32658
0.0985903,32778
0.0985903,32897
0.0985903,32971
0.0985903,33044
0.0985903,33095
0.0985903,33135
0.0985903,33174
0.0985903,33208
0.0985903,33241
0.0985941,33272
0.0985941,34751
0.0985941,34788
0.122438,35916
0.122438,36495
0.122438,36617
0.122438,36738
0.122438,36814
0.122438,36889
0.122438,36942
0.122438,36984
0.122438,37025
0.122922,37061
0.122922,37096
0.122922,37129
0.122922,38610
0.122922,38649
0.122922,39777
0.122922,40174
0.122922,40389
0.122922,40511
0.122922,40632
0.122922,40708
0.122922,40783
0.122922,40836
0.122922,40878
0.122922,40919
0.122922,40955
0.122922,40990
0.122922,41023
0.122922,42506
0.122922,42547
0.122922,44030
0.123403,44071
0.123403,44383
0.123403,44510
0.123403,44592
0.123403,44673
0.123403,44732
0.123403,44780
0.123403,44827
0.123403,44869
0.123403,44910
0.123403,44949
0.123403,46432
0.123403,46479
0.123403,47613
0.123403,48016
0.123403,48237
0.123403,48365
0.123403,48492
0.123403,48574
0.123403,48655
0.123403,48714
0.123403,48762
0.123403,48809
0.123403,48851
0.123403,48892
0.123403,48931
0.123403,50414
0.123526,50461
0.123526,51595
0.123526,52180
0.123526,52308
0.123526,52435
0.123526,52517
0.123526,52598
0.123526,52657
0.123526,52705
0.123526,52752
0.123526,52794
0.123526,52835
0.123768,52874
0.123768,54357
0.123768,54404
0.123768,55887
0.123768,55932
0.123768,56244
0.123768,56371
0.123768,56453
0.123768,56534
0.123768,56593
0.123768,56641
0.123768,56688
0.123891,56730
0.123891,56771
0.123891,56810
0.123891,58295
0.123891,58344
0.123891,59829
0.123895,59876
0.123895,60190
0.123895,60319
0.123895,60403
0.123895,60486
0.123895,60547
0.123895,60597
0.123895,60646
0.123895,60690
0.124137,60733
0.124137,60774
0.124137,62259
0.124137,62308
0.124137,63444
0.124137,63849
0.124137,64072
0.124137,64202
0.124137,64331
0.124137,64415
0.124137,64498
0.124137,64559
0.124379,64609
0.124379,64658
0.124379,64702
0.124379,64745
0.124379,64786
0.124379,66271
0.124379,66320
0.124379,67456
0.124379,68043
0.124379,68173
0.124379,68302
0.124379,68386
0.124379,68469
0.124379,68530
0.124379,68580
0.147031,68629
0.147031,68673
0.147031,68716
0.147031,68757
0.147031,70244
0.147031,70295
0.147154,71782
0.147154,71831
0.147154,72147
0.147154,72278
0.147154,72364
0.147154,72449
0.147154,72512
0.147154,72564
0.147154,72615
0.147154,72661
0.147154,72706
0.147154,72749
0.147522,74235
0.147522,74285
0.147522,75771
0.147522,75819
0.147522,76134
0.147522,76264
0.147522,76349
0.147522,76433
0.147522,76495
0.147522,76546
0.147522,76596
0.147522,76641
0.147522,76685
0.147522,76727
0.147522,78213
0.147522,78263
0.147522,79400
0.147522,79806
0.147526,80030
0.147526,80161
0.147526,80291
0.147526,80376
0.147526,80460
0.147526,80522
0.147526,80573
0.147526,80623
0.147526,80668
0.147768,80712
0.147768,80754
0.147768,82240
0.147768,82290
0.147768,83427
0.147768,83833
0.147768,84057
0.147768,84188
0.147768,84318
0.147768,84403
0.147768,84487
0.147768,84549
0.14801,84600
0.14801,84650
0.14801,84695
0.14801,84739
0.14801,84781
0.14801,86267
0.14801,86317
0.14801,87454
0.14801,87860
0.14801,88084
0.14801,88218
0.14801,88398
0.14801,88485
0.14801,88550
0.14801,88604
0.148253,88657
0.148253,88705
0.148253,88752
0.148253,88797
0.148253,90286
0.148253,90339
0.148253,91479
0.148253,91888
0.148253,92115
0.148253,92249
0.148253,92382
0.148253,92470
0.148495,92557
0.148495,92622
0.148495,92676
0.148495,92729
0.148495,92777
0.148495,92824
0.148495,92869
0.148495,94358
0.148495,94411
0.148495,95551
0.148495,95960
0.148495,96187
0.148495,96321
0.148495,96454
0.148495,96542
0.148737,96629
0.148737,96694
0.148737,96748
0.148737,96801
0.148737,96849
0.148737,96896
0.148737,96941
0.148737,98430
0.148737,98483
0.148737,99623
0.148737,100032
0.148737,100259
0.148979,100393
0.148979,100526
0.148979,100614
0.148979,100701
0.148979,100766
0.148979,100820
0.148979,100878
0.148979,100935
0.148979,100985
0.148979,102479
0.148979,102537
0.148979,103682
0.148979,104096
0.148979,104328
0.148979,104467
0.14934,104605
0.14934,104698
0.14934,104790
0.14934,104860
0.14934,104919
0.14934,104977
0.14934,105030
0.14934,105082
0.14934,105132
0.14934,106630
0.14934,106692
0.14934,108190
0.14934,108250
0.14934,108577
0.14934,108719
0.14934,108816
0.14934,108912
0.14934,108986
0.14934,109049
0.14934,109111
0.14934,109168
0.149344,109224
0.149344,109278
0.149344,110776
0.149709,110838
0.149709,111987
0.149709,112405
0.149709,112641
0.149709,112784
0.149709,112926
0.149709,113023
0.149709,113119
0.149709,113193
0.149709,113256
0.149709,113318
0.149709,113375
0.149709,113435
0.149709,114936
0.149709,115003
0.149709,116155
0.149709,116576
0.149709,116815
0.149709,116961
0.149709,117106
0.149709,117206
0.149832,58603
0.19942,58641
0.19942,58663
0.19942,58666
0.199906,58704
0.199906,58706
0.199906,58819
0.199906,58848
0.199906,58864
0.199906,58868
0.199906,58872
0.199906,58875
0.199906,58878
0.200508,58881
0.200508,58883
0.200508,58885
0.200508,58887
0.200508,58889
0.200508,58891
0.200508,58983
0.200508,59021
0.200508,59023
0.200508,59061
0.200508,59063
0.200508,59072
0.218633,59076
0.218633,59079
0.218633,59082
0.218633,59085
0.218633,59087
0.218633,59089
0.218633,59091
0.218633,59093
0.218633,59095
0.218633,59296
0.218633,59334
0.218633,59336
0.218633,59374
0.218633,59376
0.218633,59387
0.218633,59390
0.218633,59393
0.218633,59396
0.218633,59398
0.218633,59400
0.218633,59402
0.224956,59404
0.224956,59406
0.224956,59444
0.224956,59446
0.224956,59475
0.224956,59486
0.224956,59493
0.224956,59497
0.224956,59734
0.224956,59738
0.224956,59742
0.224956,59745
0.224956,59747
0.224956,59749
0.224956,59751
0.224956,59753
0.224956,59755
0.224956,59792
0.224956,59794
0.224956,59823
0.224956,59834
0.224956,59841
0.224956,59845
0.224956,59849
0.224956,59852
0.224956,59855
0.224956,59858
0.224956,59860
0.224956,59862
0.224956,59864
0.224962,59866
0.224962,59868
0.224962,59905
0.225207,59907
0.225207,59936
0.225207,59947
0.225207,59954
0.225207,59958
0.225207,59962
0.225207,59965
0.225207,59968
0.225207,59971
0.225207,59973
0.225207,59975
0.225207,59977
0.225213,59979
0.225213,59981
0.225213,60018
0.225339,60020
0.225339,60057
0.225339,60059
0.225339,60070
0.225339,60073
0.225339,60076
0.225702,60079
0.225702,60081
0.225702,60083
0.225702,60085
0.225702,60087
0.225702,60089
0.225702,60126
0.225702,60128
0.225702,60157
0.225702,60168
0.225702,60175
0.225702,60179
0.225702,60183
0.225702,60186
0.225702,60189
0.226066,60192
0.226066,60194
0.226066,60196
0.226066,60198
0.226066,60200
0.226066,60202
0.226066,60239
0.226066,60241
0.226066,60270
0.226066,60285
0.226066,60289
0.226066,60293
0.226066,60296
0.226066,60299
0.226066,60302
0.226066,60304
0.226066,60306
0.226066,60308
0.226311,60310
0.226311,60312
0.226311,60349
0.226311,60351
0.226311,60380
0.226311,60391
0.226311,60398
0.226311,60402
0.226311,60406
0.243362,60409
0.243362,60412
0.243362,60415
0.243362,60417
0.243362,60419
0.243362,60421
0.243362,60423
0.243362,60425
0.243362,60462
0.243362,60464
0.243362,60501
0.243362,60503
0.243368,60512
0.243368,60516
0.243368,60519
0.243368,60522
0.243368,60525
0.243368,60527
0.249573,60529
0.249573,60531
0.249573,60533
0.249573,60535
0.249573,60572
0.249573,60574
0.249573,60603
0.249573,60614
0.249573,60621
0.249573,60625
0.249573,60629
0.249573,60632
0.249573,60635
0.249573,60638
0.249573,60640
0.249573,60642
0.249573,60644
0.249573,60646
0.249573,60648
0.249573,60685
0.249573,60687
0.249573,60716
0.249573,60727
0.249573,60734
0.249573,60738
0.249573,60742
0.249573,60745
0.249573,60748
0.249573,60751
0.249573,60753
0.249573,60755
0.249573,60757
0.249573,60759
0.249573,60796
0.249573,60798
0.249573,60826
0.249573,60837
0.249573,60844
0.249573,60848
0.249573,60852
0.249573,60855
0.249698,60858
0.249698,60861
0.249698,60863
0.249698,60865
0.249698,60867
0.249698,60869
0.249698,60871
0.249698,60908
0.249698,60910
0.2503,60938
0.2503,60949
0.2503,60956
0.2503,60960
0.2503,60964
0.2503,60967
0.2503,60970
0.2503,60973
0.2503,60975
0.2503,60977
0.2503,60979
0.2503,60981
0.2503,60983
0.2503,61020
0.2503,61022
0.2503,61050
0.2503,61061
0.2503,61068
0.2503,61072
0.2503,61076
0.2503,61079
0.2503,61082
0.2503,61085
0.2503,61087
0.251021,61089
0.251021,61091
0.251021,61093
0.251021,61095
0.251021,61132
0.251021,61134
0.251021,61162
0.251021,61173
0.251021,61179
0.251021,61183
0.251021,61187
0.251021,61190
0.251021,61193
0.251021,61196
0.251021,61198
0.251021,61200
0.251021,61202
0.251021,61204
0.251021,61241
0.251021,61261
0.251021,61281
0.251021,61287
0.251021,61291
0.251021,61295
0.251147,61298
0.251147,61301
0.251147,61304
0.251147,61306
0.251147,61308
0.251147,61310
0.251147,61312
0.251147,61314
0.251147,61350
