Time,Cwnd
0.0195086,9492
0.0256025,9920
0.025626,10094
0.0256427,10183
0.0259767,11702
0.026109,13236
0.0261529,13664
0.0261764,13838
0.0261931,13927
0.026326,15446
0.0264583,16980
0.0265022,17408
0.0265257,17582
0.0265424,17671
0.0319762,19190
0.0323794,21012
0.0324112,21289
0.0324274,21371
0.0325606,22894
0.0327141,24693
0.032743,24935
0.0327611,25041
0.0327766,25115
0.0330276,28088
0.033083,28661
0.0331002,28756
0.0332336,30281
0.0334088,32231
0.0334321,32402
0.0334486,32488
0.0335812,34004
0.038379,35825
0.0384107,36102
0.0384269,36184
0.0385601,37707
0.0387291,39506
0.038758,39748
0.0387761,39854
0.0387916,39928
0.0390674,42546
0.0391498,43455
0.0391688,43573
0.0391853,43659
0.0394069,46287
0.0394808,47091
0.0395053,47277
0.039523,47378
0.0396565,48905
0.0398165,50763
0.0398492,51052
0.0398663,51146
0.0400003,52679
0.0401477,54401
0.0401814,54702
0.0402031,54854
0.0402202,54948
0.0403543,56481
0.040522,58436
0.0405438,58588
0.0405609,58682
0.0406949,60215
0.0408494,62026
0.0408793,62280
0.0408983,62398
0.0409148,62484
0.0411661,65461
0.0412228,66050
0.0412405,66151
0.041374,67678
0.0447193,69407
0.0447527,69705
0.0447743,69854
0.0447911,69945
0.0449793,71475
0.0451483,73446
0.0451701,73598
0.0451872,73692
0.0453212,75225
0.0454757,77036
0.0455056,77290
0.0455247,77408
0.0455411,77494
0.0458477,81039
0.045867,81157
0.0458837,81243
0.0461055,83871
0.0461727,84587
0.0462028,84841
0.0462221,84959
0.0462388,85045
0.0464903,88022
0.0465473,88611
0.0465652,88712
0.046699,90239
0.0468327,91787
0.0468777,92227
0.0469024,92413
0.0469203,92514
0.0470541,94041
0.0472131,95883
0.047246,96172
0.0472634,96266
0.0473976,97799
0.0475523,99610
0.0475825,99864
0.0476018,99982
0.0476185,100068
0.04787,103045
0.0479241,103598
0.0479434,103716
0.0479601,103802
0.0481819,106430
0.0482561,107234
0.0482808,107420
0.0482987,107521
0.0484325,109048
0.0485654,110564
0.0486223,111153
0.0486403,111254
0.048774,112781
0.0489226,114515
0.048957,114822
0.0489795,114980
0.0489973,115080
0.049132,116619
0.0493018,118596
0.0493243,118754
0.0493421,118854
0.0494768,120393
0.049632,122210
0.0496627,122470
0.0496824,122594
0.0496996,122686
0.0499516,125669
0.0500091,126264
0.0500275,126371
0.0501617,127904
0.0502959,129458
0.0503414,129904
0.0503666,130096
0.050385,130203
0.0505192,131736
0.0506703,133479
0.0507101,133854
0.0507285,133961
0.0510938,135494
0.051229,137039
0.0512781,137530
0.0513006,137688
0.0513184,137788
0.0514531,139327
0.0516263,141346
0.051646,141470
0.0516632,141562
0.051915,144542
0.0519609,144993
0.0519859,145182
0.052004,145286
0.052138,146816
0.0522712,148336
0.0523268,148908
0.0523463,149029
0.0523633,149118
0.0526153,152101
0.0526615,152555
0.0526867,152747
0.0527051,152854
0.0528393,154387
0.0529987,156235
0.0530322,156530
0.05305,156630
0.0531847,158169
0.0533411,159979
0.0533718,160239
0.0533915,160363
0.0534087,160455
0.0536607,163438
0.0537164,164011
0.0537359,164132
0.0537529,164221
0.053975,166852
0.0540423,167571
0.0540747,167852
0.0540931,167959
0.0542273,169492
0.0543867,171340
0.0544202,171635
0.054438,171735
0.0545727,173274
0.0547208,175002
0.0547552,175309
0.0547777,175467
0.0547955,175567
0.0549303,177106
0.0550987,179067
0.0551212,179225
0.0551391,179325
0.0552738,180864
0.0554302,182674
0.0554608,182934
0.0554806,183058
0.0554978,183150
0.0557478,186108
0.0558021,186664
0.0558246,186822
0.0558424,186922
0.0559771,188461
0.0561335,190271
0.0561642,190531
0.0561839,190655
0.0562011,190747
0.0564531,193730
0.0565077,194289
0.0565275,194413
0.0565447,194505
0.0567967,197488
0.0568428,197942
0.056868,198134
0.0568864,198241
0.0570207,199774
0.0696276,101845
0.0697422,101863
0.0699505,101897
0.0701285,101926
0.0704869,101987
0.0706047,102005
0.0711775,102100
0.0712811,102115
0.0716275,102173
0.0718528,102210
0.0721059,102251
0.0724579,102309
0.0728924,102383
0.0731471,102425
0.0734055,102466
0.073541,102487
0.0737788,102525
0.0740311,102565
0.0743076,102609
0.07456,102649
0.075036,102729
0.0752074,102755
0.0753638,102779
0.0755767,102814
0.0755999,102815
0.0756171,102815
0.0758395,102850
0.0761851,102908
0.0762448,102915
0.076265,102915
0.0763992,102935
0.0765334,102955
0.0768969,103015
0.076923,103016
0.0769408,103016
0.0770755,103036
0.0772247,103059
0.0772591,103062
0.0772815,103063
0.0772994,103063
0.0774341,103083
0.0775822,103105
0.0776166,103108
0.0776391,103109
0.0776569,103109
0.0777916,103129
0.0779468,103153
0.0779775,103156
0.0779972,103156
0.0780144,103156
0.0782664,103196
0.0783162,103202
0.0783387,103203
0.0783565,103203
0.0784912,103223
0.0786393,103245
0.0786737,103248
0.078697,103249
0.0787142,103249
0.0789365,103284
0.0790041,103292
0.0790347,103295
0.0790545,103295
0.0790717,103295
0.0793733,103341
0.0793955,103341
0.0794131,103341
0.0795476,103361
0.0796955,103383
0.0797296,103386
0.0797519,103386
0.0797695,103386
0.0799041,103406
0.0800371,103426
0.0800895,103432
0.0801091,103432
0.080126,103432
0.0803481,103467
0.0804229,103477
0.0804481,103479
0.0804665,103479
0.0806007,103499
0.0807495,103522
0.0807839,103525
0.0808063,103526
0.0808242,103526
0.0809589,103546
0.0811153,103570
0.0811459,103573
0.0811657,103573
0.0811829,103573
0.0814349,103613
0.0814811,103618
0.0815063,103620
0.0815247,103620
0.0816589,103640
0.0817931,103660
0.0818422,103666
0.0818647,103666
0.0818825,103666
0.0820172,103686
0.0821639,103709
0.0821983,103712
0.0822208,103712
0.0822387,103712
0.0823734,103732
0.0825213,103754
0.0825594,103757
0.0825791,103757
0.0825963,103757
0.0828187,103792
0.0828933,103802
0.0829185,103803
0.0829369,103803
0.0830711,103823
0.0832063,103843
0.0832555,103849
0.0832779,103849
0.0832958,103849
0.0834305,103869
0.0835869,103893
0.0836175,103895
0.0836373,103895
0.0836545,103895
0.0839065,103935
0.0839527,103940
0.0839779,103941
0.0839963,103941
0.0841305,103961
0.0842792,103984
0.0843136,103987
0.0843361,103987
0.0843539,103987
0.0844887,104007
0.0846523,104032
0.0846775,104033
0.0846959,104033
0.0848301,104053
0.0849872,104078
0.0850176,104079
0.0850371,104079
0.0850541,104079
0.0853059,104119
0.0853518,104124
0.0853767,104124
0.0853949,104124
0.085529,104144
0.0856983,104171
0.0857208,104171
0.0857387,104171
0.0858734,104191
0.0860298,104215
0.0860604,104217
0.0860802,104217
0.0860974,104217
0.0863651,104260
0.0980077,54885
0.0982708,54963
0.0986843,55080
0.0990539,55196
0.0991221,55214
0.0991399,55214
0.0995139,55290
0.0995713,55304
0.0995897,55305
0.0997239,55343
0.0998763,55387
0.0999161,55395
0.0999345,55396
0.100069,55434
0.100228,55480
0.100259,55486
0.100278,55486
0.100412,55524
0.100571,55570
0.100604,55576
0.100622,55576
0.100874,55652
0.10093,55665
0.10095,55666
0.100967,55666
0.101222,55743
0.101275,55755
0.101295,55756
0.101312,55756
0.101564,55832
0.10162,55845
0.101639,55846
0.101657,55846
0.101929,55929
0.101969,55937
0.101987,55937
0.102121,55975
0.103925,56013
0.103984,56028
0.104002,56028
0.104402,56066
0.104537,56104
0.104586,56115
0.104608,56117
0.104626,56117
0.104761,56155
0.104917,56200
0.104948,56205
0.104968,56206
0.104985,56206
0.105237,56282
0.105283,56292
0.105308,56295
0.105327,56295
0.105461,56333
0.105596,56371
0.105645,56382
0.105668,56384
0.105686,56384
0.10582,56422
0.10599,56472
0.106013,56474
0.10603,56474
0.106165,56512
0.106335,56562
0.106357,56564
0.106375,56564
0.10651,56602
0.106683,56652
0.106703,56653
0.10672,56653
0.106972,56727
0.107029,56741
0.107048,56741
0.107182,56778
0.107315,56815
0.107373,56829
0.107391,56829
0.107526,56866
0.107686,56912
0.10772,56918
0.107738,56918
0.107872,56955
0.108044,57005
0.108064,57006
0.108081,57006
0.108303,57071
0.108386,57093
0.108406,57094
0.108423,57094
0.108645,57159
0.10873,57181
0.108749,57182
0.108767,57182
0.110448,57256
0.110561,57269
0.11058,57269
0.110932,57306
0.111067,57343
0.111125,57356
0.111142,57356
0.11144,57430
0.11149,57441
0.111514,57444
0.111656,57481
0.111811,57525
0.111844,57530
0.111862,57530
0.111997,57567
0.11216,57613
0.112186,57616
0.112204,57616
0.112428,57682
0.112503,57700
0.112528,57703
0.112546,57703
0.11268,57740
0.112849,57788
0.112874,57791
0.112892,57791
0.113026,57828
0.113195,57876
0.11322,57879
0.113238,57879
0.113372,57916
0.113538,57963
0.113564,57966
0.113582,57966
0.113873,58048
0.113904,58052
0.113924,58054
0.114058,58091
0.114216,58136
0.114247,58140
0.114267,58141
0.114284,58141
0.11454,58215
0.114593,58226
0.114613,58227
0.11463,58227
0.114906,58308
0.114938,58313
0.114957,58313
0.115091,58349
0.115257,58396
0.115283,58399
0.1153,58399
0.116842,58435
0.117008,58482
0.117033,58485
0.117051,58485
0.117326,58521
0.117506,58568
0.117531,58571
0.11755,58571
0.117834,58607
0.118,58653
0.118025,58656
0.118044,58656
0.118178,58692
0.118346,58739
0.118371,58742
0.11839,58742
0.118524,58778
0.118695,58826
0.118718,58828
0.118736,58828
0.118961,58892
0.119039,58911
0.119061,58913
0.119079,58913
0.119331,58985
0.11939,58999
0.119409,59000
0.119427,59000
0.11965,59064
0.119732,59085
0.119752,59086
0.119769,59086
0.120045,59166
0.120077,59172
0.120096,59172
0.12023,59208
0.120418,59257
0.120437,59258
0.120454,59258
0.120723,59336
0.120761,59343
0.120781,59344
0.120798,59344
0.12105,59416
0.121107,59430
0.121126,59430
0.12126,59466
0.121419,59510
0.121453,59516
0.121471,59516
0.121605,59552
0.121775,59600
0.121798,59602
0.121816,59602
0.123236,59674
0.123292,59687
0.123312,59689
0.123446,59725
0.123743,59767
0.123783,59775
0.123801,59775
0.123935,59810
0.124272,59855
0.124297,59858
0.124316,59858
0.12445,59893
0.12461,59936
0.124643,59942
0.124661,59942
0.124796,59977
0.124955,60020
0.124988,60026
0.125006,60026
0.125141,60061
0.125405,60109
0.125425,60110
0.125442,60110
0.125724,60180
0.125783,60194
0.125802,60194
0.125936,60229
0.126125,60278
0.126144,60278
0.126278,60313
0.126443,60358
0.126469,60361
0.126487,60361
0.126622,60396
0.126791,60442
0.126813,60444
0.126831,60444
0.126966,60479
0.127141,60527
0.12716,60527
0.127294,60562
0.127428,60598
0.127486,60611
0.127504,60611
0.127638,60646
0.127794,60689
0.127827,60694
0.127844,60694
0.127979,60729
0.128136,60771
0.128167,60776
0.128185,60777
0.12832,60812
0.128476,60854
0.128509,60859
0.12929,60860
0.129741,60921
0.129816,60939
0.129842,60942
0.12986,60942
0.129994,60977
0.13015,61018
0.130182,61023
0.130201,61023
0.130355,61058
0.130707,61102
0.130732,61105
0.130751,61106
0.130976,61168
0.13105,61185
0.131076,61188
0.131094,61189
0.131228,61224
0.131387,61266
0.131417,61270
0.131437,61271
0.131572,61306
0.131787,61348
0.131817,61352
0.131837,61353
0.131854,61353
0.132271,61430
0.132304,61435
0.132322,61435
0.132456,61470
0.132622,61514
0.132647,61517
0.132666,61517
0.13295,61591
0.132984,61596
0.133007,61598
0.133025,61598
0.133276,61666
0.13333,61678
0.133353,61680
0.133371,61680
0.133622,61748
0.133676,61760
0.133699,61762
0.133717,61762
0.133941,61823
0.134016,61840
0.134041,61843
0.13406,61843
0.134254,61895
0.134362,61922
0.134384,61924
0.134402,61924
0.134654,61992
0.134708,62004
0.13473,62006
0.134748,62006
0.135,62074
0.135054,62086
0.135076,62088
0.135094,62088
0.136232,62149
0.13631,62167
0.136331,62169
0.136349,62169
0.1366,62237
0.136654,62249
0.136677,62251
0.136695,62251
0.137101,62319
0.137155,62331
0.137178,62333
0.137195,62333
0.137467,62394
0.13754,62411
0.137565,62414
0.137584,62414
0.137809,62475
0.137891,62494
0.13791,62495
0.137928,62495
0.138204,62571
0.138236,62576
0.138254,62576
0.138665,62610
0.138837,62656
0.13886,62658
0.138877,62658
0.139102,62719
0.139184,62738
0.139204,62739
0.139221,62739
0.139478,62809
0.13953,62820
0.13955,62821
0.139567,62821
0.139823,62891
0.139876,62902
0.139896,62903
0.139913,62903
0.140169,62973
0.140222,62984
0.140242,62985
0.140259,62985
0.140565,63064
0.140585,63065
0.140602,63065
0.140854,63133
0.140911,63145
0.14093,63145
0.141064,63179
0.141223,63220
0.141257,63225
0.141275,63225
0.141409,63259
0.141567,63299
0.1416,63304
0.141618,63304
0.142626,63370
0.142685,63382
0.142704,63383
0.142722,63383
0.142994,63449
0.143051,63461
0.14307,63461
0.143204,63494
0.143526,63535
0.14356,63540
0.143578,63540
0.143712,63573
0.143913,63618
0.143932,63619
0.14395,63619
0.144203,63685
0.144261,63698
0.14428,63698
0.144414,63731
0.144597,63764
0.144656,63777
0.144675,63777
0.144809,63810
0.144966,63850
0.144999,63855
0.145017,63855
0.145231,63888
0.145527,63928
0.14556,63933
0.145578,63933
0.145712,63966
0.145884,64010
0.145904,64011
0.145921,64011
0.146144,64069
0.146229,64089
0.146248,64089
0.146382,64122
0.146531,64160
0.14657,64168
0.146589,64168
0.146723,64201
0.146856,64234
0.146913,64246
0.146931,64246
0.147066,64279
0.147222,64318
0.147257,64324
0.147274,64324
0.147497,64382
0.147571,64398
0.147598,64402
0.147615,64402
0.147867,64468
0.147917,64477
0.14794,64480
0.147956,64480
0.148178,64538
0.148253,64555
0.148279,64558
0.148297,64558
0.149149,64624
0.149199,64633
0.149221,64635
0.149239,64635
0.149532,64706
0.14957,64712
0.14959,64713
0.149607,64713
0.149896,64784
0.14993,64789
0.149952,64791
0.14997,64791
0.150287,64862
0.150321,64867
0.150343,64869
0.150361,64869
0.150693,64928
0.150771,64945
0.150795,64947
0.150812,64947
0.15108,65018
0.151115,65023
0.151138,65025
0.151155,65025
0.151424,65096
0.151458,65101
0.151481,65103
0.151499,65103
0.151631,65136
0.151966,65179
0.151991,65182
0.152009,65182
0.152143,65214
0.152323,65256
0.152349,65259
0.152367,65259
0.152537,65291
0.152703,65333
0.152729,65336
0.152747,65336
0.15288,65368
0.153047,65409
0.153072,65412
0.15309,65412
0.153224,65444
0.153393,65486
0.153418,65489
0.153436,65489
0.15357,65521
0.153739,65563
0.153764,65566
0.153782,65566
0.153916,65598
