Time,Cwnd
0.00987488,7996
0.00993761,8740
0.016077,9492
0.0161078,9797
0.0161198,9907
0.0161282,9972
0.0161365,10036
0.016143,10078
0.0161487,10109
0.0161543,10139
0.0161595,10164
0.0161646,10188
0.0161696,10210
0.0164058,11680
0.0164112,11708
0.0165038,12825
0.0165378,13211
0.0165574,13415
0.0165694,13526
0.0165814,13636
0.0165898,13701
0.0165982,13765
0.0166047,13807
0.0166104,13838
0.016616,13868
0.0166212,13893
0.0166263,13917
0.0166313,13939
0.0167538,15409
0.0167593,15437
0.0168858,16917
0.0169076,17149
0.0169306,17397
0.016939,17461
0.0169455,17503
0.022105,17535
0.0221118,17571
0.022117,17596
0.022122,17619
0.0224815,19090
0.0227795,20571
0.0228344,21217
0.0228402,21249
0.0229628,22720
0.0229683,22749
0.023091,24220
0.0230973,24259
0.0231314,24645
0.0231398,24711
0.0231482,24776
0.0231549,24819
0.0231606,24851
0.0231663,24882
0.0231716,24908
0.0231768,24933
0.0231818,24956
0.0233045,26427
0.023431,27907
0.0234873,28570
0.0236099,30041
0.0236156,30072
0.0237422,31553
0.0237641,31786
0.0237872,32035
0.0237956,32100
0.0238022,32143
0.023808,32175
0.0238137,32206
0.023819,32232
0.0238242,32257
0.0238292,32280
0.0239518,33751
0.0239574,33780
0.0284958,35251
0.0286462,35847
0.0286562,35892
0.0286613,35916
0.0286662,35938
0.0289274,37408
0.0289328,37436
0.0291533,38907
0.0291596,38946
0.0291937,39332
0.0292022,39398
0.0292106,39463
0.0292172,39506
0.029223,39538
0.0292286,39569
0.0292339,39595
0.0292391,39620
0.0292442,39643
0.0293668,41114
0.0293723,41143
0.029465,42261
0.0295224,42939
0.0295386,43101
0.0295473,43170
0.0295542,43217
0.0295603,43253
0.0295663,43288
0.0295719,43318
0.0295774,43347
0.0295828,43374
0.0297054,44845
0.0297114,44880
0.0298341,46351
0.0298412,46400
0.0298756,46790
0.0298844,46860
0.0298931,46929
0.0299001,46976
0.0299062,47012
0.0299122,47047
0.0299178,47077
0.0299233,47106
0.0299286,47133
0.0300513,48604
0.0301779,50085
0.0302351,50760
0.0302418,50804
0.0302472,50831
0.0303698,52302
0.0303758,52337
0.0304986,53810
0.0305059,53861
0.0305405,54253
0.0305494,54325
0.0305583,54396
0.0305654,54445
0.0305717,54483
0.0305778,54520
0.0305836,54552
0.0305893,54583
0.0305948,54612
0.0307176,56085
0.0307238,56122
0.0308466,57595
0.0308526,57630
0.0308912,58033
0.0309001,58104
0.0309089,58174
0.0309159,58222
0.0309221,58259
0.0309282,58295
0.0309338,58326
0.0309394,58356
0.0309449,58384
0.0310676,59856
0.0310737,59892
0.0311965,61365
0.0312196,61614
0.0312432,61869
0.0312521,61940
0.0312592,61989
0.0312654,62027
0.0312716,62064
0.0312774,62096
0.031283,62127
0.0312886,62156
0.0314114,63629
0.0315383,65114
0.0315937,65766
0.0316011,65819
0.0316068,65850
0.0316123,65879
0.0317351,67352
0.0317413,67389
0.0348702,68862
0.0348774,68913
0.034912,69305
0.034921,69377
0.0349298,69448
0.034937,69497
0.0349432,69535
0.0349494,69572
0.0349551,69604
0.0349608,69635
0.0349663,69664
0.0350891,71137
0.0350953,71174
0.0353018,72647
0.035345,73148
0.0353566,73252
0.0353627,73289
0.0353685,73321
0.0353742,73352
0.0353797,73381
0.0355025,74854
0.0355725,75649
0.0356363,76407
0.0356564,76618
0.035669,76736
0.0356816,76853
0.0356906,76925
0.0356994,76996
0.0357066,77045
0.0357128,77083
0.035719,77120
0.0357247,77152
0.0357304,77183
0.0357359,77212
0.0358587,78685
0.0359939,80193
0.0360512,80869
0.036058,80914
0.0360634,80942
0.0361862,82415
0.0362521,83198
0.0363305,84138
0.0363431,84256
0.0363557,84373
0.0363646,84445
0.0363735,84516
0.0363806,84565
0.0363877,84613
0.0363934,84645
0.0363991,84676
0.0364046,84705
0.0365274,86178
0.0365336,86215
0.0366606,87700
0.0367134,88320
0.0367202,88366
0.0367258,88395
0.0368486,89868
0.0369144,90651
0.0369928,91591
0.0370054,91709
0.037018,91826
0.037027,91898
0.0370358,91969
0.037043,92018
0.0370492,92056
0.0370554,92093
0.0370611,92125
0.0370668,92156
0.0370723,92185
0.0371951,93658
0.0373222,95143
0.0373797,95820
0.0373866,95866
0.0373922,95895
0.0375151,97368
0.037581,98151
0.0376595,99091
0.0376722,99209
0.0376849,99326
0.0376939,99398
0.0377029,99469
0.0377101,99518
0.0377164,99556
0.0377226,99593
0.0377285,99625
0.0377342,99656
0.0377398,99685
0.0378627,101158
0.037869,101195
0.0379918,102668
0.0380222,103006
0.0380421,103214
0.0380493,103263
0.0380556,103301
0.0380618,103338
0.0380677,103370
0.0380734,103401
0.038079,103430
0.0382062,104915
0.0382721,105698
0.0383506,106638
0.0383633,106756
0.0383759,106873
0.038385,106945
0.0383939,107016
0.0384011,107065
0.0384074,107103
0.0384137,107140
0.0384195,107172
0.0384253,107203
0.0384309,107232
0.0385538,108705
0.0386809,110190
0.0387383,110867
0.0387453,110913
0.0387509,110942
0.0388738,112415
0.0389397,113198
0.0390182,114138
0.0390309,114256
0.0390435,114373
0.0390526,114445
0.0390615,114516
0.0390687,114565
0.039075,114603
0.0390813,114640
0.0390871,114672
0.0390929,114703
0.0390985,114732
0.0392214,116205
0.0393485,117690
0.0394078,118391
0.0394142,118429
0.039537,119902
0.039603,120685
0.0396814,121625
0.0396942,121743
0.0397068,121860
0.0397158,121932
0.0397248,122003
0.039732,122052
0.0397383,122090
0.0397446,122127
0.0397504,122159
0.0397562,122190
0.0397618,122219
0.0398846,123692
0.0400118,125177
0.0400672,125829
0.0400747,125882
0.0400805,125913
0.0400861,125942
0.040209,127415
0.0402749,128198
0.0403534,129138
0.0403661,129256
0.0403787,129373
0.0403878,129445
0.0403967,129516
0.0404039,129565
0.0404102,129603
0.0404165,129640
0.0404223,129672
0.0404281,129703
0.0404337,129732
0.0405566,131205
0.0405628,131242
0.0406899,132727
0.0407286,133169
0.0407429,133307
0.0407492,133345
0.0407554,133382
0.0407613,133414
0.040767,133445
0.0407726,133474
0.0412447,134947
0.0413106,135730
0.041389,136670
0.0414018,136788
0.0414144,136905
0.0414235,136977
0.0414324,137048
0.0414396,137097
0.0414459,137135
0.0414522,137172
0.041458,137204
0.0414638,137235
0.0414694,137264
0.0415922,138737
0.0417194,140222
0.0417768,140899
0.0417838,140945
0.0417894,140974
0.0419164,142458
0.0419822,143240
0.0420606,144179
0.0420733,144296
0.0420859,144412
0.0420948,144483
0.0421037,144553
0.0421108,144601
0.0421171,144638
0.0421232,144674
0.042129,144705
0.0421347,144735
0.0421402,144763
0.042263,146235
0.0422691,146271
0.0424004,147767
0.0424483,148325
0.0424571,148394
0.0424629,148425
0.0424686,148455
0.0424741,148483
0.042597,149956
0.0426629,150739
0.0427414,151679
0.0427614,151889
0.0427705,151961
0.0427794,152032
0.0427867,152081
0.042793,152119
0.0427992,152156
0.042805,152188
0.0428108,152219
0.0428164,152248
0.0429393,153721
0.0430664,155206
0.0431258,155907
0.0431321,155945
0.043255,157418
0.0432612,157455
0.0433841,158928
0.0434157,159282
0.0434356,159490
0.0434428,159539
0.0434491,159577
0.0434554,159614
0.0434612,159646
0.043467,159677
0.0434726,159706
0.0435955,161179
0.0436017,161216
0.0437288,162701
0.0437591,163039
0.043779,163247
0.0437862,163296
0.0437926,163334
0.0437988,163371
0.0438047,163403
0.0438104,163434
0.043816,163463
0.0439389,164936
0.0439451,164973
0.044068,166446
0.0440741,166481
0.0441087,166873
0.0441178,166945
0.0441267,167016
0.0441339,167065
0.0441402,167103
0.0441465,167140
0.0441523,167172
0.0441581,167203
0.0441637,167232
0.0442866,168705
0.0444137,170190
0.0444691,170842
0.0444766,170895
0.0444824,170926
0.044488,170955
0.0446109,172428
0.0446171,172465
0.04474,173938
0.0447619,174171
0.0447856,174426
0.0447946,174497
0.0448018,174546
0.0448081,174584
0.0448143,174621
0.0448202,174653
0.0448259,174684
0.0448315,174713
0.0449544,176186
0.0449606,176223
0.0450835,177696
0.0451138,178034
0.0451338,178242
0.045141,178291
0.0451473,178329
0.0451535,178366
0.0451594,178398
0.0451651,178429
0.0451707,178458
0.0452936,179931
0.0452999,179968
0.045427,181453
0.0454331,181488
0.0454677,181880
0.0454767,181952
0.0454857,182023
0.0454929,182072
0.0454992,182110
0.0455055,182147
0.0455113,182179
0.0455171,182210
0.0455226,182239
0.0456455,183712
0.0457726,185197
0.0458301,185874
0.045837,185920
0.0458426,185949
0.0459655,187422
0.0460315,188205
0.0461099,189145
0.0461227,189263
0.0461353,189380
0.0461443,189452
0.0461533,189523
0.0461605,189572
0.0461668,189610
0.0461731,189647
0.0461789,189679
0.0461847,189710
0.0461903,189739
