Time,Send
0.00987488,1
0.00999489,2
0.0128869,1
0.0162498,3
0.0163725,4
0.0164951,5
0.0166178,6
0.0166218,7
0.0167444,8
0.016867,9
0.0226236,10
0.0227462,11
0.0228689,12
0.0229915,13
0.0231142,14
0.0232368,15
0.0233594,16
0.0234821,17
0.0236047,18
0.0237274,19
0.02385,20
0.0239726,21
0.0256356,2
0.0260023,3
0.0269846,4
0.0289986,22
0.0291212,23
0.0291252,24
0.0292478,25
0.0293705,26
0.0294931,27
0.0296158,28
0.0296198,29
0.0297423,30
0.0298649,31
0.0299875,32
0.0301102,33
0.0302328,34
0.0303554,35
0.0304781,36
0.0306007,37
0.0307234,38
0.030846,39
0.0309686,40
0.0310913,41
0.0312139,42
0.0313366,43
0.0314592,44
0.0315818,45
0.0317045,46
0.0318271,47
0.0318311,48
0.0322586,5
0.0329995,6
0.0336115,7
0.0343486,8
0.0353723,49
0.035495,50
0.0356176,51
0.0357402,52
0.0357442,53
0.0358668,54
0.0359894,55
0.036112,56
0.0362346,57
0.0363573,58
0.0364799,59
0.0366026,60
0.0367252,61
0.0368478,62
0.0369705,63
0.0370931,64
0.0372158,65
0.0373384,66
0.037461,67
0.037465,68
0.0375877,69
0.0377103,70
0.037833,71
0.0379556,72
0.0380782,73
0.0382009,74
0.0383235,75
0.0383831,9
0.0384462,76
0.0384502,77
0.0385727,78
0.0386953,79
0.0388179,80
0.0388788,10
0.0389406,81
0.0390632,82
0.0391858,83
0.0393085,84
0.0394311,85
0.0395538,86
0.0396134,11
0.0396764,87
0.039799,88
0.0399217,89
0.0400443,90
0.040167,91
0.040171,92
0.0402283,12
0.0402936,93
0.0404162,94
0.0405389,95
0.0406615,96
0.0407842,97
0.0409068,98
0.0409664,13
0.0410294,99
0.041152,100
0.0413951,101
0.0414586,14
0.0417499,102
0.0418724,103
0.041995,104
0.0421176,105
0.0422403,106
0.0423193,15
0.0423629,107
0.0424855,108
0.0426082,109
0.0426889,16
0.0427308,110
0.0428535,111
0.0428574,112
0.0429801,113
0.0431027,114
0.0432254,115
0.043348,116
0.0434706,117
0.0435933,118
0.0436723,17
0.0437161,119
0.0438389,120
0.0439193,18
0.0439617,121
0.0440845,122
0.0440887,123
0.0442114,124
0.0443341,125
0.0444569,126
0.0445797,127
0.0447025,128
0.0448253,129
0.0449481,130
0.0450709,131
0.0451937,132
0.0453165,133
0.0454393,134
0.0454963,19
0.0455621,135
0.0455663,136
0.0456207,20
0.0456891,137
0.0458119,138
0.0459347,139
0.0460574,140
0.0461802,141
0.046303,142
0.0464258,143
0.0465486,144
0.0466715,145
0.0467943,146
0.0467984,147
0.0468497,21
0.046855,22
0.0469211,148
0.0470438,149
0.0471666,150
0.0472894,151
0.0474123,152
0.0475351,153
0.0476579,154
0.0477807,155
0.0479035,156
0.0480262,157
0.0480304,158
0.0480834,23
0.0481532,159
0.0482045,24
0.048276,160
0.0483988,161
0.0485216,162
0.0486444,163
0.0487672,164
0.04889,165
0.0490128,166
0.0491356,167
0.0492584,168
0.0493155,25
0.0493812,169
0.049504,170
0.0495082,171
0.0495594,26
0.0496309,172
0.0497536,173
0.0498764,174
0.0499992,175
0.050122,176
0.0502448,177
0.0503676,178
0.0504904,179
0.0504946,180
0.0505475,27
0.0506174,181
0.0507402,182
0.0507915,28
0.050863,183
0.0509858,184
0.0511086,185
0.0512314,186
0.0513542,187
0.051477,188
0.0515998,189
0.0517226,190
0.0517797,29
0.0518454,191
0.0519682,192
0.052091,193
0.0521464,30
0.0522138,194
0.0522179,195
0.0523407,196
0.0524634,197
0.0525862,198
0.052709,199
0.0528318,200
0.0529545,201
0.0529587,202
0.0530117,31
0.0530814,203
0.0532041,204
0.0533268,205
0.0534496,206
0.0535012,32
0.0535724,207
0.0536952,208
0.053818,209
0.0539408,210
0.0540636,211
0.0541864,212
0.0542439,33
0.0543092,213
0.054432,214
0.0545548,215
0.0546776,216
0.0548004,217
0.0548562,34
0.0549232,218
0.0549274,219
0.0550501,220
0.0551728,221
0.0552956,222
0.0554184,223
0.0554226,224
0.0554759,35
0.0555454,225
0.0556682,226
0.055791,227
0.0559138,228
0.0560366,229
0.0561594,230
0.0562149,36
0.0562822,231
0.056405,232
0.0565278,233
0.0566506,234
0.0567077,37
0.0567734,235
0.0568962,236
0.057019,237
0.0571418,238
0.0572646,239
0.0573874,240
0.0575102,241
0.0575656,38
0.057633,242
0.0576371,243
0.0577599,244
0.0578826,245
0.0578867,246
0.0579399,39
0.0580095,247
0.0581323,248
0.0582551,249
0.058378,250
0.0586211,251
0.0587439,252
0.0588668,253
0.0589246,40
0.0589897,254
0.0591126,255
0.0591719,41
0.0592355,256
0.0592397,257
0.0594827,258
0.0596056,259
0.0597285,260
0.0598514,261
0.0599742,262
0.0600971,263
0.06022,264
0.0602756,42
0.060463,265
0.0605229,43
0.0605859,266
0.0607088,267
0.060713,268
0.0609561,269
0.061079,270
0.061322,271
0.0614449,272
0.0615677,273
0.0616905,274
0.0617615,44
0.0618134,275
0.0619362,276
0.0620591,277
0.0620634,278
0.0623064,279
0.0624293,280
0.0625522,281
0.062675,282
0.0627979,283
0.0629208,284
0.0630437,285
0.0631252,45
0.0631666,286
0.0634096,287
0.0635325,288
0.0635367,289
0.0637798,290
0.0640228,291
0.0641457,292
0.0642686,293
0.0643915,294
0.0645143,295
0.0646372,296
0.0647224,46
0.0647601,297
0.064883,298
0.0650059,299
0.0650101,300
0.0652531,301
0.065376,302
0.0654989,303
0.0656218,304
0.0657447,305
0.0658675,306
0.0659904,307
0.0660756,47
0.0661133,308
0.0663563,309
0.0664792,310
0.0666036,311
0.0668466,312
0.0669695,313
0.0670924,314
0.0673355,315
0.0674583,316
0.0675812,317
0.0676691,48
0.067704,318
0.0678268,319
0.0679497,320
0.0680741,321
0.068197,322
0.0683199,323
0.0684427,324
0.0685656,325
0.0686885,326
0.0688114,327
0.0689343,328
0.0690223,49
0.0691773,329
0.0693002,330
0.0693044,331
0.0694272,332
0.0696703,333
0.0697931,334
0.0700362,335
0.0701591,336
0.0702819,337
0.0704048,338
0.0705277,339
0.0706506,340
0.0706548,341
0.0707359,50
0.0707776,342
0.0710207,343
0.0711435,344
0.0712664,345
0.0713893,346
0.0715122,347
0.0716351,348
0.0717579,349
0.0718808,350
0.0720052,351
0.0722092,51
0.0722482,352
0.0726114,353
0.0728545,354
0.0729774,355
0.0731003,356
0.0732242,357
0.0733481,358
0.073472,359
0.0735959,360
0.0736002,361
0.0736825,52
0.0737241,362
0.073848,363
0.0739719,364
0.0740959,365
0.0743394,366
0.0745827,367
0.0747066,368
0.0748306,369
0.0749545,370
0.0750371,53
0.0750784,371
0.0750827,372
0.0752066,373
0.0753305,374
0.0754544,375
0.0755783,376
0.0758218,377
0.0760652,378
0.0761891,379
0.076313,380
0.076437,381
0.0765608,382
0.076565,383
0.0766889,384
0.076756,54
0.0768128,385
0.0769367,386
0.0771803,387
0.0774236,388
0.0775475,389
0.0776715,390
0.0777954,391
0.0779193,392
0.0780432,393
0.0780475,394
0.0781714,395
0.0782385,55
0.0782953,396
0.0784192,397
0.0786627,398
0.0789061,399
0.07903,400
0.0791539,401
