Time,Cwnd
0.0225194,4124
0.0225194,5330
0.0225194,6536
0.0225194,7996
0.0225194,8740
0.0225194,9492
0.0286133,9697
0.0286133,9809
0.0286133,9920
0.0286368,9986
0.0286368,10051
0.0286368,10094
0.0286535,10126
0.0286535,10157
0.0286535,10183
0.0289875,10208
0.0289875,10231
0.0289875,11702
0.0291198,11731
0.0291198,12849
0.0291198,13236
0.0291637,13441
0.0291637,13553
0.0291637,13664
0.0291872,13730
0.0291872,13795
0.0291872,13838
0.0292039,13870
0.0292039,13901
0.0292039,13927
0.0293368,13952
0.0293368,13975
0.0293368,15446
0.0294703,15475
0.0294703,16593
0.0294703,16980
0.029513,17185
0.029513,17297
0.029513,17408
0.0295365,17474
0.0295365,17539
0.0295365,17582
0.0295532,17614
0.0295532,17645
0.0295532,17671
0.034987,17696
0.034987,17719
0.034987,19190
0.0353902,19219
0.0353902,20690
0.0353902,21012
0.035422,21214
0.035422,21257
0.035422,21289
0.0354382,21320
0.0354382,21346
0.0354382,21371
0.0355714,21394
0.0355714,22865
0.0355714,22894
0.0357249,24012
0.0357249,24581
0.0357249,24693
0.0357543,24804
0.0357543,24870
0.0357543,24935
0.0357736,24978
0.0357736,25010
0.0357736,25041
0.0357879,25067
0.0357879,25092
0.0357879,25115
0.0360389,26586
0.0360389,26615
0.0360389,28088
0.0360943,28412
0.0360943,28616
0.0360943,28661
0.0361115,28695
0.0361115,28728
0.0361115,28756
0.0362449,28783
0.0362449,28808
0.0362449,30281
0.0363474,30312
0.0363474,31432
0.0364201,32000
0.0364201,32111
0.0364201,32221
0.0364434,32286
0.0364434,32350
0.0364434,32392
0.0364598,32423
0.0364598,32453
0.0364598,32478
0.0365925,32502
0.0365925,32524
0.0365925,33994
0.0413915,34022
0.0413915,35493
0.0413915,35815
0.041422,36017
0.041422,36060
0.041422,36092
0.0414382,36123
0.0414382,36149
0.0414382,36174
0.0415714,36197
0.0415714,37668
0.0415714,37697
0.0417403,38815
0.0417403,39384
0.0417403,39496
0.0417729,39607
0.0417729,39673
0.0417729,39738
0.0417874,39781
0.0417874,39813
0.0417874,39844
0.0418029,39870
0.0418029,39895
0.0418029,39918
0.0420787,41389
0.0420787,41418
0.0420787,42536
0.042161,43214
0.042161,43376
0.042161,43445
0.0421801,43492
0.0421801,43528
0.0421801,43563
0.0421978,43593
0.0421978,43622
0.0421978,43649
0.0424182,45120
0.0424182,45155
0.0424182,46277
0.0424921,46850
0.0424921,46966
0.0424921,47081
0.0425166,47151
0.0425166,47220
0.0425166,47267
0.0425343,47303
0.0425343,47338
0.0425343,47368
0.0426678,47397
0.0426678,47424
0.0426678,48895
0.0428278,48930
0.0428278,50401
0.0428278,50753
0.0428605,50959
0.0428605,51006
0.0428605,51042
0.0428776,51077
0.0428776,51107
0.0428776,51136
0.0430116,51163
0.0430116,52634
0.0430116,52669
0.043159,53791
0.043159,54182
0.043159,54391
0.0431938,54507
0.0431938,54622
0.0431938,54692
0.0432144,54761
0.0432144,54808
0.0432144,54844
0.0432315,54879
0.0432315,54909
0.0432315,54938
0.0433655,54965
0.0433655,56436
0.0433655,56471
0.0435333,57942
0.0435333,58173
0.0435333,58426
0.043555,58495
0.043555,58542
0.043555,58578
0.0435722,58613
0.0435722,58643
0.0435722,58672
0.0437062,58699
0.0437062,60170
0.0437062,60205
0.0438607,61327
0.0438607,61900
0.0438607,62016
0.0438906,62131
0.0438906,62201
0.0438906,62270
0.0439096,62317
0.0439096,62353
0.0439096,62388
0.0439273,62418
0.0439273,62447
0.0439273,62474
0.0441774,63945
0.0441774,63980
0.0441774,65451
0.0442341,65787
0.0442341,65993
0.0442341,66040
0.0442518,66076
0.0442518,66111
0.0442518,66141
0.0443853,66170
0.0443853,66197
0.0443853,67668
0.0477306,67703
0.0477306,68825
0.0477306,69397
0.047764,69512
0.047764,69626
0.047764,69695
0.0477855,69763
0.0477855,69809
0.0477855,69844
0.0478024,69878
0.0478024,69907
0.0478024,69935
0.0479906,69961
0.0479906,71431
0.0479906,71465
0.0481596,72936
0.0481596,73183
0.0481596,73436
0.0481826,73505
0.0481826,73552
0.0481826,73588
0.0481985,73623
0.0481985,73653
0.0481985,73682
0.0483325,73709
0.0483325,75180
0.0483325,75215
0.048487,76337
0.048487,76910
0.048487,77026
0.0485169,77141
0.0485169,77211
0.0485169,77280
0.0485359,77327
0.0485359,77363
0.0485359,77398
0.0485524,77428
0.0485524,77457
0.0485524,77484
0.0486851,78955
0.0486851,78990
0.048859,80461
0.048859,80813
0.048859,81019
0.0488783,81066
0.0488783,81102
0.0488783,81137
0.048895,81167
0.048895,81196
0.048895,81223
0.049118,82694
0.049118,82729
0.049118,83851
0.0491839,84242
0.0491839,84451
0.0491839,84567
0.0492141,84682
0.0492141,84752
0.0492141,84821
0.0492334,84868
0.0492334,84904
0.0492334,84939
0.0492501,84969
0.0492501,84998
0.0492501,85025
0.0495016,86496
0.0495016,86531
0.0495016,88002
0.0495586,88338
0.0495586,88544
0.0495586,88591
0.0495765,88627
0.0495765,88662
0.0495765,88692
0.0497103,88721
0.0497103,88748
0.0497103,90219
0.0498439,90254
0.0498439,91376
0.0498439,91767
0.049889,91976
0.049889,92092
0.049889,92207
0.0499149,92277
0.0499149,92346
0.0499149,92393
0.0499316,92429
0.0499316,92464
0.0499316,92494
0.0500654,92523
0.0500654,92550
0.0500654,94021
0.0502243,94056
0.0502243,95527
0.0502243,95863
0.0502573,96069
0.0502573,96116
0.0502573,96152
0.0502747,96187
0.0502747,96217
0.0502747,96246
0.0504089,96273
0.0504089,97744
0.0504089,97779
0.0505636,98901
0.0505636,99474
0.0505636,99590
0.0505938,99705
0.0505938,99775
0.0505938,99844
0.0506131,99891
0.0506131,99927
0.0506131,99962
0.0506298,99992
0.0506298,100021
0.0506298,100048
0.0508825,101519
0.0508825,101554
0.0508825,103025
0.0509354,103256
0.0509354,103509
0.0509354,103578
0.0509547,103625
0.0509547,103661
0.0509547,103696
0.0509714,103726
0.0509714,103755
0.0509714,103782
0.0511968,105253
0.0511968,105288
0.0511968,106410
0.0512674,106983
0.0512674,107099
0.0512674,107214
0.0512921,107284
0.0512921,107353
0.0512921,107400
0.05131,107436
0.05131,107471
0.05131,107501
0.0514474,107530
0.0514474,107557
0.0514474,109028
0.0515767,109063
0.0515767,110534
0.0516336,110870
0.0516336,111076
0.0516336,111123
0.0516527,111159
0.0516527,111194
0.0516527,111224
0.0517853,111253
0.0517853,111280
0.0517853,112751
0.0519339,112786
0.0519339,113910
0.0519339,114485
0.0519683,114603
0.0519683,114720
0.0519683,114792
0.0519907,114863
0.0519907,114912
0.0519907,114950
0.0520086,114987
0.0520086,115019
0.0520086,115050
0.0521433,115079
0.0521433,116552
0.0521433,116589
0.0523131,118062
0.0523131,118311
0.0523131,118566
0.0523355,118637
0.0523355,118686
0.0523355,118724
0.0523534,118761
0.0523534,118793
0.0523534,118824
0.0524881,118853
0.0524881,120326
0.0524881,120363
0.0526445,121487
0.0526445,122062
0.0526445,122180
0.0526739,122297
0.0526739,122369
0.0526739,122440
0.0526937,122489
0.0526937,122527
0.0526937,122564
0.0527109,122596
0.0527109,122627
0.0527109,122656
0.0529629,124129
0.0529629,124166
0.0529629,125639
0.0530203,125977
0.0530203,126185
0.0530203,126234
0.0530387,126272
0.0530387,126309
0.0530387,126341
0.053173,126372
0.053173,126401
0.053173,127874
0.0533071,127911
0.0533071,129035
0.0533071,129428
0.0533527,129639
0.0533527,129757
0.0533527,129874
0.0533779,129946
0.0533779,130017
0.0533779,130066
0.0533975,130104
0.0533975,130141
0.0533975,130173
0.0535305,130204
0.0535305,130233
0.0535305,131706
0.0536815,131743
0.0536815,133216
0.0536815,133449
0.0537214,133704
0.0537214,133775
0.0537214,133824
0.0537398,133862
0.0537398,133899
0.0537398,133931
0.0541051,133962
0.0541051,133991
0.0541051,135464
0.0542403,135501
0.0542403,136974
0.0542403,137009
0.0542894,137311
0.0542894,137428
0.0542894,137500
0.0543119,137571
0.0543119,137620
0.0543119,137658
0.0543297,137695
0.0543297,137727
0.0543297,137758
0.0544644,137787
0.0544644,139260
0.0544644,139297
0.0546387,140770
0.0546387,141108
0.0546387,141316
0.0546573,141365
0.0546573,141403
0.0546573,141440
0.0546745,141472
0.0546745,141503
0.0546745,141532
0.0549263,143004
0.0549263,143040
0.0549263,144512
0.0549722,144546
0.0549722,144847
0.0549722,144963
0.0549971,145034
0.0549971,145104
0.0549971,145152
0.0550153,145189
0.0550153,145225
0.0550153,145256
0.0551493,145286
0.0551493,145314
0.0551493,146786
0.0552825,146822
0.0552825,148294
0.0553381,148542
0.0553381,148796
0.0553381,148866
0.0553576,148914
0.0553576,148951
0.0553576,148987
0.0553758,149018
0.0553758,149048
0.0553758,149076
0.0556266,150549
0.0556266,150586
0.0556266,152059
0.0556727,152094
0.0556727,152396
0.0556727,152513
0.0556979,152585
0.0556979,152656
0.0556979,152705
0.0557163,152743
0.0557163,152780
0.0557163,152812
0.0558506,152843
0.0558506,152872
0.0558506,154345
0.05601,154382
0.05601,155855
0.05601,156193
0.0560435,156401
0.0560435,156450
0.0560435,156488
0.0560613,156525
0.0560613,156557
0.0560613,156588
0.056196,156617
0.056196,158090
0.056196,158127
0.0563524,159600
0.0563524,159635
0.0563524,159937
0.0563843,160054
0.0563843,160126
0.0563843,160197
0.0564028,160246
0.0564028,160284
0.0564028,160321
0.05642,160353
0.05642,160384
0.05642,160413
0.056672,161886
0.056672,161923
0.056672,163396
0.0567277,163645
0.0567277,163899
0.0567277,163969
0.0567472,164017
0.0567472,164054
0.0567472,164090
0.0567642,164121
0.0567642,164151
0.0567642,164179
0.0569863,165651
0.0569863,165687
0.0569863,166810
0.0570536,167202
0.0570536,167412
0.0570536,167529
0.0570859,167645
0.0570859,167717
0.0570859,167810
0.0571043,167848
0.0571043,167885
0.0571043,167917
0.0572398,167948
0.0572398,167977
0.0572398,169450
0.057398,169487
0.057398,170960
0.057398,171298
0.0574315,171506
0.0574315,171555
0.0574315,171593
0.0574493,171630
0.0574493,171662
0.0574493,171693
0.057584,171722
0.057584,173195
0.057584,173232
0.0577321,174356
0.0577321,174749
0.0577321,174960
0.0577665,175078
0.0577665,175195
0.0577665,175267
0.057789,175338
0.057789,175387
0.057789,175425
0.0578068,175462
0.0578068,175494
0.0578068,175525
0.0579415,175554
0.0579415,177027
0.0579415,177064
0.05811,178537
0.05811,178770
0.05811,179025
0.0581337,179096
0.0581337,179145
0.0581337,179183
0.0581503,179220
0.0581503,179252
0.0581503,179283
0.0582851,179312
0.0582851,180785
0.0582851,180822
0.0584415,182295
0.0584415,182330
0.0584415,182632
0.0584721,182749
0.0584721,182821
0.0584721,182892
0.0584919,182941
0.0584919,182979
0.0584919,183016
0.0585091,183048
0.0585091,183079
0.0585091,183108
0.0587591,184581
0.0587591,186054
0.0588134,186146
0.0588134,186538
0.0588134,186610
0.0588359,186681
0.0588359,186730
0.0588359,186768
0.0588537,186805
0.0588537,186837
0.0588537,186868
0.0589896,186897
0.0589896,188370
0.0589896,188407
0.0591448,189880
0.0591448,189915
0.0591448,190217
0.0591755,190334
0.0591755,190406
0.0591755,190477
0.0591952,190526
0.0591952,190564
0.0591952,190601
0.0592124,190633
0.0592124,190664
0.0592124,190693
0.0594644,192166
0.0594644,192203
0.0594644,193676
0.059519,193909
0.059519,194164
0.059519,194235
0.0595387,194284
0.0595387,194322
0.0595387,194359
0.0595559,194391
0.0595559,194422
0.0595559,194451
0.0598079,195924
0.0598079,195961
0.0598079,197434
0.0598541,197469
0.0598541,197771
0.0598541,197888
0.0598805,197960
0.0598805,198031
0.0598805,198080
0.0598977,198118
0.0598977,198155
0.0598977,198187
0.0600329,198218
0.0600329,198247
0.0600871,99123
0.0726583,99155
0.0726583,99161
0.0727729,99162
0.0727729,99179
0.0729812,99181
0.0729812,99213
0.0731592,99214
0.0731592,99242
0.0731592,99243
0.0735176,99266
0.0735176,99282
0.0735176,99305
0.0736367,99307
0.0736367,99323
0.0736557,99324
0.0742156,99364
0.0742156,99421
0.0743118,99428
0.0743118,99436
0.0743118,99437
0.0746655,99496
0.0746655,99497
0.0748835,99531
0.0748835,99535
0.0751366,99546
0.0751366,99578
0.0754887,99617
0.0754887,99638
0.0759231,99640
0.0759231,99675
0.0759231,99714
0.0761778,99735
0.0761778,99756
0.0761778,99757
0.0764362,99778
0.0764362,99779
0.0764362,99800
0.0765729,99801
0.0765729,99822
0.0768095,99824
0.0768095,99845
0.0768095,99861
0.0770619,99882
0.0770619,99903
0.0773383,99924
0.0773383,99929
0.0773383,99950
0.0775907,99971
0.0775907,99992
0.0780667,100049
0.0780667,100070
0.0780667,100074
0.0782381,100081
0.0782381,100102
0.0783945,100123
0.0783945,100127
0.0786074,100128
0.0786074,100129
0.0786074,100162
0.0786307,100163
0.0788714,100184
0.0788714,100200
0.0792195,100205
0.0792195,100209
0.0792195,100259
0.0792755,100260
0.0792755,100265
0.0792755,100266
0.0794299,100287
0.0795641,100303
0.0795641,100308
0.0799276,100311
0.0799276,100368
0.0799276,100371
0.0799537,100372
0.0801063,100393
0.0802554,100409
0.0802554,100417
0.080291,100418
0.080291,100419
0.080291,100420
0.0803123,100421
0.0804648,100442
0.0806129,100458
0.0806129,100463
0.0806129,100466
0.0806473,100467
0.0806473,100468
0.0806473,100469
0.0806698,100470
0.0808223,100491
0.0809775,100507
0.0809775,100515
0.0809775,100516
0.0810082,100517
0.0810082,100518
0.0810082,100519
0.0812971,100540
0.0812971,100561
0.0813469,100566
0.0813469,100567
0.0813694,100568
0.0815219,100589
0.08167,100605
0.08167,100610
0.08167,100613
0.0817044,100614
0.0817044,100615
0.0817044,100616
0.0817277,100617
0.0819684,100638
0.0819684,100654
0.0820348,100659
0.0820348,100662
0.0820348,100663
0.0820655,100664
0.0820655,100665
0.0820655,100666
0.0822358,100687
0.082404,100708
0.082404,100711
0.082404,100714
0.0824263,100715
0.0825783,100736
0.0827262,100752
0.0827262,100757
0.0827262,100760
0.0827615,100761
0.0827615,100762
0.0827615,100763
0.0827826,100764
0.0829348,100785
0.0830679,100806
0.0831203,100811
0.0831203,100812
0.0831203,100813
0.0833862,100834
0.0833862,100850
0.0834536,100855
0.0834536,100859
0.0834536,100860
0.0834788,100861
0.0834788,100862
0.0836315,100883
0.0837802,100899
0.0837802,100907
0.0838146,100908
0.0838146,100909
0.0838146,100910
0.0838371,100911
0.0839896,100932
0.084146,100953
0.084146,100957
0.0841767,100958
0.0841767,100959
0.0841767,100960
0.0844668,100981
0.0844668,101002
0.0845118,101006
0.0845118,101007
0.084537,101008
0.084537,101009
0.0846896,101030
0.0848238,101046
0.0848238,101051
0.0848729,101055
0.0848729,101056
0.0848729,101057
0.0848954,101058
0.0850479,101079
0.0851947,101095
0.0851947,101103
0.0852303,101104
0.0852303,101105
0.0852303,101106
0.0852515,101107
0.0854041,101128
0.085552,101144
0.085552,101149
0.085552,101152
0.0855901,101155
0.0855901,101156
0.0855901,101157
0.0858494,101178
0.0858494,101194
0.085924,101202
0.085924,101203
0.085924,101204
0.0859492,101205
0.0859492,101206
0.0861019,101227
0.0862371,101248
0.0862862,101252
0.0862862,101253
0.0862862,101254
0.0863087,101255
0.0864612,101276
0.0866176,101297
0.0866176,101301
0.0866483,101302
0.0866483,101303
0.0866483,101304
0.0869384,101325
0.0869384,101346
0.0869834,101350
0.0869834,101351
0.0870086,101352
0.0870086,101353
0.0871612,101374
0.0873099,101390
0.0873099,101398
0.0873443,101399
0.0873443,101400
0.0873443,101401
0.0873668,101402
0.0875194,101423
0.087683,101444
0.087683,101449
0.0877094,101450
0.0877094,101451
0.0878608,101472
0.0880179,101488
0.0880179,101497
0.0880483,101498
0.0880483,101499
0.0880483,101500
0.0883366,101521
0.0883366,101542
0.0883825,101546
0.0883825,101547
0.0884075,101548
0.0884075,101549
0.0885609,101570
0.0887291,101586
0.0887291,101595
0.0887291,101597
0.0887515,101598
0.0889041,101619
0.0890605,101640
0.0890605,101644
0.0890911,101645
0.0890911,101646
0.0890911,101647
0.0893958,101668
0.0894344,50834
0.0986204,50835
0.100562,50877
0.101038,50919
0.101038,50961
0.101038,51003
0.101302,51045
0.101302,51087
0.101715,51129
0.101715,51171
0.101715,51213
0.102085,51254
