Time,Cwnd
0.0128869,4124
0.0128869,5330
0.0128869,6536
0.0128869,7996
0.0129484,8740
0.0190878,9492
0.0191186,9787
0.0191306,9897
0.019139,9962
0.0191473,10026
0.019155,10068
0.0191595,10099
0.0191651,10129
0.0191703,10154
0.0191754,10178
0.0191804,10200
0.0194166,11670
0.019422,11698
0.0195146,12815
0.0195486,13201
0.0195682,13405
0.0195814,13516
0.0195922,13626
0.0196006,13691
0.019609,13755
0.0196155,13797
0.0196212,13828
0.0196268,13858
0.019632,13883
0.0196371,13907
0.0196421,13929
0.0197646,15399
0.0197713,15427
0.0198966,16897
0.0199184,17129
0.0199414,17377
0.0199498,17441
0.0199563,17483
0.0251158,17515
0.0251226,17551
0.0251278,17576
0.0251328,17599
0.0254935,19070
0.0257903,20541
0.0258452,21187
0.025851,21219
0.0259736,22690
0.0259791,22719
0.0261018,24190
0.0261081,24229
0.0261422,24615
0.0261506,24681
0.0261602,24746
0.0261657,24789
0.0261714,24821
0.0261771,24852
0.0261824,24878
0.0261876,24903
0.0261926,24926
0.0263153,26397
0.0264423,27867
0.0264986,28530
0.0266224,30001
0.0266269,30032
0.0267535,31503
0.0267754,31736
0.0267985,31985
0.0268069,32050
0.0268135,32093
0.0268193,32125
0.026825,32156
0.0268302,32182
0.0268366,32207
0.0268405,32230
0.0269631,33701
0.0269686,33730
0.031507,35201
0.0316574,35797
0.0316674,35832
0.0316726,35856
0.0316775,35878
0.0319386,37348
0.0319453,37376
0.0321646,38847
0.0321709,38886
0.032205,39272
0.0322134,39338
0.0322254,39403
0.0322292,39446
0.0322342,39478
0.0322399,39509
0.0322452,39535
0.0322504,39560
0.0322566,39583
0.0323817,41054
0.0323854,41083
0.0324762,42201
0.0325337,42879
0.0325498,43041
0.0325586,43110
0.0325655,43157
0.0325716,43193
0.0325776,43228
0.0325832,43258
0.0325899,43287
0.0325941,43314
0.0327167,44785
0.0327227,44820
0.0328454,46291
0.0328525,46340
0.0328869,46730
0.0328957,46800
0.0329044,46869
0.0329114,46916
0.0329174,46952
0.0329246,46987
0.032929,47017
0.0329346,47046
0.0329399,47073
0.0330626,48544
0.0331892,50015
0.0332464,50690
0.0332531,50734
0.0332585,50761
0.0333811,52232
0.0333883,52267
0.0335099,53740
0.0335172,53791
0.0335518,54183
0.0335607,54255
0.0335696,54326
0.0335767,54375
0.033583,54413
0.0335891,54450
0.0335949,54482
0.0336006,54513
0.0336073,54542
0.0337289,56015
0.033735,56052
0.0338578,57525
0.0338638,57560
0.0339025,57951
0.0339114,58022
0.0339202,58092
0.0339272,58140
0.0339334,58177
0.0339406,58213
0.0339451,58244
0.0339507,58274
0.0339562,58302
0.0340789,59774
0.034085,59810
0.0342078,61283
0.0342309,61532
0.0342545,61787
0.0342634,61858
0.0342705,61907
0.0342779,61945
0.0342829,61982
0.0342886,62014
0.0342943,62045
0.0342998,62074
0.0344226,63547
0.0345496,65020
0.034605,65672
0.0346124,65725
0.0346181,65756
0.0346248,65785
0.0347464,67258
0.0347526,67295
0.0378814,68768
0.0378887,68819
0.0379233,69211
0.0379322,69283
0.0379411,69354
0.0379482,69403
0.0379545,69441
0.0379606,69478
0.0379676,69510
0.0379721,69541
0.0379776,69570
0.0381004,71043
0.0381066,71080
0.0383166,72553
0.0383563,73054
0.0383678,73158
0.038374,73195
0.0383798,73227
0.0383854,73258
0.0383922,73287
0.0385174,74760
0.0385838,75543
0.0386476,76301
0.0386677,76512
0.0386803,76630
0.0386929,76747
0.0387018,76819
0.0387107,76890
0.0387178,76939
0.0387253,76977
0.0387302,77014
0.038736,77046
0.0387417,77077
0.0387472,77106
0.03887,78579
0.0390052,80051
0.0390625,80727
0.0390705,80772
0.0390747,80800
0.0391975,82273
0.0392634,83056
0.0393418,83996
0.0393544,84114
0.039367,84231
0.0393759,84303
0.0393848,84374
0.0393919,84423
0.039399,84471
0.0394059,84503
0.0394104,84534
0.0394159,84563
0.0395387,86036
0.0395449,86073
0.0396718,87546
0.0397246,88166
0.0397315,88212
0.039737,88241
0.0398598,89714
0.0399269,90497
0.0400041,91437
0.0400167,91555
0.0400293,91672
0.0400382,91744
0.0400471,91815
0.0400542,91864
0.0400605,91902
0.0400666,91939
0.0400726,91971
0.0400783,92002
0.040085,92031
0.0402066,93504
0.0403338,94977
0.0403912,95654
0.0403982,95700
0.0404038,95729
0.0405266,97202
0.0405926,97985
0.040671,98925
0.0406838,99043
0.0406976,99160
0.0407054,99232
0.0407144,99303
0.0407216,99352
0.0407279,99390
0.0407342,99427
0.04074,99459
0.0407458,99490
0.0407514,99519
0.0408742,100992
0.0408805,101029
0.0410046,102502
0.0410337,102840
0.0410536,103048
0.0410608,103097
0.0410671,103135
0.0410734,103172
0.0410792,103204
0.041085,103235
0.0410906,103264
0.0412177,104737
0.0412885,105520
0.0413621,106460
0.0413748,106578
0.0413874,106695
0.0413965,106767
0.0414054,106838
0.0414126,106887
0.041419,106925
0.0414252,106962
0.041431,106994
0.0414368,107025
0.0414436,107054
0.041569,108527
0.0416924,110000
0.0417498,110677
0.0417568,110723
0.0417624,110752
0.0418853,112225
0.0419512,113008
0.0420297,113948
0.0420424,114066
0.0420562,114183
0.0420641,114255
0.042073,114326
0.0420802,114375
0.0420866,114413
0.0420928,114450
0.0420986,114482
0.0421044,114513
0.04211,114542
0.0422329,116015
0.0423612,117488
0.0424194,118189
0.0424257,118227
0.0425486,119700
0.0426145,120483
0.042693,121423
0.0427057,121541
0.0427183,121658
0.0427274,121730
0.0427363,121801
0.0427435,121850
0.042751,121888
0.0427561,121925
0.0427619,121957
0.0427677,121988
0.0427733,122017
0.0428962,123490
0.0430233,124963
0.0430787,125615
0.0430862,125668
0.043092,125699
0.0430988,125728
0.0432205,127201
0.0432864,127984
0.0433649,128924
0.0433776,129042
0.0433902,129159
0.0433993,129231
0.0434082,129302
0.0434154,129351
0.0434218,129389
0.043428,129426
0.043435,129458
0.0434396,129489
0.0434452,129518
0.0435681,130991
0.0435743,131028
0.0437014,132501
0.0437401,132943
0.0437544,133081
0.0437607,133119
0.043767,133156
0.043774,133188
0.0437786,133219
0.0437842,133248
0.0442562,134721
0.0443221,135504
0.0444006,136444
0.0444133,136562
0.0444259,136679
0.044435,136751
0.0444439,136822
0.0444511,136871
0.0444587,136909
0.0444637,136946
0.0444695,136978
0.0444753,137009
0.0444809,137038
0.0446074,138511
0.0447309,139984
0.0447883,140661
0.0447953,140707
0.0448009,140736
0.0449316,142208
0.0449938,142990
0.0450722,143929
0.0450848,144046
0.0450974,144162
0.0451063,144233
0.0451152,144303
0.0451223,144351
0.0451286,144388
0.0451347,144424
0.0451417,144455
0.0451462,144485
0.0451517,144513
0.0452745,145985
0.0452806,146021
0.0454119,147493
0.0454599,148051
0.0454686,148120
0.0454744,148151
0.0454813,148181
0.0454856,148209
0.0456085,149682
0.0456744,150465
0.0457529,151405
0.045773,151615
0.045782,151687
0.045791,151758
0.0457982,151807
0.0458045,151845
0.0458107,151882
0.0458178,151914
0.0458223,151945
0.0458279,151974
0.0459508,153447
0.0460779,154920
0.0461373,155621
0.0461436,155659
0.0462665,157132
0.0462727,157169
0.0463956,158642
0.0464284,158996
0.0464471,159204
0.0464543,159253
0.0464606,159291
0.0464669,159328
0.0464727,159360
0.0464785,159391
0.0464841,159420
0.046607,160893
0.0466132,160930
0.0467415,162403
0.0467706,162741
0.0467906,162949
0.0467978,162998
0.0468041,163036
0.0468103,163073
0.0468162,163105
0.0468219,163136
0.0468275,163165
0.0469504,164638
0.0469567,164675
0.0470807,166148
0.0470856,166183
0.0471203,166575
0.0471293,166647
0.0471382,166718
0.0471454,166767
0.0471518,166805
0.047158,166842
0.0471639,166874
0.0471696,166905
0.0471752,166934
0.0472993,168407
0.0474252,169880
0.0474806,170532
0.0474882,170585
0.0474939,170616
0.0474995,170645
0.0476261,172118
0.0476299,172155
0.0477515,173628
0.0477735,173861
0.0477983,174116
0.0478061,174187
0.0478133,174236
0.0478196,174274
0.0478259,174311
0.0478317,174343
0.0478374,174374
0.047843,174403
0.0479696,175876
0.0479734,175913
0.0480951,177386
0.0481266,177724
0.0481453,177932
0.0481525,177981
0.0481588,178019
0.0481651,178056
0.0481709,178088
0.0481767,178119
0.0481823,178148
0.0483051,179621
0.0483114,179658
0.0484397,181131
0.0484446,181166
0.0484792,181558
0.0484882,181630
0.0484972,181701
0.0485044,181750
0.0485107,181788
0.048517,181825
0.0485228,181857
0.0485286,181888
0.0485342,181917
0.0486583,183390
0.0487842,184863
0.0488416,185540
0.0488486,185586
0.0488542,185615
0.0489771,187088
0.049043,187871
0.0491214,188811
0.0491342,188929
0.0491468,189046
0.0491571,189118
0.0491648,189189
0.049172,189238
0.0491783,189276
0.0491846,189313
0.0491904,189345
0.0491962,189376
0.0492018,189405
0.0493246,190878
0.0493309,190915
0.0494538,192388
0.0494853,192726
0.049504,192934
0.0495112,192983
0.0495175,193021
0.0495238,193058
0.0495296,193090
0.0495354,193121
0.049541,193150
0.0496639,194623
0.0496701,194660
0.049793,196133
0.0498002,196168
0.0498337,196560
0.0498427,196632
0.0498517,196703
0.0498589,196752
0.0498652,196790
0.0498714,196827
0.0498773,196859
0.049883,196890
0.0498886,196919
0.0500169,198391
0.0501386,199864
0.050196,200541
0.050203,200587
0.0502086,200616
0.0503314,202089
0.0503974,202872
0.05048,203811
0.0504927,203928
0.0505052,204044
0.0505154,204115
0.050523,204185
0.0505302,204233
0.0505364,204270
0.0505426,204306
0.0505483,204337
0.050554,204367
0.0505595,204395
0.050686,205867
0.0508052,207340
0.0508607,207992
0.0508694,208045
0.0508739,208076
0.0508795,208105
0.0510102,209577
0.0510141,209613
0.0511399,211086
0.0511459,211121
0.0511806,211513
0.0511896,211585
0.0511998,211656
0.0513224,105828
0.0641851,105848
0.0642176,105852
0.0642645,105857
0.0643062,105861
0.0643164,105862
0.0643471,105864
0.0644151,105874
0.0646062,105904
0.0646164,105905
0.0646471,105907
0.0646574,105908
0.0647143,105918
0.0647593,105922
0.0648832,105942
0.0650071,105962
0.0651401,105983
0.0652821,106003
0.0653475,106013
0.0654702,106033
0.0654998,106036
0.0655411,106039
0.0656154,106049
0.0656256,106050
0.0660581,106122
0.06608,106123
0.0662039,106143
0.0662713,106154
0.0664516,106184
0.0665847,106204
0.0666489,106210
0.0668428,106242
0.0668633,106243
0.0669576,106258
0.0671763,106290
0.0673092,106310
0.0674981,106341
0.0676848,106372
0.0677499,106380
0.06793,106410
0.0681238,106442
0.0682409,106457
0.068377,106477
0.0685041,106497
0.0685257,106500
0.0686498,106520
0.0687725,106540
0.0687944,106541
0.068917,106561
0.0690409,106581
0.0691125,106591
0.0692354,106611
0.0693582,106631
0.0694821,106651
0.0696062,106671
0.0697278,106691
0.0697557,106692
0.0698662,106712
0.069989,106732
0.0701129,106752
0.0702357,106772
0.070372,106792
0.0704163,106798
0.0705392,106818
0.0706687,106838
0.0707916,106858
0.0709865,106890
0.0711093,106910
0.0712923,106940
0.0714152,106960
0.0715484,106980
0.0717175,107008
0.0718402,107028
0.0718986,107037
0.0720215,107057
0.0722187,107089
0.0723415,107109
0.0723536,107110
0.0724765,107130
0.0725418,107139
0.0726585,107159
0.0728525,107191
0.0729764,107211
0.0731066,107231
0.0732222,107251
0.0733493,107271
0.0734764,107291
0.0735993,107311
0.0737275,107331
0.0738492,107351
0.0739721,107371
0.074095,107391
0.0742179,107411
0.074345,107431
0.0744679,107451
0.074595,107471
0.0747179,107491
0.0748419,107511
0.0749636,107531
0.0750865,107550
0.0752094,107569
0.0753323,107588
0.0754551,107607
0.0755858,107626
0.0757129,107645
0.0758442,107664
0.0759198,107677
0.0760427,107696
0.0761739,107715
0.0762238,107722
0.0763767,107741
0.0765057,107760
0.0765276,107763
0.0765513,107766
0.0767201,107785
0.076843,107804
0.0768536,107805
0.0768883,107810
0.0770661,107829
0.0772078,107848
0.0772512,107854
0.0772619,107855
0.0774146,107874
0.0775374,107893
0.0775639,107896
0.0775876,107899
0.0775983,107900
0.0777497,107919
0.0778788,107938
0.0779163,107943
0.0779289,107944
0.0780887,107963
0.0782179,107982
0.0782398,107985
0.0782599,107987
0.0782724,107988
0.0784322,108007
0.0785614,108026
0.0786021,108031
0.0787873,108050
0.0789133,108069
0.0789718,108075
0.0791262,108094
0.0792566,108113
0.0792961,108118
0.0794751,108137
0.079603,108156
0.0796334,108160
0.0796603,108163
0.0798072,108182
0.0799363,108201
0.0799667,108205
0.079983,108207
0.0801531,108226
0.080281,108245
0.0803145,108249
0.0803309,108251
0.0804997,108270
0.0806288,108289
0.0806623,108293
0.0806787,108295
0.0808475,108314
0.0809134,108324
0.0809962,108336
0.0810162,108338
0.0811941,108357
0.0813232,108376
0.0813639,108381
0.0813777,108382
0.0815363,108401
0.0816023,108411
0.0816807,108423
0.0817008,108425
0.081886,108444
0.0819446,108454
0.0820315,108466
0.0820515,108468
0.082072,108469
0.0822288,108488
0.0823567,108507
0.0823902,108511
0.0824029,108512
0.0824155,108513
0.0825614,54256
0.0918418,54259
0.0918737,54260
0.0918839,54261
0.0919044,54262
0.0919147,54263
0.0919249,54264
0.0919351,54265
0.0919867,54269
0.091997,54270
0.0920072,54271
0.0920379,54272
0.0920584,54274
0.0921007,54275
0.0937673,54314
0.0938922,54353
0.0940752,54392
0.094204,54431
0.0943266,54470
0.0944495,54509
0.0945766,54548
0.0947057,54587
0.0948286,54626
0.0949563,54665
0.095078,54704
0.0952008,54743
0.0953279,54782
0.0954508,54821
0.0955775,54860
0.0957003,54899
0.0958274,54938
0.0959503,54977
0.0961086,55016
0.0962344,55055
0.0963573,55094
0.0964801,55133
0.0966067,55172
0.0967552,55210
0.0968744,55248
0.0969973,55286
0.0971202,55324
0.0972443,55362
0.0973831,55400
0.0975059,55438
0.0976288,55476
0.0977517,55514
0.0978746,55552
0.0980281,55590
0.0981552,55628
0.0982781,55666
0.100161,55704
0.100288,55742
0.100469,55780
0.100598,55818
0.100721,55856
0.100844,55894
0.100968,55932
0.101089,55970
0.101193,56002
0.101213,56007
0.101224,56008
0.101234,56009
0.101244,56010
0.101394,56048
0.101519,56086
0.10156,56096
0.10157,56097
0.10158,56098
0.101591,56099
0.101738,56137
0.101867,56175
0.101889,56181
0.101912,56187
0.101923,56188
0.101933,56189
0.101943,56190
0.102076,56228
0.102205,56266
0.102246,56276
0.102256,56277
0.102266,56278
0.102276,56279
0.102423,56317
0.10252,56347
0.102569,56361
0.102582,56364
0.102594,56367
0.102605,56368
0.102616,56369
0.102626,56370
0.102647,56371
0.102771,56409
0.102837,56429
0.102915,56453
0.102935,56458
0.102947,56459
0.102957,56460
0.102967,56461
0.103113,56499
0.103248,56537
0.103287,56547
0.103297,56548
0.103307,56549
0.103318,56550
0.103348,56551
0.103459,56589
0.103588,56627
0.103629,56637
0.103639,56638
0.103649,56639
0.103659,56640
0.103806,56677
0.103936,56714
0.10398,56724
0.103991,56725
0.104001,56726
0.104011,56727
0.104053,56728
0.104154,56765
0.104218,56784
0.104282,56803
0.10431,56810
0.104322,56813
0.104332,56814
0.104343,56815
0.104353,56816
0.104507,56853
0.104629,56890
0.10467,56900
0.10468,56901
0.104692,56902
0.104702,56903
0.104848,56940
0.104912,56959
0.104976,56978
0.105004,56985
0.105018,56987
0.105028,56988
0.105038,56989
0.105048,56990
0.106555,57027
0.106683,57064
0.106725,57076
0.10674,57079
0.106892,57116
0.106957,57135
0.107021,57154
0.107042,57159
0.107061,57164
0.107071,57165
0.107082,57166
0.107092,57167
0.107239,57204
0.107368,57241
0.107413,57250
0.107423,57251
0.107434,57252
0.107444,57253
0.10759,57290
0.107719,57327
0.107784,57343
0.107917,57380
0.108015,57409
0.108141,57446
0.108263,57483
0.108325,57501
0.10839,57520
0.108407,57524
0.108417,57525
0.108547,57562
0.108671,57599
0.108711,57611
0.108724,57613
0.108734,57614
0.108884,57651
0.109,57688
0.109054,57704
0.109066,57705
0.1092,57742
0.109323,57779
0.10938,57796
0.109391,57797
0.109515,57834
0.109642,57871
0.109708,57889
0.109853,57926
0.109982,57963
0.110037,57979
0.110048,57980
0.1102,58017
0.110331,58054
0.11039,58072
0.110547,58109
0.11067,58146
0.110732,58164
0.110901,58200
0.111025,58236
0.111085,58254
0.111242,58290
0.111365,58326
0.111426,58344
0.111553,58380
0.112949,58416
0.113014,58434
