Time,Sent
0.000600242,1
0.00151512,2
0.00161536,3
0.00177488,4
0.00189488,5
0.011579,6
0.0115815,7
0.0125528,8
0.0125553,9
0.0126754,10
0.0126779,11
0.0127981,12
0.0128006,13
0.0129207,14
0.0129232,15
0.0130434,16
0.0130458,17
0.013166,18
0.0131685,19
0.0132886,20
0.0132911,21
0.0137718,22
0.0137743,23
0.0138945,24
0.013897,25
0.0140171,26
0.0140196,27
0.0141398,28
0.0141422,29
0.0142624,30
0.0142649,31
0.014385,32
0.0143875,33
0.0145077,34
0.0145102,35
0.0146303,36
0.0146328,37
0.014753,38
0.0147554,39
0.0148756,40
0.0148781,41
0.0149982,42
0.0150007,43
0.0151209,44
0.0151234,45
0.0152435,46
0.0152459,47
0.0153661,48
0.0153685,49
0.0154886,50
0.015491,51
0.0156112,52
0.0156136,53
0.0157338,54
0.0157362,55
0.0158563,56
0.0158587,57
0.0159789,58
0.0159814,59
0.0161015,60
0.016104,61
0.0162242,62
0.0162266,63
0.0163468,64
0.0163493,65
0.0164694,66
0.0164719,67
0.0165921,68
0.0165946,69
0.0167147,70
0.0167172,71
0.0168374,72
0.0168398,73
0.01696,74
0.0169625,75
0.0170826,76
0.0170851,77
0.0172053,78
0.0172078,79
0.0173279,80
0.0173304,81
0.0174506,82
0.017453,83
0.0175732,84
0.0175757,85
0.0176958,86
0.0176983,87
0.0178185,88
0.017821,89
0.0179411,90
0.0179436,91
0.0180638,92
0.0180662,93
0.0180702,94
0.0181904,95
0.0181929,96
0.018313,97
0.0183155,98
0.0184357,99
0.0184382,100
0.0185583,101
0.0185608,102
0.018681,103
0.0186834,104
0.0188036,105
0.0188061,106
0.0189262,107
0.0189287,108
0.0190489,109
0.0190514,110
0.0191715,111
0.019174,112
0.0192942,113
0.0192966,114
0.0194168,115
0.0194193,116
0.0195394,117
0.0195419,118
0.0196621,119
0.0196646,120
0.0197847,121
0.0197872,122
0.0199074,123
0.0199098,124
0.02003,125
0.0200325,126
0.0201526,127
0.0201551,128
0.0202753,129
0.0202778,130
0.0203979,131
0.0204004,132
0.0205206,133
0.020523,134
0.0206432,135
0.0206457,136
0.0207658,137
0.0207683,138
0.0208885,139
0.020891,140
0.0210111,141
0.0210136,142
0.0211338,143
0.0211362,144
0.0212564,145
0.0212589,146
0.021379,147
0.0213815,148
0.0215017,149
0.0215042,150
0.0216243,151
0.0216268,152
0.021747,153
0.0217494,154
0.0218696,155
0.0218721,156
0.0219922,157
0.0219947,158
0.0221149,159
0.0221174,160
0.0222375,161
0.02224,162
0.0223602,163
0.0223626,164
0.0224828,165
0.0224853,166
0.0226054,167
0.0226079,168
0.0227281,169
0.0227306,170
0.0228507,171
0.0228532,172
0.0229734,173
0.0229758,174
0.023096,175
0.0230985,176
0.0232186,177
0.0232211,178
0.0232251,179
0.0233453,180
0.0233477,181
0.0234678,182
0.0234702,183
0.0235904,184
0.0235928,185
0.023713,186
0.0237153,187
0.0238354,188
0.0238378,189
0.0239579,190
0.0239602,191
0.0240804,192
0.0240828,193
0.024203,194
0.0242054,195
0.0243256,196
0.0243281,197
0.0244482,198
0.0244507,199
0.0245709,200
0.0245734,201
0.0246935,202
0.024696,203
0.0248162,204
0.0248186,205
0.0249388,206
0.0249413,207
0.0250614,208
0.0250639,209
0.0251841,210
0.0251866,211
0.0253067,212
0.0253092,213
0.0254294,214
0.0254318,215
0.025552,216
0.0255545,217
0.0256746,218
0.0256771,219
0.0257973,220
0.0257998,221
0.0259199,222
0.0259224,223
0.0260426,224
0.026045,225
0.0261652,226
0.0261677,227
0.0262878,228
0.0262903,229
0.0264105,230
0.0265306,231
0.0265331,232
0.0266533,233
0.0266558,234
0.0267759,235
0.0267784,236
0.0268986,237
0.026901,238
0.0270212,239
0.0270237,240
0.0271438,241
0.0271463,242
0.0272665,243
0.027269,244
0.0273891,245
0.0273916,246
0.0275118,247
0.0275142,248
0.0275182,249
0.0276384,250
0.0276409,251
0.027761,252
0.0277635,253
0.0278837,254
0.0280038,255
0.0280063,256
0.0281265,257
0.028129,258
0.0282491,259
0.0282516,260
0.0283718,261
0.0283742,262
0.0284944,263
0.0284969,264
0.028617,265
0.0286195,266
0.0287397,267
0.0287421,268
0.0288622,269
0.0288646,270
0.0289848,271
0.0289872,272
0.0291074,273
0.0291098,274
0.02923,275
0.0292325,276
0.0293526,277
0.0293551,278
0.0294753,279
0.0294778,280
0.0295979,281
0.0296004,282
0.0297206,283
0.029723,284
0.0298432,285
0.0299634,286
0.0299658,287
0.030086,288
0.0300885,289
0.0302086,290
0.0302111,291
0.0303313,292
0.0303337,293
0.0304538,294
0.0304562,295
0.0305764,296
0.0305789,297
0.030699,298
0.0307015,299
0.0308217,300
0.0308242,301
0.0309443,302
0.0309467,303
0.0310669,304
0.0310694,305
0.0311895,306
0.031192,307
0.0313122,308
0.0313146,309
0.0314348,310
0.0314373,311
0.0315574,312
0.0315599,313
0.0316801,314
0.0316826,315
0.0318027,316
0.0318052,317
0.0319254,318
0.0319278,319
0.032048,320
0.0320505,321
0.0321706,322
0.0321731,323
0.0322933,324
0.0322958,325
0.0324159,326
0.0324184,327
0.0325386,328
0.032541,329
0.0326612,330
0.0326637,331
0.0327838,332
0.0327863,333
0.0329065,334
0.032909,335
0.0330291,336
0.0331493,337
0.0331518,338
0.0332719,339
0.0332744,340
0.0333946,341
0.033397,342
0.0335172,343
0.0336374,344
0.03364,345
0.0337602,346
0.0338803,347
0.0340005,348
0.0340024,349
0.0341226,350
0.0342427,351
0.0343629,352
0.0343648,353
0.034485,354
0.0346051,355
0.0347253,356
0.0347272,357
0.0348474,358
0.0349675,359
0.0350877,360
0.0352073,361
0.0353274,362
0.0354476,363
0.0355678,364
0.0355697,365
0.0355737,366
0.0356938,367
0.035814,368
0.0359342,369
0.0359361,370
0.0360562,371
0.0361764,372
0.0362966,373
0.0364167,374
0.0365369,375
0.036657,376
0.0366589,377
0.036779,378
0.0368992,379
0.0370194,380
0.0370213,381
0.0371414,382
0.0372616,383
0.0373818,384
0.0373837,385
