Time,Wnd
0,2
0.0001,8
0.0002,10
0.0003,12
0.0004,14
0.0005,16
0.0006,18
0.0007,20
0.0008,22
0.0009,24
0.001,26
0.0011,28
0.0012,30
0.0013,32
0.0014,34
0.0015,36
0.0016,38
0.0017,40
0.0018,42
0.0019,44
0.002,46
0.0021,48
0.0022,50
0.0023,52
0.0024,54
0.0025,56
0.0026,58
0.0027,60
0.0028,62
0.0029,64
0.003,66
0.0031,68
0.0032,70
0.0033,72
0.0034,74
0.0035,76
0.0036,78
0.0037,80
0.0038,82
0.0039,84
0.004,86
0.0041,88
0.0042,90
0.0043,92
0.0044,94
0.0045,96
0.0046,98
0.0047,100
0.0048,102
0.0049,104
0.005,106
0.0051,108
0.0052,110
0.0053,112
0.0054,114
0.0055,116
0.0056,118
0.0057,120
0.0058,122
0.0059,124
0.006,126
0.0061,128
0.0062,130
0.0063,132
0.0064,134
0.0065,136
0.0066,138
0.0067,140
0.0068,142
0.0069,144
0.007,146
0.0071,148
0.0072,150
0.0073,152
0.0074,154
0.0075,156
0.0076,158
0.0077,160
0.0078,162
0.0079,164
0.008,166
0.0081,168
0.0082,170
0.0083,172
0.0084,174
0.0085,176
0.0086,178
0.0087,180
0.0088,182
0.0089,184
0.009,186
0.0091,188
0.0092,190
0.0093,192
0.0094,194
0.0095,196
0.0096,198
0.0097,200
0.0098,202
0.0099,204
0.01,206
0.0101,210
0.0102,212
0.0103,214
0.0104,216
0.0105,218
0.0106,220
0.0107,222
0.0108,224
0.0109,226
0.011,228
0.0111,230
0.0112,232
0.0113,234
0.0114,236
0.0115,238
0.0116,240
0.0117,242
0.0118,244
0.0119,246
0.012,248
0.0121,250
0.0122,252
0.0123,254
0.0124,256
0.0125,258
0.0126,260
0.0127,262
0.0128,264
0.0129,266
0.013,268
0.0131,270
0.0132,272
0.0133,274
0.0134,276
0.0135,278
0.0136,280
0.0137,282
0.0138,284
0.0139,286
0.014,288
0.0141,290
0.0142,292
0.0143,294
0.0144,296
0.0145,298
0.0146,300
0.0147,302
0.0148,304
0.0149,306
0.015,308
0.0151,310
0.0152,312
0.0153,314
0.0154,316
0.0155,318
0.0156,320
0.0157,322
0.0158,324
0.0159,326
0.016,328
0.0161,330
0.0162,332
0.0163,334
0.0164,336
0.0165,338
0.0166,340
0.0167,342
0.0168,344
0.0169,346
0.017,348
0.0171,350
0.0172,352
0.0173,354
0.0174,356
0.0175,358
0.0176,360
0.0177,362
0.0178,364
0.0179,366
0.018,368
0.0181,370
0.0182,372
0.0183,374
0.0184,376
0.0185,378
0.0186,380
0.0187,382
0.0188,384
0.0189,386
0.019,388
0.0191,390
0.0192,392
0.0193,394
0.0194,396
0.0195,398
0.0196,400
0.0197,402
0.0198,404
0.0199,406
0.02,408
0.0201,410
0.0202,412
0.0203,414
0.0204,416
0.0205,418
0.0206,420
0.0207,422
0.0208,424
0.0209,426
0.021,428
0.0211,430
0.0212,432
0.0213,434
0.0214,436
0.0215,438
0.0216,440
0.0217,442
0.0218,444
0.0219,446
0.022,448
0.0221,450
0.0222,452
0.0223,454
0.0224,456
0.0225,458
0.0226,460
0.0227,462
0.0228,464
0.0229,466
0.023,468
0.0231,470
0.0232,472
0.0233,474
0.0234,476
0.0235,478
0.0236,480
0.0237,482
0.0238,484
0.0239,486
0.024,488
0.0241,490
0.0242,492
0.0243,494
0.0244,496
